,f_regr,p-value,kendall,p_kendall,kendall significant,RL score,RL ranking,Boruta score,Boruta ranking
Otu000001,25.35115222841779,4.65205023740123e-06,-0.3400317292437864,9.397843478136477e-05,yes,0.274,10.0,0.035346470407787045,1
Otu000029,0.0007514879804220523,0.9782210816768876,0.1782125859333686,0.04066146605410904,yes,0.16,37.0,0.0717938791429586,1
Otu001092,58.14663277800032,2.13767551943026e-10,0.11581173982020096,0.18344450831464842,no,0.276,9.0,0.09657771672140188,1
Otu000363,39.11208456049846,4.608217882641241e-08,0.09994711792702275,0.2509679622796229,no,0.152,42.0,0.10681186469979169,1
Otu000011,10.547734625014265,0.0019067981485104955,-0.18244315177154946,0.036121399143357685,yes,0.002,513.0,0.026353906946830652,1
Otu000369,24.58573950695554,6.155640887685106e-06,-0.4299312533051296,7.883544134051072e-07,yes,0.382,1.0,0.09170276924077526,1
Otu000016,13.153446967917773,0.0005936366211596363,-0.1179270227392914,0.17557046123972542,no,0.028,313.0,0.015017746086230018,1
Otu000773,51.32906738019734,1.3110297437624317e-09,0.0883130618720254,0.31040544291753647,no,0.032,286.0,0.10607266936441803,1
Otu001131,44.259253933781146,9.753686071838886e-09,0.24695928080380752,0.004559724058980408,yes,0.122,60.0,0.052977628296325165,2
Otu000027,1.0306036361699882,0.31409327910862755,-0.049180327868852465,0.5721488539170445,no,0.01,444.0,0.04659422946352175,3
Otu000347,32.57503654893788,3.7626516534880473e-07,0.14331041776837655,0.09974807926699701,no,0.02,382.0,0.03277156330336022,4
Otu000022,8.573923664429554,0.004813239728698917,-0.22686409307244848,0.00916650269705618,yes,0.23,18.0,0.020311746979082067,5
Otu000033,6.055018225701392,0.01676201779872089,-0.30830248545743,0.00039832711037230133,yes,0.086,92.0,0.027321392198214778,6
Otu000103,0.1199158832756497,0.7303371731677253,-0.2205182443151772,0.011312576808486947,yes,0.046,204.0,0.029680453953079056,6
Otu001905,66.50197689966174,2.668039863140064e-11,0.13484928609201483,0.12140795969939298,no,0.082,105.0,0.028127277788702693,8
Otu000201,45.48033816933248,6.8282942837726e-09,0.18138551031200426,0.03721386280277783,yes,0.028,313.0,0.025332372542162966,9
Otu000717,52.18544413136307,1.0374541551223789e-09,0.10735060814383926,0.2175613624394399,no,0.274,10.0,0.02438313805836026,10
Otu000357,12.0213068097895,0.0009786601851938502,0.06927551560021153,0.4262036864356893,no,0.024,355.0,0.02191496600549244,12
Otu000194,15.093008577779024,0.000257961414333595,0.053410893707033315,0.5395575090748532,no,0.028,313.0,0.02366319680964399,12
Otu000721,45.66069852587054,6.4803445017336256e-09,0.18138551031200426,0.03721386280277783,yes,0.034,267.0,0.022641082964088826,12
Otu001097,22.469032329072515,1.3556523579904278e-05,0.05023796932839768,0.5639139413342874,no,0.012,428.0,0.02090674729260937,14
Otu000826,21.55244011294289,1.9218471451381455e-05,0.13907985193019567,0.11015797072837553,no,0.02,382.0,0.020096667763008454,15
Otu001065,43.603006108899386,1.1835304598089991e-08,0.10840824960338447,0.2130631061543815,no,0.0,534.0,0.01810714775190004,16
Otu000173,2.1045082337581684,0.15207367741440728,0.24695928080380752,0.004559724058980408,yes,0.234,16.0,0.01736191952773881,16
Otu000053,8.757127297865454,0.00440924147023999,-0.05023796932839768,0.5639139413342874,no,0.024,355.0,0.0305714847696658,18
Otu000271,0.0472794774393187,0.8286044167578399,0.24907456372289793,0.004224502422919469,yes,0.05,190.0,0.017006996515449714,18
Otu001668,88.70838020485638,1.963791053731629e-13,0.10840824960338447,0.2130631061543815,no,0.362,3.0,0.015160427077754435,21
Otu000082,13.174030579079727,0.0005883213838327679,0.2215758857747224,0.010926513726306278,yes,0.082,105.0,0.01808969162711526,21
Otu000619,35.63871021274197,1.3798513030544429e-07,0.18350079323109467,0.03505639518827295,yes,0.196,28.0,0.015431208744731716,21
Otu000450,67.38308169506593,2.160158475514173e-11,0.13907985193019567,0.11015797072837553,no,0.084,100.0,0.017050195372437394,23
Otu000641,61.50769762984527,9.093362131013085e-11,0.12109994711792704,0.16423612271926746,no,0.066,139.0,0.014491962663093494,24
Otu000044,23.301922679536315,9.909799061226306e-06,-0.3802221047065045,1.2581215932989553e-05,yes,0.31,6.0,0.018028726313691117,25
Otu001821,73.90849798901225,4.7302906769708766e-12,0.10417768376520362,0.23146479677371512,no,0.15,44.0,0.011012923680246143,26
Otu000856,17.45385436588508,9.69162941388114e-05,0.23320994182971974,0.007391518582344033,yes,0.066,139.0,0.011544852226212139,26
Otu002212,39.19794596309048,4.4872878303166256e-08,0.1475409836065574,0.09013826416642948,no,0.012,428.0,0.011370141445090158,28
Otu000564,46.07965753659449,5.741050416895882e-09,0.13379164463246962,0.12435633227453566,no,0.002,513.0,0.012379760244884137,29
Otu000461,32.638336746090935,3.6841492762925536e-07,0.10417768376520362,0.23146479677371512,no,0.076,116.0,0.011920921372496483,30
Otu000151,17.170713479987974,0.00010878025281295298,0.2966684294024326,0.0006554652469371023,yes,0.132,54.0,0.009697056852398668,32
Otu000283,8.370592177795142,0.005307462124967204,0.02591221575885775,0.7659855693299591,no,0.01,444.0,0.008995501249788186,32
Otu001415,48.18404566313891,3.147678375538591e-09,0.11263881544156532,0.19574162327288547,no,0.038,245.0,0.009507134565222243,32
Otu000893,0.41890008038576776,0.5199550522290506,0.20042305658381812,0.02133083044510512,yes,0.024,355.0,0.009048170378817307,34
Otu000320,25.494565325113598,4.415602637174768e-06,0.12215758857747225,0.160583177351021,no,0.002,513.0,0.009240532867952083,35
Otu000664,44.86439812628849,8.169384685885037e-09,0.22580645161290325,0.00949678214056465,yes,0.304,7.0,0.008223003338810405,35
Otu002159,2.776058496092016,0.10089633255875576,0.24801692226335273,0.004389213311198166,yes,0.186,33.0,0.008244407920187258,37
Otu001008,27.41763551534146,2.214137894514845e-06,0.12321523003701748,0.15699196891668546,no,0.002,513.0,0.009628511499414792,38
Otu001269,44.247780180772196,9.786622670186089e-09,0.1475409836065574,0.09013826416642948,no,0.076,116.0,0.008581678528096298,39
Otu000057,3.8183621773815544,0.05535952648495344,0.03437334743521946,0.692979190799845,no,0.012,428.0,0.012013561584917532,41
Otu000250,47.13646539050093,4.238873652508125e-09,0.19619249074563724,0.024228626912034947,yes,0.202,26.0,0.009602784078004977,41
Otu000500,45.710173127268774,6.388140579183376e-09,0.1560021152829191,0.07315633590447475,no,0.072,127.0,0.007033784935439998,41
Otu001087,2.23688163481519,0.13999410624098213,-0.21099947117927023,0.015369272070878244,yes,0.24,15.0,0.007578842807946813,43
Otu000459,22.872523913155646,1.1642071389312892e-05,0.25647805393971446,0.0032198560711781095,yes,0.044,220.0,0.007781353679913555,44
Otu000580,52.65389611814413,9.134989431730463e-10,0.09783183500793233,0.26113813937746155,no,0.224,20.0,0.007940168791841267,45
Otu001685,54.75791431395578,5.192878196770183e-10,0.13273400317292441,0.12736026314359072,no,0.05,190.0,0.005916861806862132,46
