,f_regr,p-value,kendall,p_kendall,kendall significant,RL score,RL ranking,Boruta score,Boruta ranking
Otu000346,19.426881369685614,4.39392282441799e-05,-0.36964569011105236,2.178312121972452e-05,yes,0.234,13.0,0.03778798982985315,1
Otu000523,35.35972878477828,1.50967288762178e-07,0.33474352194606033,0.00012060467436436669,yes,0.19,26.0,0.039396568877819484,1
Otu000373,15.84519593461364,0.0001880782976079402,-0.16975145425700688,0.05120231621036073,no,0.07,158.0,0.04989205467159429,1
Otu000120,20.252968936706885,3.1766805703865605e-05,-0.36329984135378107,3.0075464094401346e-05,yes,0.23,14.0,0.04908855382743773,1
Otu000269,50.816949126642946,1.5093304990830254e-09,0.31359069275515605,0.00031586282159383364,yes,0.334,2.0,0.17226749338659392,1
Otu000053,19.979801765926744,3.5348564470525966e-05,0.4066631411951349,2.997823411564666e-06,yes,0.184,28.0,0.07054509982109591,1
Otu000113,39.53502251811239,4.04339478103372e-08,0.32839767318878904,0.00016194114791569765,yes,0.146,42.0,0.07445529617061898,1
Otu000022,4.722406284327763,0.033730943259522,0.2554204124801692,0.0033485984709979246,yes,0.014,388.0,0.011957355504673594,1
Otu001301,25.529030459337257,4.360657132119911e-06,0.2755156002115283,0.0015529809561462722,yes,0.304,4.0,0.08842448976230134,1
Otu000108,33.95527890666251,2.3841881273038483e-07,0.38762559492332105,8.495458688839208e-06,yes,0.19,26.0,0.07341893957618961,1
Otu000029,27.61600631611344,2.063927627429731e-06,0.4130089899524062,2.0968599325382353e-06,yes,0.226,18.0,0.050169839278176594,1
Otu000060,15.017153511342546,0.0002663711953342224,0.337916446324696,0.00010388323077359058,yes,0.168,35.0,0.03403507240997257,1
Otu000179,16.12718377322645,0.0001672360770242918,0.1708090957165521,0.0497708189332417,yes,0.02,340.0,0.028507710294970536,2
Otu000158,15.442801620031712,0.00022260430986065758,-0.38445267054468535,1.0061036986143798e-05,yes,0.04,237.0,0.022294447919980108,3
Otu000027,20.409418050041722,2.9887005386724416e-05,-0.3643574828133263,2.8511294171999645e-05,yes,0.022,330.0,0.01726205349853665,4
Otu000026,7.369982019843005,0.00864771069350662,0.2596509783183501,0.0028602220933594148,yes,0.114,70.0,0.0059691367483403115,5
Otu000387,9.296169242297125,0.003414004489861651,0.33051295610787945,0.00014687108894977392,yes,0.08,128.0,0.01783160649582076,5
Otu000067,5.687601528511398,0.020261908967428667,-0.2215758857747224,0.010926513726306278,yes,0.14,48.0,0.014832300798400993,7
Otu000622,16.281419967660568,0.0001568657240950517,-0.34426229508196726,7.678240830538443e-05,yes,0.056,186.0,0.01392018853222485,9
Otu000126,18.037286147653354,7.651391278946454e-05,0.358011634056055,3.9198574783358984e-05,yes,0.002,497.0,0.013776357800413353,9
Otu000175,22.595138553055687,1.292542194744485e-05,0.2575356953992597,0.003095639533784519,yes,0.184,28.0,0.014060759995048437,9
Otu000080,8.538919010261676,0.004894753521743267,0.28397673188789,0.0011071428242544364,yes,0.0,523.0,0.014956130473146239,11
Otu000307,7.60180579084791,0.007714391773628939,0.1464833421470122,0.09246792327578955,no,0.138,50.0,0.012590223165230854,12
Otu000501,7.325087171328352,0.008841816257491534,-0.2152300370174511,0.01343026679595345,yes,0.244,11.0,0.012467642913976734,13
Otu000637,24.059095394148393,7.476095725140818e-06,0.24590163934426232,0.004736212845579131,yes,0.248,10.0,0.01065503386039357,15
Otu000389,17.90815134483399,8.06089083142585e-05,-0.37281861448968806,1.8503152881191165e-05,yes,0.048,208.0,0.010200881175038003,15
Otu000422,20.326208499020513,3.087199186855689e-05,0.28609201480698043,0.0010159278520640485,yes,0.102,92.0,0.010997075065332599,15
Otu000392,33.83162694986319,2.482932606794324e-07,0.4288736118455844,8.389551984479677e-07,yes,0.166,36.0,0.008954216446813969,17
Otu000893,21.725723613482085,1.798523121631619e-05,0.3188789000528821,0.00024959871736090204,yes,0.146,42.0,0.010277987204181023,18
