,f_regr,p-value,kendall,p_kendall,kendall significant,RL score,RL ranking,Boruta score,Boruta ranking
Otu000048,39.35869916255713,4.269624024479219e-08,0.5145425700687467,3.4193835332101503e-09,yes,0.008,430.0,0.040885150085938654,1
Otu000005,62.37275423342828,7.32642763227622e-11,0.6012691697514544,4.976993610630929e-12,yes,0.172,44.0,0.18570505071843227,1
Otu000083,39.25642087694635,4.406812817638756e-08,-0.40349021681649927,3.577590346683661e-06,yes,0.008,430.0,0.03999563776364657,1
Otu000113,57.77436586320602,2.3535596017006326e-10,0.48281332628239026,2.9288645519807673e-08,yes,0.224,14.0,0.05186904563508699,1
Otu000027,39.281039251272816,4.373380182004825e-08,-0.5483870967741936,2.9991458921961333e-10,yes,0.124,68.0,0.2306847627424173,1
Otu000060,10.132703539072816,0.002309120138620747,0.24061343204653624,0.005714879363194538,yes,0.25,11.0,0.01870275381438244,1
Otu000016,36.4338166650538,1.0695437305963974e-07,0.44791115811739823,2.678811964406272e-07,yes,0.07,139.0,0.010861443566797241,1
Otu000017,16.690062750253663,0.00013249456208340555,-0.36964569011105236,2.178312121972452e-05,yes,0.052,184.0,0.0046331871292785215,1
Otu000058,16.26748620789809,0.0001577745211257498,-0.29138022210470654,0.000817445471520137,yes,0.208,19.0,0.027558853259286597,1
Otu000042,30.545565902033445,7.459302246948415e-07,0.4341618191433105,6.138083901675639e-07,yes,0.016,383.0,0.021496619959735678,1
Otu000210,67.9928414051986,1.868103652885982e-11,-0.45002644103648864,2.352950075485416e-07,yes,0.254,9.0,0.09806697527922827,1
Otu000030,40.318188615319,3.1787867470219925e-08,0.4299312533051296,7.883544134051072e-07,yes,0.366,4.0,0.03434156016501756,2
Otu000120,33.35413422163088,2.9057435543465004e-07,-0.38762559492332105,8.495458688839208e-06,yes,0.058,162.0,0.021033576406256974,3
Otu000029,51.71163804599987,1.1806067189021162e-09,0.49444738233738766,1.3527360124832898e-08,yes,0.568,1.0,0.01965541415339533,4
Otu000133,46.67697001714515,4.834632690997115e-09,0.4257006874669487,1.0102269176494329e-06,yes,0.048,195.0,0.019304044910740132,5
Otu000682,27.957758470245814,1.8294003251586203e-06,0.21099947117927023,0.015369272070878244,yes,0.142,57.0,0.018204557225557437,5
Otu000038,35.730886173138195,1.339542719045888e-07,0.48281332628239026,2.9288645519807673e-08,yes,0.306,5.0,0.01288741144779593,7
Otu000108,47.41609715696509,3.913979033159199e-09,0.5050237969328398,6.601971246426868e-09,yes,0.048,195.0,0.014082579181220753,8
Otu000100,0.36757276492567137,0.5466173504825298,-0.13167636171337918,0.13042034760269913,no,0.058,162.0,0.012609684993251359,9
Otu000026,12.72609906336433,0.000716051936760473,0.2924378635642517,0.0007823434509542922,yes,0.034,278.0,0.010281045401707253,11
Otu000249,27.73195531131567,1.981053025191262e-06,-0.36541512427287154,2.7024658946346043e-05,yes,0.01,421.0,0.010185935006304728,11
Otu000244,19.862265605561692,3.701622955362646e-05,-0.40243257535695404,3.7936915027300353e-06,yes,0.394,2.0,0.012394169672644008,11
Otu000469,0.007918611415163439,0.9293889425502599,-0.005817028027498679,0.9467290617311293,no,0.068,140.0,0.012113600926699431,11
Otu000379,39.50612161203126,4.079608474323978e-08,-0.45954521417239563,1.3033305580565234e-07,yes,0.194,28.0,0.01136235860842942,14
Otu000271,23.236208530589224,1.015654085805886e-05,0.4098360655737705,2.508798253444644e-06,yes,0.082,115.0,0.010784463405550799,15
Otu000136,39.38070160350977,4.240693383257143e-08,-0.37387625594923324,1.7518550152271745e-05,yes,0.306,5.0,0.011130742826476768,15
Otu000046,1.0955917505065764,0.29943398559535933,-0.09042834479111583,0.2989591754770423,no,0.024,344.0,0.009595642916003636,17
Otu000293,17.492891611616,9.538922233380056e-05,-0.40454785827604445,3.3733195915374475e-06,yes,0.16,49.0,0.009468098424266902,18
Otu000358,0.1898785896844882,0.6645814115519773,-0.16552088841882603,0.05727744489654136,no,0.052,184.0,0.008598304406928908,18
Otu000064,1.5284827567198587,0.22115825736192812,0.17292437863564253,0.047008374589312764,yes,0.036,261.0,0.009807737155588607,20
Otu000043,18.705437284115032,5.851819200402208e-05,-0.3833950290851402,1.0641552155624381e-05,yes,0.044,210.0,0.0037809394836084546,21
