,f_regr,p-value,kendall,p_kendall,kendall significant,RL score,RL ranking,Boruta score,Boruta ranking
Otu000001,40.793283111251796,2.7497651696540984e-08,-0.30830248545743,0.00039832711037230133,yes,0.182,47.0,0.030589206622485255,1
Otu000060,10.477387298161615,0.0019694596457161357,0.10312004230565838,0.23623658084798216,no,0.056,200.0,0.031771199789475624,1
Otu000009,21.867256775351965,1.703892853074684e-05,-0.1570597567424643,0.07123094798065756,no,0.034,240.0,0.027692784599236353,1
Otu000025,6.267430507852703,0.01503654360024855,0.14542570068746696,0.09484568890775397,no,0.082,146.0,0.08827622443138199,1
Otu000016,18.91692958802983,5.378652253422589e-05,-0.10840824960338447,0.2130631061543815,no,0.018,269.0,0.03657332333685705,1
Otu000671,45.1506845807509,7.515070595113416e-09,0.20359598096245374,0.01936021236597907,yes,0.156,64.0,0.1185930405749829,1
Otu000022,31.938316518755453,4.655602681773714e-07,-0.27763088313061873,0.0014281876213309494,yes,0.218,31.0,0.07591928452263036,1
Otu000580,43.77589923229923,1.12458496997262e-08,0.1983077736647277,0.02273964862980675,yes,0.084,143.0,0.10135929250895906,1
Otu001097,16.59824308305651,0.00013760475420935704,0.15811739820200954,0.06934729602735884,no,0.156,64.0,0.03168905962108286,2
Otu000500,33.022178427806956,3.2430635446885765e-07,0.13273400317292441,0.12736026314359072,no,0.046,221.0,0.03268965022294744,2
Otu004103,64.03817871655049,4.854558260673844e-11,0.019566367001586465,0.8221807467648387,no,0.266,12.0,0.03042917776018234,2
Otu000641,67.06938921729697,2.3284150805045645e-11,0.20994182971972503,0.01589095289369667,yes,0.064,173.0,0.027548438704517567,4
Otu000250,39.351131005314244,4.279622392512889e-08,0.2215758857747224,0.010926513726306278,yes,0.12,92.0,0.027497889476002128,4
Otu000066,12.06742014618056,0.000958737092544039,-0.26282390269698575,0.002537623854602996,yes,0.106,107.0,0.027977377662451536,6
Otu000070,14.214510225779469,0.0003749777997610185,-0.37176097303014277,1.9540330838380823e-05,yes,0.238,21.0,0.025108934782323743,7
Otu000227,1.110983678207268,0.29609435530866507,0.19301956636700163,0.026620368428923985,yes,0.13,85.0,0.02040889814329023,8
Otu000166,2.7799108290665875,0.10066541976913003,-0.11581173982020096,0.18344450831464842,no,0.084,143.0,0.027830966930095947,9
Otu004281,4.151779209089816,0.04600779049087098,-0.21628767847699631,0.012980660156165804,yes,0.058,190.0,0.020496413331734006,10
Otu000201,37.204458401604256,8.37317445767802e-08,0.2300370174510841,0.008236318014360814,yes,0.026,253.0,0.020265469221686223,11
