,f_regr,p-value,kendall,p_kendall,kendall significant,RL score,RL ranking,Boruta score,Boruta ranking
Otu000001,39.6663357490176,3.8829950869681247e-08,-0.24061343204653624,0.005714879363194538,yes,0.832,22.0,0.055058556268248356,1
Otu001556,15.735612860050924,0.0001968901918035397,-0.20465362242199894,0.01873966285059817,yes,0.92,3.0,0.09507453033374429,1
Otu000387,37.577355699922386,7.443382665970331e-08,0.2734003172924379,0.0016877474142213043,yes,0.852,17.0,0.12957874598928504,1
Otu000304,42.73379754529376,1.5321990621349565e-08,0.14965626652564784,0.08562071877277035,no,0.786,29.0,0.17222119956521365,1
Otu000093,0.9858719658316762,0.32474090323344074,-0.10206240084611318,0.2410775208680488,no,0.954,1.0,0.02246681324557142,1
Otu000077,28.614189631687367,1.453144392542746e-06,-0.3326282390269699,0.0001331287941582677,yes,0.8,26.0,0.042053308616559336,1
Otu000071,17.255537620652074,0.00010507559522451394,0.2575356953992597,0.003095639533784519,yes,0.852,17.0,0.020765151924782836,1
Otu008727,31.020695410899513,6.345684801131909e-07,-0.22474881015335804,0.009837633533389475,yes,0.602,35.0,0.12187778290725357,1
Otu000010,26.4427233737034,3.1351882217800305e-06,-0.2131147540983607,0.014370949301152725,yes,0.886,11.0,0.029939875464815566,1
Otu000009,0.9935334345272304,0.32288330728446857,0.036488630354309895,0.675134541926981,no,0.91,5.0,0.024769662025407247,1
Otu000012,16.519731217999272,0.00014213654592227243,-0.13484928609201483,0.12140795969939298,no,0.826,23.0,0.0837182817871325,2
Otu000931,6.204069721573875,0.01553061828976786,-0.3209941829719726,0.00022694220012952664,yes,0.896,7.0,0.040008205371924024,3
Otu001194,11.107158631826007,0.0014768769011165007,0.1475409836065574,0.09013826416642948,no,0.95,2.0,0.04598555755756644,3
Otu005973,79.74133490120725,1.2958116015580232e-12,-0.22686409307244848,0.00916650269705618,yes,0.614,34.0,0.03611512968688885,5
Otu001693,15.389096969666443,0.00022768734567243733,0.1475409836065574,0.09013826416642948,no,0.852,17.0,0.03817809603600355,5
Otu002674,10.893315742916979,0.0016278427686758899,-0.21840296139608675,0.012121210317214266,yes,0.636,33.0,0.023009482645896886,7
Otu007916,37.115728278723445,8.611615234860951e-08,-0.20148069804336333,0.020655374559544776,yes,0.57,36.0,0.015333714446226332,8
Otu001526,10.172649422792745,0.0022667994138025594,0.07033315705975675,0.4191752810902468,no,0.88,14.0,0.011530121395915412,9
Otu001784,0.00018653892069403532,0.9891482048312197,-0.041776837652035964,0.6313323066185197,no,0.884,12.0,0.006580735108251137,10
Otu000050,4.8193645809942804,0.032021023914093234,-0.1644632469592808,0.05888654482737057,no,0.912,4.0,0.005958236978113069,11
Otu000023,15.942444102451157,0.00018060144548965088,-0.2131147540983607,0.014370949301152725,yes,0.888,10.0,0.0063447842721986135,12
Otu001700,23.42390221590164,9.468120613213942e-06,-0.23215230037017454,0.007664061217289074,yes,0.798,28.0,0.005228453873930562,12
Otu000227,1.434329572381645,0.2357691032263898,0.014278159703860394,0.8697309799351222,no,0.854,16.0,0.005658283794819591,14
Otu000005,0.8524493843933221,0.35955849028241804,-0.011105235325224751,0.8985005771143685,no,0.766,30.0,0.004811017623886907,15
Otu001021,5.760521383816531,0.019510035437998497,0.20148069804336333,0.020655374559544776,yes,0.904,6.0,0.004765113926345629,16
Otu001148,1.388189005817158,0.24336304093931646,-0.05658381808566896,0.5157395376134755,no,0.824,24.0,0.004332325052462463,17
Otu002251,1.7929795527074635,0.1856145634502542,-0.07244843997884717,0.40532473129469804,no,0.892,9.0,0.00368654208935813,18
Otu000763,0.045327473706442564,0.8321247277246748,0.01639344262295082,0.8506442012050557,no,0.834,21.0,0.0032326233704138034,18
Otu000267,1.0769998378744932,0.30353401138624986,-0.007932310946589107,0.9274042120837687,no,0.84,20.0,0.003538230369446355,20
Otu001311,10.353988870566047,0.002084626786271643,0.19936541512427292,0.0220254425122031,yes,0.882,13.0,0.00535349766840695,21
Otu000377,2.987507337151296,0.08905265848804421,0.09360126916975146,0.28232437455827164,no,0.8,26.0,0.0027669516534382125,22
Otu000663,11.310061845371711,0.0013471113907938055,0.14436805922792176,0.09727219632180939,no,0.816,25.0,0.002457185495500382,23
Otu000075,7.522746281306578,0.008020160690171214,0.15811739820200954,0.06934729602735884,no,0.868,15.0,0.0024028291931330976,23
Otu001130,4.180886117499236,0.04527670417045567,-0.18878900052882075,0.030124678025085422,yes,0.896,7.0,0.002638696217565291,25
Otu005522,18.861554523721125,5.498571288357966e-05,-0.20465362242199894,0.01873966285059817,yes,0.688,32.0,0.0027628434593788245,25
Otu001269,6.305542151597227,0.0147474003067017,-0.11475409836065575,0.1874782923695144,no,0.69,31.0,0.0013428343941533352,27
