,f_regr,p-value,kendall,p_kendall,kendall significant,RL score,RL ranking,Boruta score,Boruta ranking
Otu000201,39.860706279496625,3.6575533301726724e-08,0.2067689053410894,0.01755056781327346,yes,0.012,563.0,0.14119807684422053,1
Otu000369,27.575703886807002,2.0935676567578566e-06,-0.5272342675832893,1.3966983774531533e-09,yes,0.444,1.0,0.13358862676789282,1
Otu000022,29.659518713602356,1.0109270026744087e-06,-0.2924378635642517,0.0007823434509542922,yes,0.086,70.0,0.08252825743579763,2
Otu000328,5.8682226033947495,0.018453295151590048,-0.1623479640401904,0.06221742126621167,no,0.014,513.0,0.07207564015894222,1
Otu000029,0.42059135788701935,0.5191165977021277,0.13061872025383398,0.13353717534856532,no,0.004,892.0,0.05916112366567595,1
Otu001068,77.5417944483407,2.097661004411432e-12,0.13907985193019567,0.11015797072837553,no,0.06,122.0,0.05866872474936929,3
Otu000406,4.512658665566882,0.03777495177742239,-0.2924378635642517,0.0007823434509542922,yes,0.028,307.0,0.05124748616821433,4
Otu000671,48.00415964945336,3.312023174653156e-09,0.11581173982020096,0.18344450831464842,no,0.126,24.0,0.04546453285184807,5
Otu001087,3.2947333521778606,0.07450111676017918,-0.3209941829719726,0.00022694220012952664,yes,0.136,19.0,0.03133094346721771,5
Otu004968,65.24847745748649,3.612385476582596e-11,-0.04706504494976203,0.5887879515824399,no,0.03,283.0,0.03030286482419309,9
Otu000016,15.127294092884862,0.00025425131247910134,-0.13696456901110526,0.11567548243092071,no,0.0,1342.0,0.02986965089762821,2
Otu000025,8.187850155762238,0.005797150858553886,0.0819672131147541,0.34645756275487705,no,0.002,1063.0,0.029670916737115482,2
Otu001097,17.93658359049969,7.968817336241893e-05,0.15177154944473825,0.081287952037921,no,0.026,327.0,0.029026624415373826,8
Otu000103,0.478044296460002,0.4919761876593375,-0.3019566367001587,0.0005237608668462664,yes,0.09,58.0,0.028515738151781257,7
Otu000717,40.19213454720604,3.3038512282443565e-08,0.16023268112109995,0.06570267080095522,no,0.012,563.0,0.022836713777670298,10
Otu000567,34.35480979853514,2.092008892950187e-07,0.10100475938656797,0.24598789438193114,no,0.05,159.0,0.022412574561146526,12
Otu000645,5.659612764032789,0.020558631764597022,-0.3167636171337917,0.00027436374867635297,yes,0.03,283.0,0.022250618637069564,16
Otu000363,22.466548387782463,1.3569270403124108e-05,0.055526176626123754,0.5236178201610369,no,0.0,1342.0,0.021387732744667015,12
Otu000250,36.7042307000741,9.812803382979835e-08,0.20888418826017982,0.01642814179215561,yes,0.084,73.0,0.0202840368813733,12
Otu000285,6.454857459882611,0.013670068617680584,-0.3294553146483343,0.0001542329564854758,yes,0.062,116.0,0.020154039551265775,18
Otu000500,27.332331590325747,2.2821705503272334e-06,0.0809095716552089,0.3527157544124043,no,0.004,892.0,0.017228791029659896,14
Otu000509,1.5453619409282733,0.2186573202226847,-0.27657324167107356,0.0014893804588577083,yes,0.002,1063.0,0.01713464897284646,21
Otu000411,5.428483000674013,0.02319321914058837,-0.2226335272342676,0.010552204001377609,yes,0.0,1342.0,0.015339702232280211,20
Otu000137,7.256778691726962,0.009146007278002705,-0.39397144368059234,6.0341005375080725e-06,yes,0.116,38.0,0.014773675093144431,14
Otu000450,47.99871342328251,3.317135065824613e-09,0.16975145425700688,0.05120231621036073,no,0.01,607.0,0.013387413048842108,17
Otu000837,0.7345575825396395,0.3948202487375875,-0.2511898466419884,0.003911789324516153,yes,0.0,1342.0,0.012993810456844572,25
Otu000641,51.78013135369364,1.1587105040731e-09,0.1464833421470122,0.09246792327578955,no,0.008,667.0,0.010509899688322008,25
Otu000773,33.86672916295099,2.4544783410186804e-07,0.07985193019566368,0.35904499867739703,no,0.0,1342.0,0.010079437435869034,19
Otu000580,34.18124422163122,2.2140995596950776e-07,0.026969857218402966,0.75672965263019,no,0.0,1342.0,0.009773138595117458,22
Otu000619,26.260183488544982,3.34777255276123e-06,0.09360126916975146,0.28232437455827164,no,0.006,760.0,0.009762281758929646,23
Otu000368,4.184998944376733,0.04517441849982137,-0.23215230037017454,0.007664061217289074,yes,0.002,1063.0,0.009030702318833229,24
Otu000283,4.160710637487581,0.04578210841049592,-0.019566367001586465,0.8221807467648387,no,0.0,1342.0,0.007650953244113047,28
Otu000459,17.05631739161871,0.00011399243166118903,0.2755156002115283,0.0015529809561462722,yes,0.016,473.0,0.007325007283223779,30
Otu000826,13.862494202827945,0.00043630109486772885,0.11475409836065575,0.1874782923695144,no,0.01,607.0,0.006419415526743411,27
Otu000441,5.164899884490203,0.02664366998416842,-0.3030142781597039,0.0005005743727716913,yes,0.054,142.0,0.006406668795765218,31
Otu000304,15.643562491544765,0.00020462342949562507,0.005817028027498679,0.9467290617311293,no,0.0,1342.0,0.0063147294073147816,29
Otu002084,29.30262318128263,1.1436626577490521e-06,0.04600740349021682,0.5971904314185322,no,0.0,1342.0,0.00629170168001455,37
Otu000721,38.162616499900324,6.193754481858164e-08,0.1644632469592808,0.05888654482737057,no,0.02,403.0,0.005528866745955661,32
Otu001782,45.660774610376286,6.480201654228255e-09,0.09465891062929668,0.27692163845046003,no,0.0,1342.0,0.005310390901517568,36
Otu000973,59.458546052999104,1.5267456579962675e-10,0.11158117398202011,0.1999720301936745,no,0.002,1063.0,0.005216243918857708,33
Otu003198,76.46735287092605,2.661753839361265e-12,-0.04706504494976203,0.5887879515824399,no,0.126,24.0,0.005201440149509186,61
Otu000777,0.6504213512618762,0.42314729197724277,-0.18773135906927554,0.03106032271198976,yes,0.0,1342.0,0.005088847332380404,73
Otu004103,80.39192688755276,1.1254053201653332e-12,-0.005817028027498679,0.9467290617311293,no,0.05,159.0,0.004702816560594112,38
Otu001693,50.18755811278703,1.7962528718726162e-09,0.07773664727657326,0.371916070912212,no,0.032,261.0,0.004352942412943138,46
Otu003309,76.02261988083917,2.939167259144763e-12,-0.014278159703860394,0.8697309799351222,no,0.196,6.0,0.0036529766421180892,47
Otu005922,4.096015689163811,0.04744435394511269,-0.08302485457429933,0.34027053918646066,no,0.07,98.0,0.0036344450529165553,42
Otu002616,0.21549700844972802,0.6441725927890242,-0.15811739820200954,0.06934729602735884,no,0.008,667.0,0.003577210289420225,51
Otu001092,38.3363314674442,5.8662440342404527e-08,0.1105235325224749,0.20426881688329745,no,0.048,170.0,0.0033908974426875467,33
Otu001913,0.09444376894835574,0.7596662242723888,-0.15071390798519305,0.08343155716888288,no,0.008,667.0,0.0033465251356394822,71
Otu000219,0.05993236117779234,0.8074382095709692,0.13484928609201483,0.12140795969939298,no,0.02,403.0,0.003334180870520938,35
Otu000748,0.5441655154417513,0.4635868095147663,-0.2903225806451613,0.0008540040513240268,yes,0.002,1063.0,0.0032850228400826626,57
Otu001415,43.020102312768664,1.4069211723486126e-08,0.13061872025383398,0.13353717534856532,no,0.004,892.0,0.003006360533427823,40
Otu000663,17.270733427111722,0.00010442588098191447,0.07244843997884717,0.40532473129469804,no,0.0,1342.0,0.002928656929639125,44
Otu001508,26.42433431200425,3.155955909473354e-06,0.06504494976203068,0.45499592136466205,no,0.004,892.0,0.00284884880223642,72
Otu000006,10.235889012042266,0.0022014499436122117,-0.33685880486515074,0.00010919748085031175,yes,0.054,142.0,0.0028005575466151953,41
Otu001756,41.06975803286815,2.528117121365174e-08,0.0809095716552089,0.3527157544124043,no,0.002,1063.0,0.0027808499971700286,50
Otu000664,34.5263988350646,1.9781443516116307e-07,0.10629296668429403,0.2221275051372753,no,0.05,159.0,0.0027227231945079512,45
Otu002840,0.21925118784028927,0.6413076612051909,-0.2152300370174511,0.01343026679595345,yes,0.004,892.0,0.002657141163487163,43
Otu001406,27.40566303117295,2.2235582367910846e-06,0.09254362771020626,0.28779813580320124,no,0.038,214.0,0.0024699978154101637,52
Otu000347,15.315605428655335,0.0002348393935225648,0.0809095716552089,0.3527157544124043,no,0.002,1063.0,0.0023674916341640674,54
Otu001021,21.865953944318726,1.7047399912931422e-05,0.010047593865679535,0.9081220918271574,no,0.0,1342.0,0.0022666655165196744,53
Otu000338,3.281125082053871,0.07508694449530215,-0.30618720253833953,0.0004366291753599223,yes,0.008,667.0,0.0022630886552704784,48
Otu000524,44.88068426622838,8.130627042477396e-09,-0.036488630354309895,0.675134541926981,no,0.082,76.0,0.0021640763649983176,39
Otu000266,14.562878820452058,0.00032307005148407374,-0.3759915388683237,1.5697075862175207e-05,yes,0.036,230.0,0.0020055020146209634,60
Otu000232,12.757132567497933,0.0007063343971307449,-0.3252247488101534,0.00018729769223675582,yes,0.054,142.0,0.001979066494160411,49
Otu001521,37.42770205604819,7.802992002803684e-08,0.005817028027498679,0.9467290617311293,no,0.004,892.0,0.0018944043629749053,67
Otu002292,43.46796213443528,1.231789426898332e-08,-0.014278159703860394,0.8697309799351222,no,0.106,48.0,0.0018490570647755578,68
Otu001341,1.3128124207491108,0.2564354840202445,-0.21099947117927023,0.015369272070878244,yes,0.03,283.0,0.0018174009745085347,55
Otu000461,26.797147799032068,2.761411068514384e-06,0.1560021152829191,0.07315633590447475,no,0.014,513.0,0.0017902881731746152,56
Otu002392,1.0994125455613635,0.2986004008762939,-0.2131147540983607,0.014370949301152725,yes,0.028,307.0,0.0017851729406016435,65
Otu000928,72.93334060520037,5.906631149085232e-12,0.09571655208884189,0.27158979279943707,no,0.024,353.0,0.001783724857122832,59
Otu000248,9.262786317673509,0.0034682097015876915,-0.4066631411951349,2.997823411564666e-06,yes,0.032,261.0,0.0017607730500933164,70
Otu000287,1.584487504392045,0.2129912151941333,-0.3146483342147013,0.00030141754747406516,yes,0.012,563.0,0.0017585455539698767,63
Otu001338,13.705357076735867,0.00046696069364892876,-0.053410893707033315,0.5395575090748532,no,0.074,89.0,0.001750596538915936,63
Otu001241,53.07446905908003,8.152629566927301e-10,0.036488630354309895,0.675134541926981,no,0.004,892.0,0.0017096546990193681,75
Otu002120,16.308320893637482,0.00015512652157886864,-0.04071919619249075,0.6399960675323989,no,0.002,1063.0,0.0016893636553106722,98
Otu009078,32.14445173036052,4.344703065319206e-07,-0.12004230565838184,0.1679513180347738,no,0.09,58.0,0.0016617574238101914,92
Otu000803,8.603615417532794,0.004745214270318657,-0.06504494976203068,0.45499592136466205,no,0.004,892.0,0.0016465665938603436,76
Otu000396,8.90869284728279,0.004101922428442853,-0.4193548387096775,1.4591761577398434e-06,yes,0.196,6.0,0.0016373121418454015,62
Otu001131,47.62227664086274,3.690996255634437e-09,0.17503966155473297,0.04437606843345444,yes,0.112,42.0,0.0016356218835181155,74
Otu000564,34.056400648703814,2.3064594819417845e-07,0.12744579587519833,0.143233923537383,no,0.004,892.0,0.0015930294919290126,69
Otu001821,57.69165141337379,2.404515655327367e-10,0.09360126916975146,0.28232437455827164,no,0.0,1342.0,0.0015904470396643216,91
Otu001954,19.254478978259307,4.7040140340108794e-05,-0.02591221575885775,0.7659855693299591,no,0.122,29.0,0.001583474442262243,80
Otu001626,2.6374228936967197,0.10961528500568117,-0.29349550502379695,0.0007486449311619169,yes,0.008,667.0,0.0015786551944283265,99
Otu005294,67.52936307948511,2.0860437813343645e-11,-0.010047593865679535,0.9081220918271574,no,0.028,307.0,0.0015779894409286383,89
Otu000950,39.72637343527049,3.811865350180532e-08,0.1105235325224749,0.20426881688329745,no,0.006,760.0,0.0015574660597919992,93
Otu007226,49.218241767106655,2.3531729765264135e-09,-0.07244843997884717,0.40532473129469804,no,0.05,159.0,0.0015238399363921842,108
Otu000401,1.2512902626788232,0.26776476829717644,-0.09783183500793233,0.26113813937746155,no,0.0,1342.0,0.0015125125441971682,77
Otu001065,35.28961405133396,1.5442454879733997e-07,0.0671602326811211,0.44046490565728946,no,0.0,1342.0,0.0014593427453291393,58
Otu000875,22.494891437667757,1.3424557250757786e-05,0.07562136435748282,0.3850694042437577,no,0.002,1063.0,0.0014526064334353481,85
Otu001836,48.9082910200348,2.5667648754809127e-09,0.06610259122157588,0.4476969070283343,no,0.032,261.0,0.0014440462353359934,82
Otu000501,5.533479535143972,0.021954384881222408,-0.36329984135378107,3.0075464094401346e-05,yes,0.066,104.0,0.0014430712087126689,66
Otu000968,43.69476544560507,1.1518588112121068e-08,0.042834479111581183,0.62271890205929,no,0.006,760.0,0.001438007072372797,116
Otu002246,94.13026170259641,6.632464614449083e-14,0.0005288207297726071,0.9951536137242997,no,0.012,563.0,0.0014303124621896013,111
Otu000053,6.464303430359478,0.013604777817207122,-0.036488630354309895,0.675134541926981,no,0.0,1342.0,0.0013975770177314126,102
Otu002566,2.197031475054522,0.14351024333640203,-0.27657324167107356,0.0014893804588577083,yes,0.004,892.0,0.0013844567921186654,95
Otu004822,50.64815439922003,1.5812879381245013e-09,-0.02908514013749339,0.7383233431911786,no,0.008,667.0,0.00138078059545505,81
Otu003109,0.9217854049380676,0.3408597814948089,-0.2585933368588049,0.0029758074404713122,yes,0.012,563.0,0.0013201743595191845,112
Otu000951,43.446078372586214,1.2397993365389656e-08,0.03860391327340032,0.6574706719780812,no,0.038,214.0,0.0013042129222555735,82
Otu000714,1.2228060785061718,0.2732249426101504,-0.23849814912744582,0.006154939826796156,yes,0.0,1342.0,0.0012984703422900148,79
Otu000367,3.565650217168828,0.06382410181900666,-0.337916446324696,0.00010388323077359058,yes,0.056,133.0,0.001298457508790489,94
Otu000719,35.07072358780768,1.6575441070168828e-07,0.03437334743521946,0.692979190799845,no,0.0,1342.0,0.0012965936758844348,100
Otu001012,35.21373272055441,1.5825858410375477e-07,0.03754627181385511,0.6662794719715107,no,0.0,1342.0,0.0012885295730440723,84
Otu003127,13.827897880737684,0.0004428666294367947,-0.04812268640930725,0.5804404711721847,no,0.0,1342.0,0.0012819872902305788,164
Otu000400,5.0999874035526185,0.027574963067825326,-0.28714965626652567,0.0009729764642074238,yes,0.042,192.0,0.0012806473717496174,161
Otu001526,3.04049483026488,0.08633302842556437,-0.10735060814383926,0.2175613624394399,no,0.0,1342.0,0.0012802524150008524,87
Otu002648,1.1564056729207106,0.2865175631371653,-0.23109465891062933,0.007945576857488396,yes,0.008,667.0,0.0012558438967823708,78
Otu001926,114.50996172523087,1.544812735318604e-15,0.0015864621893178215,0.9854615563571196,no,0.102,52.0,0.0012417646511548189,95
Otu000554,3.356411695894753,0.07190824499711485,-0.18032786885245902,0.038334328812164295,yes,0.002,1063.0,0.0012340437784579877,131
Otu001259,26.575511918190738,2.9893622660419945e-06,0.008989952406134321,0.917757105100038,no,0.024,353.0,0.0012251975487956343,114
Otu000026,36.46143851958426,1.0601629014875104e-07,-0.13802221047065047,0.11289016240780402,no,0.008,667.0,0.0012230842052868777,125
Otu001802,18.42877029376036,6.53684011399538e-05,-0.006874669487043892,0.9370620025943025,no,0.006,760.0,0.0012105811117605631,106
Otu000357,5.946113195794567,0.017727024501140477,0.0809095716552089,0.3527157544124043,no,0.0,1342.0,0.0011994236672781115,130
Otu001230,0.026435018068589763,0.871388794794887,-0.02379693283976732,0.7845967275754077,no,0.046,178.0,0.0011916924218688305,104
Otu003994,1.3095560370133827,0.25701981196824375,-0.17503966155473297,0.04437606843345444,yes,0.0,1342.0,0.0011915697524598184,104
Otu001023,0.5039286202599007,0.4805288677492693,-0.24801692226335273,0.004389213311198166,yes,0.004,892.0,0.0011726195484510875,85
