,f_regr,p-value,kendall,p_kendall,kendall significant,RL score,RL ranking,Boruta score,Boruta ranking
Otu000001,52.36627774244894,9.876626098903584e-10,-0.27868852459016397,0.0013693199873179155,yes,0.226,64.0,0.02511465992602353,1
Otu000387,19.01982098740528,5.162982689266094e-05,0.23426758328926497,0.00712770188375983,yes,0.362,42.0,0.04643441312397076,1
Otu000450,77.46348761534692,2.134252013870593e-12,0.2057112638815442,0.018136583107215016,yes,0.162,72.0,0.06575750312731292,1
Otu000717,71.79577361149562,7.669629449677891e-12,0.16129032258064518,0.06394043767136362,no,0.042,91.0,0.07093788916076817,1
Otu000070,23.148722833823747,1.049494606974504e-05,-0.3929138022210471,6.390413019191506e-06,yes,0.712,2.0,0.041346089962876566,1
Otu000048,29.226456561182665,1.1742550141017185e-06,-0.1105235325224749,0.20426881688329745,no,0.046,90.0,0.022222019680474023,1
Otu001556,8.554932011360599,0.004857286486028092,-0.019566367001586465,0.8221807467648387,no,0.47,18.0,0.08745962456760577,1
Otu000040,8.241984901547493,0.005647326572488191,-0.10417768376520362,0.23146479677371512,no,0.514,13.0,0.01742935451419063,1
Otu000025,17.430639230207014,9.783644330829764e-05,0.13273400317292441,0.12736026314359072,no,0.442,23.0,0.08890974185759713,1
Otu001097,40.48785489967844,3.0181372943513954e-08,0.18350079323109467,0.03505639518827295,yes,0.556,11.0,0.1978005676474661,1
Otu000009,49.43922997131864,2.212175231784326e-09,-0.2670544685351666,0.0021592153130670323,yes,0.322,51.0,0.02693624985482677,1
Otu000010,43.246765797370955,1.31527910312867e-08,-0.21734531993654152,0.012544419627816052,yes,0.358,43.0,0.03175158231620479,1
Otu000363,97.79707551882876,3.253201259684695e-14,0.2511898466419884,0.003911789324516153,yes,0.424,28.0,0.03466237445868774,2
Otu000066,13.954349943144125,0.00041935583635877087,-0.2585933368588049,0.0029758074404713122,yes,0.422,29.0,0.03079206916215534,3
Otu000930,54.34773411966359,5.792450244430708e-10,0.1570597567424643,0.07123094798065756,no,0.098,84.0,0.0234520903828526,4
Otu000077,40.309949928838314,3.186809199340748e-08,-0.32205182443151775,0.00021635187287273515,yes,0.374,37.0,0.019355451264358156,5
Otu001754,22.716286988054733,1.2347775597241893e-05,-0.3315705975674247,0.00013984102275328843,yes,0.574,9.0,0.01980514533379715,6
Otu001821,24.69372530622683,5.916155822808942e-06,0.14436805922792176,0.09727219632180939,no,0.458,19.0,0.020667478718166977,6
Otu001065,49.16481685165101,2.388634218704548e-09,0.1560021152829191,0.07315633590447475,no,0.162,72.0,0.01931201449640994,8
Otu001693,68.79767947764927,1.5438458121617285e-11,0.23215230037017454,0.007664061217289074,yes,0.252,59.0,0.016669781916286125,8
Otu000304,30.597371158323917,7.32862569250268e-07,0.01639344262295082,0.8506442012050557,no,0.132,78.0,0.011735284317374176,10
Otu000227,0.13553882447689197,0.7140526307837536,0.13167636171337918,0.13042034760269913,no,0.612,4.0,0.013072824521996219,10
Otu001949,32.44006530961433,3.9358721686811076e-07,0.07879428873611846,0.365445157668264,no,0.196,67.0,0.010989320060693277,12
Otu004327,23.49665093758898,9.214460102307865e-06,-0.19090428344791116,0.02832586299618195,yes,0.504,14.0,0.012064801193821978,12
Otu000385,7.458143408008592,0.008279485091811551,-0.12638815441565313,0.14658349647125501,no,0.4,32.0,0.011531521500335566,14
Otu003047,15.471766724191275,0.00021991191011851995,-0.1475409836065574,0.09013826416642948,no,0.174,71.0,0.008394425650900867,15
Otu002006,6.933243604535807,0.010744314734335177,0.017451084082496036,0.841132804108627,no,0.25,60.0,0.008468396181454754,16
Otu000931,8.28702990356135,0.005525759626428022,-0.18878900052882075,0.030124678025085422,yes,0.548,12.0,0.007749080337604871,17
Otu000459,19.195049594826028,4.8160961912546096e-05,0.22792173453199369,0.008846514526183548,yes,0.28,55.0,0.00783085085594798,18
Otu000800,51.78006991819194,1.1587299547425523e-09,-0.28609201480698043,0.0010159278520640485,yes,0.428,27.0,0.007241889244817966,19
Otu001451,68.61625038612793,1.6114688165980897e-11,-0.24590163934426232,0.004736212845579131,yes,0.356,44.0,0.007455905935601354,20
Otu009766,47.445199642970174,3.881678800517692e-09,-0.16763617133791645,0.054168845050179,no,0.118,79.0,0.007870149026836585,20
Otu000215,12.419871054159898,0.0008197514246344216,-0.2554204124801692,0.0033485984709979246,yes,0.384,35.0,0.005114040551104807,22
Otu008727,54.91222945166412,4.984259626032447e-10,-0.1782125859333686,0.04066146605410904,yes,0.1,83.0,0.006936835654971846,23
Otu001130,74.71533068609831,3.941177403603343e-12,-0.2511898466419884,0.003911789324516153,yes,0.188,70.0,0.007140572890211671,23
Otu001104,33.653977090263155,2.632263428506645e-07,0.17186673717609732,0.048373035934335624,yes,0.142,75.0,0.006410350295335392,25
Otu001118,7.351153730510179,0.008728563613130864,-0.09994711792702275,0.2509679622796229,no,0.5,15.0,0.009195343511335,26
