,f_regr,p-value,kendall,p_kendall,kendall significant,RL score,RL ranking,Boruta score,Boruta ranking
Otu000328,12.861082663537138,0.0006747728844315469,-0.19619249074563724,0.024228626912034947,yes,0.224,14.0,0.06112570335020448,1
Otu000022,30.472101959956245,7.648760350385612e-07,-0.29349550502379695,0.0007486449311619169,yes,0.17,33.0,0.05638040475600816,1
Otu000500,35.149698943798946,1.6157058369248338e-07,0.054468535166578534,0.5315573786883039,no,0.026,310.0,0.040955538088674824,1
Otu000641,57.40115396369086,2.592696499440879e-10,0.15811739820200954,0.06934729602735884,no,0.024,329.0,0.054704940121196095,1
Otu000029,1.0334599366199244,0.3134292952304637,0.13590692755156006,0.11851454488683463,no,0.226,12.0,0.1130888228968642,1
Otu000671,61.08771604664774,1.0104801792485882e-10,0.10417768376520362,0.23146479677371512,no,0.276,4.0,0.12428660489389731,1
Otu000006,11.299056929672167,0.0013538349071871055,-0.3601269169751455,3.527206357468129e-05,yes,0.156,47.0,0.0630715853662809,1
Otu000250,35.55704971524543,1.4166096143896165e-07,0.17715494447382338,0.04186924985014155,yes,0.058,185.0,0.06095069537590127,1
Otu000004,24.873890287058416,5.537849284686943e-06,-0.35272342675832896,5.090935359404269e-05,yes,0.072,149.0,0.030531186859001802,1
Otu000025,8.864434601987583,0.004189269302220979,0.06821787414066632,0.43330035939248523,no,0.02,354.0,0.015614645881420308,2
Otu001097,12.779332377315484,0.0006994672896533434,0.13802221047065047,0.11289016240780402,no,0.092,115.0,0.028416665312618376,3
Otu000580,34.65382464840549,1.8977483210832505e-07,0.05235325224748811,0.5476174838836547,no,0.014,391.0,0.030168888902152084,3
Otu000524,40.05025821377794,3.450720404721459e-08,-0.06292966684294024,0.4697931005256184,no,0.15,50.0,0.02550426868517589,4
Otu000567,37.79972278850802,6.940406655359418e-08,0.07879428873611846,0.365445157668264,no,0.142,61.0,0.021244074066502024,5
Otu000007,24.29094903608247,6.861905193264714e-06,-0.1634056054997356,0.06053299745575032,no,0.0,463.0,0.007973350087197734,6
Otu001046,60.32475380867327,1.225057856203455e-10,0.19725013220518245,0.023473893154203864,yes,0.224,14.0,0.021417726802118942,8
Otu000210,7.755338674117524,0.007155106240985754,-0.3410893707033316,8.936719146077288e-05,yes,0.224,14.0,0.019317945260030143,8
Otu000088,3.5597824809113776,0.06403672924302116,-0.2141723955579059,0.013893580696605252,yes,0.026,310.0,0.021453336210448645,9
Otu001072,45.76794116274521,6.2821950612500275e-09,0.14965626652564784,0.08562071877277035,no,0.084,125.0,0.01824225610212963,10
Otu000201,30.92413400645019,6.557182076384941e-07,0.20994182971972503,0.01589095289369667,yes,0.028,296.0,0.01613486230383238,11
Otu000717,46.00981190075684,5.8579608536318334e-09,0.1189846641988366,0.17172926652477838,no,0.036,256.0,0.014046790084945858,13
Otu003003,26.245855848378138,3.365078002369599e-06,0.11475409836065575,0.1874782923695144,no,0.026,310.0,0.014801043719378739,13
Otu000044,19.531899793366676,4.2154947864900965e-05,-0.4066631411951349,2.997823411564666e-06,yes,0.206,22.0,0.015175275920542372,13
Otu000266,19.174689655338486,4.8551285516178926e-05,-0.38445267054468535,1.0061036986143798e-05,yes,0.12,78.0,0.013377060250871896,15
Otu000226,2.0285199834374437,0.15955125509329884,-0.2067689053410894,0.01755056781327346,yes,0.074,142.0,0.013621839699781197,16
Otu000773,41.14688940080917,2.4696394502440672e-08,0.06081438392384982,0.48485242655453675,no,0.004,438.0,0.011295002590675764,17
Otu001693,24.691631196335578,5.920707067319746e-06,0.12109994711792704,0.16423612271926746,no,0.018,366.0,0.013488027351150848,18
Otu000064,38.26346913860432,6.001376428552851e-08,-0.23849814912744582,0.006154939826796156,yes,0.016,380.0,0.014284856586262364,19
