,f_regr,p-value,kendall,p_kendall,kendall significant,RL score,RL ranking,Boruta score,Boruta ranking
Otu000001,40.577116727782716,2.9370137558835137e-08,-0.40454785827604445,3.3733195915374475e-06,yes,0.366,8.0,0.051461839364718834,1
Otu000053,11.437090045956616,0.0012719766708155847,-0.0597567424643046,0.49247903463002884,no,0.02,210.0,0.043092156431643616,1
Otu000078,8.631393864313315,0.00468248509743778,-0.1549444738233739,0.07512409412492457,no,0.01,217.0,0.14494404190544735,1
Otu000029,0.26775653456269566,0.606743250967398,0.1708090957165521,0.0497708189332417,yes,0.276,23.0,0.1095635630591008,1
Otu000250,46.09509517791587,5.715537450863161e-09,0.20148069804336333,0.020655374559544776,yes,0.142,83.0,0.11736626875182736,1
Otu000109,5.550442308672217,0.021760948591999712,-0.1401374933897409,0.10747828948666995,no,0.012,216.0,0.0436837883825747,1
Otu000026,25.008792902651745,5.271046635085533e-06,-0.12427287149656269,0.15346197500666528,no,0.178,63.0,0.03810706010880943,1
Otu000007,31.222872291190626,5.925413644419442e-07,-0.2649391856160762,0.002341428559656852,yes,0.154,77.0,0.05287523526174389,1
Otu000793,7.0471511220844425,0.010150368399326424,-0.13696456901110526,0.11567548243092071,no,0.026,207.0,0.03920423059104362,2
Otu000201,49.86233485206395,1.966071183618758e-09,0.19619249074563724,0.024228626912034947,yes,0.18,60.0,0.036716795947774473,3
Otu000025,2.245820850153055,0.13921902152245438,0.10946589106292967,0.20863238090870928,no,0.084,147.0,0.028771358189473583,4
Otu001065,41.92024027575129,1.955136357756779e-08,0.06081438392384982,0.48485242655453675,no,0.048,182.0,0.03284648674743976,4
Otu000070,13.908802972349775,0.00042767092645864076,-0.3601269169751455,3.527206357468129e-05,yes,0.09,141.0,0.03144191381009536,6
Otu000363,52.64241757848972,9.163455286014599e-10,0.0586991010047594,0.5001694995772945,no,0.28,22.0,0.023331779502701988,7
Otu000500,51.01577221994757,1.4288953886654847e-09,0.10100475938656797,0.24598789438193114,no,0.138,86.0,0.028168696759558853,7
Otu000717,54.50182874617368,5.559225930533641e-10,0.05764145954521418,0.5079232117171629,no,0.256,27.0,0.025609454345689616,9
Otu001097,28.245762531914494,1.6532346216875453e-06,-0.002644103648863036,0.9757716442259969,no,0.062,171.0,0.023364464996513956,9
Otu000773,58.17960989413601,2.1195661061913306e-10,0.043892120571126396,0.6141568248194942,no,0.11,114.0,0.026428759684072763,11
Otu000044,29.345906520741735,1.1266466692544181e-06,-0.4077207826546801,2.8254505234760224e-06,yes,0.404,4.0,0.028409732217080014,11
Otu000066,16.766197118837585,0.00012840690024439418,-0.2120571126388155,0.014862726381484934,yes,0.324,13.0,0.023676066213450406,13
Otu001415,55.793366236037464,3.9481308132427193e-10,0.09254362771020626,0.28779813580320124,no,0.056,176.0,0.019887687641212782,14
Otu000826,25.28541883360837,4.764772449996226e-06,0.0883130618720254,0.31040544291753647,no,0.06,174.0,0.01629875512916134,15
Otu001802,16.750368118021658,0.0001292458447365204,0.0005288207297726071,0.9951536137242997,no,0.212,43.0,0.01550785231148642,16
Otu000641,69.02228209967387,1.4641741358591036e-11,0.07667900581702804,0.37845755516525637,no,0.158,74.0,0.014280423177354047,17
Otu000450,66.07765912901631,2.955220999925465e-11,0.07562136435748282,0.3850694042437577,no,0.124,99.0,0.01360533272660042,19
Otu000803,20.821799796632718,2.5464706572742784e-05,0.09888947646747753,0.2560179684391073,no,0.402,5.0,0.013615032348792704,19
Otu001821,73.73588765401219,4.91935491233438e-12,0.035430988894764676,0.6840348113229664,no,0.31,17.0,0.0133333106326365,19
Otu000459,26.66521268238551,2.8948444371697326e-06,0.24061343204653624,0.005714879363194538,yes,0.028,205.0,0.011104329921647147,21
Otu000282,16.362743969523184,0.00015166892023424025,0.05235325224748811,0.5476174838836547,no,0.316,15.0,0.011345385712780834,22
Otu000205,5.033571328839859,0.028563948247818133,-0.2681121099947118,0.0020730698175373537,yes,0.272,25.0,0.009992448229776069,23
Otu000077,35.10082493373679,1.6414668549497433e-07,-0.32734003172924386,0.0001700107643646067,yes,0.194,52.0,0.0071362553106286255,23
