,f_regr,p-value,kendall,p_kendall,kendall significant,RL score,RL ranking,Boruta score,Boruta ranking
Otu003259,11.509711291897622,0.0012309989521404677,-0.2956107879428874,0.0006852546912333614,yes,0.558,5.0,0.08641388467972132,1
Otu001118,4.738813943705947,0.03343483011841719,-0.18244315177154946,0.036121399143357685,yes,0.3,49.0,0.0714229483496329,1
Otu001097,52.94081483490952,8.452383527261955e-10,0.08302485457429933,0.34027053918646066,no,0.162,77.0,0.03398232547645565,1
Otu001065,62.048290886872,7.9433999260455e-11,0.12427287149656269,0.15346197500666528,no,0.096,87.0,0.06570094096647235,1
Otu000010,0.9850511966887555,0.3249407569837828,0.10840824960338447,0.2130631061543815,no,0.25,66.0,0.004876989583320268,1
Otu000717,56.9596108899617,2.90838021056878e-10,0.10206240084611318,0.2410775208680488,no,0.236,68.0,0.05472949614687898,1
Otu000500,61.709267105424345,8.645678573242422e-11,0.1634056054997356,0.06053299745575032,no,0.18,75.0,0.04097321856990259,1
Otu000363,94.35276236458446,6.348788227418679e-14,0.12321523003701748,0.15699196891668546,no,0.554,6.0,0.05780903652118407,1
Otu000304,36.071208686947905,1.200970122049048e-07,0.03754627181385511,0.6662794719715107,no,0.134,84.0,0.019485393488868696,1
Otu000093,8.458832181754234,0.005086744196758928,-0.2533051295610788,0.0036202455665516444,yes,0.722,3.0,0.009712430645086156,1
Otu000071,25.171820763224417,4.966291457033139e-06,0.32416710735060816,0.000196548284700787,yes,0.508,14.0,0.009267323492276972,1
Otu000070,18.39747586058263,6.619398909774161e-05,-0.38656795346377576,8.989461648011176e-06,yes,0.412,23.0,0.03356749278530421,1
Otu000066,10.346131863939043,0.002092193951294578,-0.2575356953992597,0.003095639533784519,yes,0.206,70.0,0.010705619017137813,1
Otu000060,10.454402206138747,0.0019903966957887393,0.13484928609201483,0.12140795969939298,no,0.326,42.0,0.0857370366596349,1
Otu000044,25.96732764922323,3.7205456739388524e-06,-0.36964569011105236,2.178312121972452e-05,yes,0.554,6.0,0.015569276567568062,1
Otu000001,27.711122993426763,1.9956850126640112e-06,-0.3051295610787943,0.00045704449542703304,yes,0.348,39.0,0.02013715512587604,2
Otu000025,8.632268551402863,0.00468052406588582,0.12638815441565313,0.14658349647125501,no,0.494,15.0,0.03023183583149659,2
Otu000022,31.760720219931034,4.941903525851121e-07,-0.2818614489687996,0.00120588029082184,yes,0.416,22.0,0.02092984420193721,2
Otu000311,8.041651808495843,0.006223012616452049,-0.28291909042834484,0.0011555372292759779,yes,0.28,57.0,0.03983438345839417,3
Otu001201,20.46618057578021,2.9233825628412832e-05,0.05764145954521418,0.5079232117171629,no,0.18,75.0,0.026704952684370818,4
Otu000161,4.5462727519219115,0.03709324433440392,-0.0883130618720254,0.31040544291753647,no,0.248,67.0,0.02585748171738499,4
Otu000459,31.970738200480298,4.605217203575689e-07,0.2120571126388155,0.014862726381484934,yes,0.144,83.0,0.024919896407975085,6
Otu000450,70.37199531611087,1.0670115280917194e-11,0.10840824960338447,0.2130631061543815,no,0.152,81.0,0.022502039473424443,7
Otu000282,19.87032898722883,3.689925688691536e-05,-0.03014278159703861,0.7291753851156607,no,0.336,40.0,0.020415479281643802,9
Otu000117,2.3025920509013607,0.13440993971637258,-0.12427287149656269,0.15346197500666528,no,0.384,28.0,0.011395718783232691,9
Otu000077,33.80227271360361,2.5069894827773436e-07,-0.33051295610787945,0.00014687108894977392,yes,0.264,62.0,0.012558433618724794,9
Otu001821,77.05830828983449,2.3344054437427985e-12,0.09888947646747753,0.2560179684391073,no,0.308,45.0,0.019305412975457462,9
Otu000810,4.166790233011557,0.045629172585939,-0.15282919090428346,0.07918926508808039,no,0.378,30.0,0.016420074721517155,12
