,f_regr,p-value,kendall,p_kendall,kendall significant,RL score,RL ranking,Boruta score,Boruta ranking
Otu000001,25.521964458219593,4.371864003307095e-06,-0.24272871496562667,0.005303396447095224,yes,0.994,4.0,0.10193950311664894,1
Otu000387,25.70905853852609,4.084941301361574e-06,0.31993654151242734,0.00023801764403355135,yes,0.948,16.0,0.06539905041584443,1
Otu000009,0.5442104495737237,0.46356843543425086,0.12004230565838184,0.1679513180347738,no,0.998,1.0,0.02848438937043039,1
Otu000304,26.250242040246075,3.3597703818627213e-06,0.1538868323638287,0.07713485828481995,no,0.942,20.0,0.3301008703549581,1
Otu000012,10.632377757034261,0.0018341524540842744,-0.09571655208884189,0.27158979279943707,no,0.984,6.0,0.13346437263734198,1
Otu000023,9.837786454783577,0.0026482965506087574,-0.19513484928609204,0.025004307178977975,yes,0.97,9.0,0.024165237654563344,1
Otu000093,6.696131198963386,0.01210154753445385,-0.22686409307244848,0.00916650269705618,yes,0.996,2.0,0.04025360981497432,1
Otu000071,16.4018683288014,0.00014923279629245944,0.2533051295610788,0.0036202455665516444,yes,0.946,17.0,0.032453010226571176,1
Otu000077,18.201718075187657,7.160989888199087e-05,-0.3188789000528821,0.00024959871736090204,yes,0.908,23.0,0.042374923047702406,1
Otu000227,0.8771784574866712,0.35273025462986607,-0.0671602326811211,0.44046490565728946,no,0.954,14.0,0.03653360730107683,2
Otu000663,2.771159436216317,0.1011908442913201,0.10840824960338447,0.2130631061543815,no,0.958,12.0,0.01698628739532368,3
Otu003259,0.0226260088882785,0.8809382449507033,0.05764145954521418,0.5079232117171629,no,0.958,12.0,0.013180676744758573,4
Otu000267,1.8794587820370272,0.1755021585755428,-0.006874669487043892,0.9370620025943025,no,0.946,17.0,0.011361051984219106,5
Otu000050,5.542679087965587,0.021849250872658935,-0.18984664198836596,0.029213358598129364,yes,0.984,6.0,0.00814052682385789,6
Otu001784,0.7326674774131201,0.3954254202522267,0.03331570597567425,0.7019665725486033,no,0.926,21.0,0.007088108788825012,7
Otu001311,0.8851199460474349,0.3505756564365978,0.08408249603384454,0.33415477699110885,no,0.99,5.0,0.0067918982883615475,7
Otu000010,9.839192329382913,0.0026465615342263875,-0.18773135906927554,0.03106032271198976,yes,0.996,2.0,0.006075688586764908,9
Otu000377,0.049896074477866516,0.8240029910142137,-0.10100475938656797,0.24598789438193114,no,0.91,22.0,0.005453840917876977,10
Otu000763,0.16079057978209346,0.68985414234556,-0.09571655208884189,0.27158979279943707,no,0.944,19.0,0.004797137505716481,10
Otu000931,1.6113904512941282,0.20919827338960312,-0.19936541512427292,0.0220254425122031,yes,0.96,11.0,0.004380695284885562,12
Otu001183,0.1323132559247548,0.7173241507214141,0.031200423056583822,0.7200658218006414,no,0.962,10.0,0.0043324856964890275,12
Otu000005,0.3669443019791561,0.5469593796719867,-0.017451084082496036,0.841132804108627,no,0.884,24.0,0.0038059950968583793,14
Otu001269,9.318012185411641,0.0033790179322381072,-0.2120571126388155,0.014862726381484934,yes,0.982,8.0,0.004177364704955035,14
Otu000075,5.801762206187006,0.01909798413052089,0.14436805922792176,0.09727219632180939,no,0.952,15.0,0.0036842305584580833,16
