,f_regr,p-value,kendall,p_kendall,kendall significant,RL score,RL ranking,Boruta score,Boruta ranking
Otu000931,3.0423149575340847,0.08624126091280886,0.09360126916975146,0.28232437455827164,no,0.886,11.0,0.14403309139253462,1
Otu000012,2.670655842387292,0.10745060950988784,0.11263881544156532,0.19574162327288547,no,0.838,24.0,0.037276307160856295,1
Otu000023,1.2800466865140974,0.26239220600281327,0.04494976203067161,0.6056470249748174,no,0.842,23.0,0.06871883366761808,1
Otu000663,9.311532014085458,0.0033893580956456215,-0.22792173453199369,0.008846514526183548,yes,0.864,16.0,0.13952984474496946,1
Otu000377,6.419003205334927,0.013920928170393178,0.13590692755156006,0.11851454488683463,no,0.846,22.0,0.22584523255321942,1
Otu001784,2.5131512278258246,0.11815688351096534,-0.1983077736647277,0.02273964862980675,yes,0.896,7.0,0.08251314262063511,2
Otu000071,1.6413851341350862,0.20506518297675833,0.06081438392384982,0.48485242655453675,no,0.894,8.0,0.055388216432413984,3
Otu000093,10.53967471371217,0.001913870610531672,-0.14225277630883132,0.10227396966765567,no,0.894,8.0,0.07932319774541224,4
Otu000267,10.66245750433276,0.0018090374767546003,-0.2511898466419884,0.003911789324516153,yes,0.87,15.0,0.04169959036293845,5
Otu002251,3.670923048118928,0.060137602396725824,-0.019566367001586465,0.8221807467648387,no,0.906,4.0,0.036337255146153324,6
Otu001693,0.0005727769399308885,0.9809856624617925,0.01850872554204125,0.8316445391372341,no,0.862,17.0,0.021589195768342537,7
Otu001526,4.227981249612494,0.044120276471799794,-0.17503966155473297,0.04437606843345444,yes,0.862,17.0,0.01751546975901258,8
Otu000763,0.4099986690457523,0.5244080264139088,0.09677419354838711,0.26632868390737796,no,0.852,21.0,0.014376848235389584,9
Otu000009,1.4938409187648967,0.22640130815747642,0.07456372289793761,0.391751388867732,no,0.876,13.0,0.011903796366744079,10
Otu000077,0.0005873634442837249,0.9807451198252469,-0.036488630354309895,0.675134541926981,no,0.838,24.0,0.008643084454612787,11
Otu001311,1.0033294064023732,0.3205288793093826,-0.07773664727657326,0.371916070912212,no,0.898,6.0,0.009847761189523803,13
Otu000387,1.9714320237493348,0.16545115654021644,0.1401374933897409,0.10747828948666995,no,0.878,12.0,0.009028531437276204,13
Otu000227,0.5663100133414366,0.4546713288182941,-0.021681649920676893,0.8033318877997414,no,0.902,5.0,0.009576109095376593,13
Otu000304,0.6198655786559215,0.43419636399264905,-0.07667900581702804,0.37845755516525637,no,0.826,26.0,0.007601608517371927,15
Otu000050,0.032422522984272145,0.8577102304254479,0.017451084082496036,0.841132804108627,no,0.89,10.0,0.00568466077173409,16
Otu000005,3.152001860281774,0.08090556099998931,0.09465891062929668,0.27692163845046003,no,0.782,30.0,0.005755301927245974,17
Otu001556,0.6221536446720638,0.43335375349085925,-0.06081438392384982,0.48485242655453675,no,0.914,2.0,0.005591305604329449,18
Otu000010,0.017565724304408954,0.8950040307860605,-0.0015864621893178215,0.9854615563571196,no,0.854,20.0,0.00395168105895771,19
Otu001021,0.10294197102244332,0.7494421885999902,0.04494976203067161,0.6056470249748174,no,0.876,13.0,0.0044363733374977,20
Otu001269,1.8461889280127193,0.1793135741398404,0.12004230565838184,0.1679513180347738,no,0.77,31.0,0.003699810552672787,21
Otu001130,1.2268951025681583,0.2724324480316433,0.04600740349021682,0.5971904314185322,no,0.908,3.0,0.003157023544843103,22
Otu000001,2.137044527214524,0.14899671579956983,0.13590692755156006,0.11851454488683463,no,0.804,28.0,0.002928017355501753,23
Otu001148,0.010598662257133216,0.9183461305747646,0.06398730830248546,0.46236148255917053,no,0.806,27.0,0.0031244868769486666,24
Otu001194,0.006096599231818177,0.9380236542090985,0.0586991010047594,0.5001694995772945,no,0.924,1.0,0.0025388346957757016,25
Otu000075,0.1559692418776538,0.6942954745471853,-0.02379693283976732,0.7845967275754077,no,0.856,19.0,0.0020100874956533676,26
Otu005522,3.6927543347182428,0.059402600104662764,0.11686938127974619,0.1794753846620406,no,0.66,32.0,0.0016642868990670765,27
Otu008727,0.3123202265295389,0.5783398109039917,0.09254362771020626,0.28779813580320124,no,0.582,34.0,0.001158918630783818,28
Otu002674,1.0616773463034137,0.3069686675019874,0.09888947646747753,0.2560179684391073,no,0.652,33.0,0.00108297700814634,29
Otu001700,1.3152507480466948,0.2559990417508511,0.10629296668429403,0.2221275051372753,no,0.792,29.0,0.0010773476980555365,30
Otu005973,1.1408719714875057,0.28974683952156643,0.10100475938656797,0.24598789438193114,no,0.504,36.0,0.0008438731979305773,31
Otu007916,0.7790364598892601,0.3809586205487574,0.0819672131147541,0.34645756275487705,no,0.542,35.0,0.0008410302017343281,32
