,f_regr,p-value,kendall,p_kendall,kendall significant,RL score,RL ranking,Boruta score,Boruta ranking
Otu000053,19.97980176592673,3.5348564470525966e-05,0.4066631411951349,2.997823411564666e-06,yes,0.184,28.0,0.05834238556884045,1
Otu001301,25.529030459337235,4.360657132119953e-06,0.2755156002115283,0.0015529809561462722,yes,0.304,4.0,0.144381716184503,1
Otu000108,33.955278906662464,2.3841881273038737e-07,0.38762559492332105,8.495458688839208e-06,yes,0.19,26.0,0.05474387302699377,1
Otu000120,20.252968936706885,3.1766805703865605e-05,-0.36329984135378107,3.0075464094401346e-05,yes,0.23,14.0,0.08971741308799046,1
Otu000269,50.81694912664291,1.5093304990830444e-09,0.31359069275515605,0.00031586282159383364,yes,0.334,2.0,0.3098763424453354,1
Otu000373,15.845195934613637,0.0001880782976079402,-0.16975145425700688,0.05120231621036073,no,0.07,158.0,0.03898117078599197,2
Otu000346,19.426881369685606,4.3939228244180094e-05,-0.36964569011105236,2.178312121972452e-05,yes,0.234,13.0,0.03803390000817958,3
Otu000029,27.616006316113413,2.0639276274297517e-06,0.4130089899524062,2.0968599325382353e-06,yes,0.226,18.0,0.03747527995075821,4
Otu000113,39.53502251811235,4.0433947810337656e-08,0.32839767318878904,0.00016194114791569765,yes,0.146,42.0,0.02343075036506168,5
Otu000637,24.05909539414838,7.476095725140818e-06,0.24590163934426232,0.004736212845579131,yes,0.248,10.0,0.019161026495996703,6
Otu000060,15.017153511342539,0.0002663711953342224,0.337916446324696,0.00010388323077359058,yes,0.168,35.0,0.022470305592703896,6
Otu000622,16.28141996766055,0.00015686572409505308,-0.34426229508196726,7.678240830538443e-05,yes,0.056,186.0,0.019582471466472698,8
Otu000126,18.037286147653347,7.651391278946523e-05,0.358011634056055,3.9198574783358984e-05,yes,0.002,497.0,0.014478106418498215,9
Otu000501,7.32508717132835,0.008841816257491534,-0.2152300370174511,0.01343026679595345,yes,0.244,11.0,0.012070196355568497,10
Otu000080,8.538919010261674,0.004894753521743267,0.28397673188789,0.0011071428242544364,yes,0.0,523.0,0.01206506403375916,10
Otu000387,9.296169242297116,0.0034140044898616794,0.33051295610787945,0.00014687108894977392,yes,0.08,128.0,0.011543266339745912,12
Otu000523,35.35972878477828,1.50967288762178e-07,0.33474352194606033,0.00012060467436436669,yes,0.19,26.0,0.010541892843240953,13
Otu000307,7.601805790847905,0.007714391773628939,0.1464833421470122,0.09246792327578955,no,0.138,50.0,0.008374745653806309,14
Otu000158,15.442801620031705,0.00022260430986065856,-0.38445267054468535,1.0061036986143798e-05,yes,0.04,237.0,0.009318000734514291,16
Otu000067,5.687601528511398,0.020261908967428667,-0.2215758857747224,0.010926513726306278,yes,0.14,48.0,0.008935363122998993,16
Otu000179,16.12718377322645,0.0001672360770242918,0.1708090957165521,0.0497708189332417,yes,0.02,340.0,0.01059662737191381,16
Otu000624,12.356383301878592,0.0008431431990879686,0.2437863564251719,0.0051078595842863166,yes,0.106,85.0,0.006451256398073841,18
Otu000175,22.595138553055687,1.292542194744485e-05,0.2575356953992597,0.003095639533784519,yes,0.184,28.0,0.006201492150139495,19
Otu000256,19.299584257218363,4.6207548111041255e-05,-0.2966684294024326,0.0006554652469371023,yes,0.058,179.0,0.005275244677483258,20
Otu000340,3.4521635504946127,0.06807732138501407,0.13061872025383398,0.13353717534856532,no,0.022,330.0,0.004382261674679791,21
Otu000389,17.908151344833975,8.06089083142585e-05,-0.37281861448968806,1.8503152881191165e-05,yes,0.048,208.0,0.004240690141965948,22
Otu000377,13.336841226745493,0.0005479859370656105,0.24167107350608147,0.005505669316548916,yes,0.104,89.0,0.004474888478224255,23
Otu000273,17.82276309231853,8.344102623529749e-05,-0.3400317292437864,9.397843478136477e-05,yes,0.058,179.0,0.0036091797157544515,23
Otu000483,14.842911794425099,0.0002867857873652617,-0.36118455843469066,3.345178475456043e-05,yes,0.08,128.0,0.00331052465143477,25
Otu000369,14.198611486271385,0.0003775443076506136,-0.2818614489687996,0.00120588029082184,yes,0.296,6.0,0.0036824924468525813,25
Otu000151,3.395440768638632,0.07031887110186098,0.09994711792702275,0.2509679622796229,no,0.042,230.0,0.0027611401107732825,27
Otu000392,33.83162694986318,2.4829326067943374e-07,0.4288736118455844,8.389551984479677e-07,yes,0.166,36.0,0.0027388871382498263,28
Otu000171,11.029385501770156,0.001530016535168579,0.24061343204653624,0.005714879363194538,yes,0.008,442.0,0.0025502391867530043,29
