,f_regr,p-value,kendall,p_kendall,kendall significant,RL score,RL ranking,Boruta score,Boruta ranking
Otu000025,14.949927643846468,0.0003381593909233273,0.46428571428571425,2.5209221763723572e-06,yes,0.278,1.0,0.1562007590096035,1
Otu000242,12.241538805864842,0.0010335617413386098,0.05442176870748299,0.5811748261750435,no,0.044,153.0,0.18463248994925777,2
Otu000376,11.696969149780301,0.001304013341104597,-0.5884353741496599,2.4474461110115245e-09,yes,0.08,77.0,0.08517658380816051,3
Otu000140,10.253305238469673,0.0024489361847967743,-0.5663265306122448,9.422448920108975e-09,yes,0.138,26.0,0.06541290766681934,3
Otu000173,7.401351840036439,0.009108087070314245,0.15136054421768705,0.12494830897273529,no,0.036,189.0,0.04080444980008543,5
Otu000330,1.2665982825477673,0.26612017997397963,-0.1139455782312925,0.24806668958082645,no,0.038,177.0,0.04430595077455079,6
Otu000514,4.503173180096077,0.039131488376094446,0.3571428571428571,0.00029422644631176454,yes,0.158,20.0,0.03789062710790965,7
Otu000231,13.351168047488791,0.0006490371913557048,-0.5884353741496599,2.4474461110115245e-09,yes,0.06,110.0,0.029703667345008806,8
Otu000216,6.415669141789154,0.01470890279201467,0.39115646258503395,7.335769072011753e-05,yes,0.06,110.0,0.03258606795145246,9
Otu000106,2.9194048225797467,0.0941171281871679,0.3282312925170067,0.0008770559294260229,yes,0.026,260.0,0.021100096257594386,10
Otu000232,4.334301285343134,0.04282240912285708,-0.3775510204081632,0.00012960552084704158,yes,0.02,310.0,0.01004672458347799,11
Otu000041,10.223545000380476,0.0024815174586380793,0.4591836734693877,3.2443511607538027e-06,yes,0.246,4.0,0.010562019585906138,11
Otu000248,14.402392665772991,0.000421769083178048,0.2755102040816326,0.005224967193295695,yes,0.05,128.0,0.009110734963783633,13
Otu000359,30.855978883340036,1.261470569520598e-06,0.2772108843537414,0.0049531280515114715,yes,0.122,32.0,0.009445106707591211,14
Otu000269,26.633135829704997,4.875346408228053e-06,0.12244897959183672,0.2145110743538774,no,0.032,206.0,0.008240433107637847,15
Otu000335,14.218777918945383,0.0004544498938808353,0.3996598639455782,5.0928906149187936e-05,yes,0.108,43.0,0.007737428542638443,16
Otu000256,10.264741103979013,0.0024365364927411482,-0.5323129251700679,6.813646781519998e-08,yes,0.016,372.0,0.007174655144834617,17
Otu000981,21.94859522475471,2.4198040700962844e-05,0.09863945578231292,0.31735845608931246,no,0.276,2.0,0.005832816988925682,18
Otu003236,47.82599779934356,1.097464983498905e-08,-0.045918367346938764,0.6415941132332803,no,0.234,5.0,0.01777864763452533,19
Otu000057,20.639765816752945,3.868696896394942e-05,0.21428571428571425,0.029840688951516866,yes,0.032,206.0,0.005907374060833048,20
Otu000539,11.698297237170769,0.0013032699245039527,-0.37925170068027203,0.00012082475879322805,yes,0.118,34.0,0.005258405009645583,21
Otu000949,6.265988710839176,0.01584059501553581,0.045918367346938764,0.6415941132332803,no,0.06,110.0,0.00593596451135657,22
Otu000591,4.965437223938946,0.03068066832277261,0.08333333333333333,0.3982538507983723,no,0.022,292.0,0.005205669709865648,23
Otu000290,2.93309742747743,0.09337173444963764,0.2738095238095238,0.005510214550181909,yes,0.1,50.0,0.00521453312241199,25
Otu000213,11.098372832188668,0.0016891310635223085,0.2363945578231292,0.01656088328711478,yes,0.148,24.0,0.005579078384040541,25
Otu000143,5.5409929517036725,0.022808127528714382,0.34013605442176864,0.0005648915764034486,yes,0.008,503.0,0.004468271579344141,25
Otu000083,7.759570967771574,0.007679227908033732,0.3333333333333333,0.0007275648003932548,yes,0.158,20.0,0.004399810187785356,27
Otu000040,6.843685431839515,0.011923357882775574,0.1649659863945578,0.09447540898884037,no,0.062,104.0,0.004970558249352328,28
Otu000367,12.942771476676977,0.0007692894121778182,-0.5136054421768707,1.9255940828885054e-07,yes,0.032,206.0,0.005191933484770168,29
Otu000816,3.541888878118144,0.066037447144708,-0.4064625850340135,3.784099397553616e-05,yes,0.022,292.0,0.004837393545323313,30
Otu001325,5.094840436567548,0.02868500112200641,-0.5289115646258503,8.251648466259171e-08,yes,0.038,177.0,0.004448119050721447,31
Otu000540,4.3497161054245375,0.042470285679925494,-0.5119047619047618,2.112663678549221e-07,yes,0.118,34.0,0.003983816871768575,32
Otu000063,1.4976139948162772,0.22713855286786613,0.26530612244897955,0.0071583013687227925,yes,0.004,578.0,0.004541883224402111,33
Otu000601,6.017604370287521,0.017928915444810588,-0.5255102040816326,9.981608700721558e-08,yes,0.046,144.0,0.0037981340884231,34
Otu000081,42.56719324099972,4.311311188158183e-08,0.16326530612244894,0.09792278796068518,no,0.112,40.0,0.004627590501135458,35
Otu000065,7.3119128763741426,0.00950721769957113,-0.0510204081632653,0.6050234382823838,no,0.134,29.0,0.004783831383896621,36
Otu000792,5.0715695093106685,0.029033300058111874,-0.08163265306122447,0.40795133408745543,no,0.074,80.0,0.0047188218269447,37
Otu000124,1.2242314605979268,0.2741630228426359,-0.022108843537414963,0.8226672570009078,no,0.032,206.0,0.002598400967756373,38
Otu000175,8.286231758212077,0.0059942431949230575,0.1377551020408163,0.16259005344270083,no,0.038,177.0,0.0030362971354186085,39
Otu000079,13.858864283491949,0.0005264588381051857,0.3112244897959183,0.0016057523748368799,yes,0.02,310.0,0.0024022874295904786,40
Otu000282,27.484323117395846,3.6879551945532912e-06,-0.052721088435374146,0.5930442023122554,no,0.27,3.0,0.0032901352516463093,41
Otu000190,4.376890940611058,0.04185717032160254,-0.26870748299319724,0.0064522280817959935,yes,0.082,73.0,0.0027555004732768983,42
Otu000047,0.4069302784309101,0.5266276027360023,-0.1496598639455782,0.1292436949165529,no,0.002,619.0,0.0026044554096768167,43
Otu000722,26.571665645744435,4.97528973660279e-06,0.12244897959183672,0.2145110743538774,no,0.016,372.0,0.0023993006703262342,44
Otu000126,22.65522666073904,1.886017283887582e-05,0.28571428571428564,0.0037763365818667405,yes,0.046,144.0,0.001976824426835285,45
Otu000107,1.560460734455831,0.2177834950185577,-0.4183673469387754,2.2256669312337983e-05,yes,0.024,273.0,0.0020997320524798638,46
Otu001076,5.48122570842601,0.02351409526218238,-0.010204081632653059,0.9176153329240851,no,0.006,544.0,0.0027542109037201204,47
Otu000908,0.1433975368077937,0.7066317335124588,0.08163265306122447,0.40795133408745543,no,0.02,310.0,0.0021065153541729,48
Otu001140,0.15390785928243997,0.6966019681748968,-0.2925170068027211,0.0030246316355358994,yes,0.016,372.0,0.0029067650011823337,49
Otu000839,9.106784183972662,0.0041036850791454325,-0.5119047619047618,2.112663678549221e-07,yes,0.018,341.0,0.002069295259824697,50
Otu000402,2.005118760813085,0.1633623765948219,0.07142857142857141,0.46902510142647214,no,0.024,273.0,0.0016361719629377322,50
Otu000029,6.3299298838249465,0.015346172997410638,0.3503401360544217,0.0003832279737729962,yes,0.034,200.0,0.001355740956325527,52
Otu000489,0.46708121578303685,0.4976885660815925,-0.3333333333333333,0.0007275648003932548,yes,0.01,469.0,0.002751595489543234,53
Otu001485,6.660828200112031,0.01303762970736556,-0.45238095238095233,4.5235416085151105e-06,yes,0.02,310.0,0.002823484089741146,54
Otu000937,0.3556130030973246,0.5538142964586734,0.0017006802721088435,0.9862454138892961,no,0.028,239.0,0.0014270399819887576,54
Otu000169,18.556135114332278,8.343566747175422e-05,0.31292517006802717,0.0015134114996369979,yes,0.032,206.0,0.002344323690803958,56
Otu000017,4.273362927469854,0.04424585791044255,-0.2074829931972789,0.03544480586571703,yes,0.014,406.0,0.0017804431079734612,57
Otu000202,0.20115460659510154,0.6558514569500122,-0.19047619047619044,0.05350245010871615,no,0.038,177.0,0.0013257930841535778,58
Otu000511,0.0021041392806026575,0.9636075007405085,-0.18197278911564624,0.06508922373339714,no,0.012,442.0,0.0012259206637522618,59
Otu000389,6.850014908818528,0.011886652979642181,-0.4761904761904761,1.385300605775425e-06,yes,0.068,91.0,0.0009489415681177458,60
Otu000215,10.387380865450194,0.0023076448037118056,-0.2363945578231292,0.01656088328711478,yes,0.008,503.0,0.0017664408358881926,61
Otu000224,4.097170158894659,0.04865964774298927,-0.1649659863945578,0.09447540898884037,no,0.008,503.0,0.002085145158242274,61
Otu001568,5.623860386583865,0.02186670138344755,0.19727891156462585,0.04552166446736793,yes,0.208,8.0,0.001206953256107952,63
Otu000212,0.1898095610927801,0.6650696052637851,-0.10884353741496598,0.2698799964964187,no,0.0,657.0,0.0009864550160626152,63
Otu000418,6.417199784468172,0.01469778603253469,0.31972789115646255,0.0011908687845414872,yes,0.118,34.0,0.000892696962538692,65
Otu000078,0.31656824019634155,0.5763514196818265,0.07823129251700679,0.4277633315804734,no,0.01,469.0,0.0008471572923188769,66
Otu000453,2.2075855512406393,0.14401085382062323,-0.28911564625850333,0.0033815121570193772,yes,0.098,53.0,0.0010614885732083054,67
Otu000033,0.5233068158851532,0.4730195409154839,0.19047619047619044,0.05350245010871615,no,0.002,619.0,0.000784039466653008,68
Otu000382,6.160638278850582,0.016692708065408582,-0.39115646258503395,7.335769072011753e-05,yes,0.068,91.0,0.0009620711152864992,69
Otu000273,0.22931315033440847,0.634254001319981,-0.10714285714285712,0.27743506997023704,no,0.0,657.0,0.0008418157496638504,69
Otu000468,9.053151900465233,0.0042055347335044745,-0.5357142857142856,5.619750992952596e-08,yes,0.03,219.0,0.001260521304269155,71
Otu000023,0.22084983338182076,0.6405664338387911,-0.24659863945578228,0.01242801630485908,yes,0.034,200.0,0.001317977236778814,72
Otu000038,2.5692527228773825,0.11565937898888312,0.3061224489795918,0.0019147851483005047,yes,0.042,160.0,0.0008753140013276849,73
Otu000680,4.839889339642028,0.03276079606556973,-0.48469387755102034,8.955321511772411e-07,yes,0.02,310.0,0.0010629837601629753,74
Otu000487,7.933907129614866,0.007071765765595114,0.17006802721088432,0.08471378004781592,no,0.152,22.0,0.0008055183606691369,75
Otu000828,3.6342398830654643,0.06272710910641018,-0.46598639455782304,2.316262849180931e-06,yes,0.018,341.0,0.0010049461969243566,76
Otu000073,0.5895605408682397,0.44642971444823787,0.14795918367346936,0.1336529021758006,no,0.018,341.0,0.0005599419291621106,77
Otu000048,0.032300020207387536,0.8581433848267314,0.12925170068027209,0.1901231103830675,no,0.002,619.0,0.000719030815869392,78
Otu000060,8.858324313314764,0.0045985852357535795,0.4081632653061224,3.510782122358292e-05,yes,0.058,114.0,0.0010682641405614644,78
Otu000085,0.03702361808846706,0.8482459665910481,0.12755102040816327,0.1960195896478505,no,0.024,273.0,0.00040311594447640296,80
Otu001316,2.333610240109018,0.13331043419095145,0.01530612244897959,0.8766975149490891,no,0.006,544.0,0.0007355248002186934,81
Otu000163,2.1930556079296153,0.14530726180577405,0.11904761904761903,0.22751804363501182,no,0.002,619.0,0.0007204444806321214,82
Otu000312,0.5542894242765567,0.46027680353112566,0.141156462585034,0.1524609681352398,no,0.11,42.0,0.0006088507696628368,82
Otu000532,0.18743479796141682,0.6670405751976937,-0.3605442176870748,0.000257372227056324,yes,0.01,469.0,0.0003597067523233895,84
Otu000026,5.575019958686251,0.022416397786059274,-0.3333333333333333,0.0007275648003932548,yes,0.15,23.0,0.0005215824180764536,85
Otu000254,0.42319291729669806,0.518515755033665,-0.34013605442176864,0.0005648915764034486,yes,0.032,206.0,0.000731885654758441,86
Otu000271,2.6167592288749675,0.11243287775933107,0.34013605442176864,0.0005648915764034486,yes,0.096,57.0,0.0005293208441162004,87
Otu001229,5.258856171173218,0.026354241489467668,0.011904761904761902,0.9039463242886906,no,0.014,406.0,0.0008525388003533661,87
Otu000080,0.19598344233767673,0.660013436541323,0.0510204081632653,0.6050234382823838,no,0.008,503.0,0.0006431217984612587,89
Otu000559,0.4467843463647833,0.5071356266383478,0.07312925170068027,0.458508009913984,no,0.036,189.0,0.0004351019749821844,90
Otu000012,5.830645163015613,0.019694516181523656,-0.314625850340136,0.001425984662435095,yes,0.028,239.0,0.0003407932136428932,91
Otu000139,3.8888770497439573,0.054507885344054326,0.19387755102040813,0.04937692182703168,yes,0.036,189.0,0.0003172494638357875,92
Otu000104,7.480754598799065,0.008768647791042711,0.38775510204081626,8.471827534956576e-05,yes,0.016,372.0,0.0005771956857112735,93
Otu000436,0.00028570898933121306,0.9865856080633182,0.14455782312925167,0.14281943951411188,no,0.0,657.0,0.0006400084059377399,94
Otu000262,4.097955977803597,0.04863892706849127,-0.17857142857142855,0.07027013060567645,no,0.014,406.0,0.0009198657036301003,95
Otu000676,1.5888535901453127,0.21371209603072458,-0.16156462585034012,0.1014699409909578,no,0.004,578.0,0.0008810164841917134,96
Otu000219,2.7495374756366795,0.10394297020649375,-0.46768707482993194,2.1276089190125014e-06,yes,0.004,578.0,0.00032006927617528346,97
