,f_regr,p-value,kendall,p_kendall,kendall significant,RL score,RL ranking,Boruta score,Boruta ranking
Otu000025,23.527551102928253,1.3918729260938874e-05,0.5391156462585033,4.629700836994348e-08,yes,0.822,1.0,0.23618846718377023,1
Otu000390,15.302441278673516,0.0002936878761357124,0.3333333333333333,0.0007275648003932548,yes,0.58,7.0,0.33670861161146415,2
Otu000041,19.257717282868576,6.42139869622682e-05,0.4761904761904761,1.385300605775425e-06,yes,0.734,2.0,0.16414628773346893,3
Otu002142,0.04334346171368164,0.8359794662596559,0.10714285714285712,0.27743506997023704,no,0.516,14.0,0.016362265550144823,4
Otu000070,0.1239614908268935,0.7263508456573131,0.12074829931972789,0.22094594612913177,no,0.312,46.0,0.010170817731096005,5
Otu000012,4.9268250244710625,0.03130479514781766,-0.2925170068027211,0.0030246316355358994,yes,0.538,11.0,0.012283671518872252,5
Otu000176,0.14131110841757247,0.7086725300135845,-0.13605442176870747,0.16784120746850628,no,0.584,6.0,0.009792187810833918,7
Otu000231,3.180514651342758,0.0809792758290589,-0.33503401360544216,0.0006832461491183846,yes,0.316,45.0,0.008010839549577767,7
Otu000267,0.43226858758561215,0.5140850361119791,0.19897959183673466,0.043691180186498674,yes,0.632,5.0,0.008595433095788722,9
Otu000030,0.01048499467943673,0.9188777861671356,0.11054421768707481,0.26246726798831144,no,0.368,39.0,0.00785600827203193,10
Otu000007,4.174406002040579,0.04666837212635007,0.227891156462585,0.02088173655437838,yes,0.34,44.0,0.008145919326506731,10
Otu000009,8.152622435605595,0.0063808268212597954,0.46598639455782304,2.316262849180931e-06,yes,0.432,32.0,0.008710997280159383,13
Otu000775,5.626086115609417,0.021841998051929063,-0.25510204081632654,0.00971108273702679,yes,0.52,12.0,0.0058739350704889145,13
Otu000056,6.039828823780533,0.017730578610327008,-0.2874149659863945,0.003573967737896971,yes,0.348,43.0,0.008165621103557534,13
Otu000227,0.3930196217164217,0.5337500146097962,-0.006802721088435374,0.945022506107728,no,0.376,37.0,0.005105496371625527,15
Otu000023,0.010907706105109041,0.9172646320479092,-0.12925170068027209,0.1901231103830675,no,0.494,18.0,0.006913863886020423,15
Otu000022,0.07984854657535814,0.7787435038435438,0.1649659863945578,0.09447540898884037,no,0.48,21.0,0.0032423903965005684,17
