,f_regr,p-value,kendall,p_kendall,kendall significant,RL score,RL ranking,Boruta score,Boruta ranking
Otu000376,11.943447606535448,0.0011733925759857562,-0.6241496598639455,2.500392546586494e-10,yes,0.136,55.0,0.23842546583115473,1
Otu000290,15.023343747872616,0.00032834750458058136,0.3061224489795918,0.0019147851483005047,yes,0.218,19.0,0.2836882430056759,2
Otu000025,19.0263840564945,6.99800840043407e-05,0.49319727891156456,5.747779167933561e-07,yes,0.432,1.0,0.12958497007218658,3
Otu000282,18.176933987029216,9.62500246369418e-05,0.03061224489795918,0.7563221245530038,no,0.38,4.0,0.0864698700500006,4
Otu000175,11.398867056375712,0.0014827174469811489,0.2738095238095238,0.005510214550181909,yes,0.198,22.0,0.02496891389835193,5
Otu000041,13.58116749454615,0.0005901604024357173,0.4540816326530612,4.164638413203902e-06,yes,0.388,3.0,0.03023241580499444,6
Otu000514,4.581604095622568,0.03753602991994077,0.31972789115646255,0.0011908687845414872,yes,0.264,9.0,0.03474326070474207,6
Otu000216,9.14184611269522,0.004038512548167185,0.3962585034013605,5.898289676856399e-05,yes,0.172,32.0,0.016393818577861576,8
Otu000248,16.737172236672144,0.00016705434283801287,0.2517006802721088,0.010726914948907562,yes,0.174,28.0,0.016240246866569205,8
Otu001345,18.88960516071146,7.36419876631212e-05,-0.03401360544217687,0.7302496780110819,no,0.25,11.0,0.012299231580837216,10
Otu000063,0.7389329449067532,0.3943663742663476,0.2874149659863945,0.003573967737896971,yes,0.012,238.0,0.012502664408153017,10
Otu000057,24.070604683528074,1.1544237725536095e-05,0.2159863945578231,0.028565003169583086,yes,0.146,50.0,0.010033398187398792,12
Otu000949,5.983712906417608,0.018235955943527952,0.045918367346938764,0.6415941132332803,no,0.166,36.0,0.012160975074155698,12
Otu000591,5.621296121707857,0.021895199291322928,0.0901360544217687,0.36087315291282684,no,0.108,80.0,0.009552885871185728,14
Otu000215,9.420818026581136,0.003557337672259817,-0.2363945578231292,0.01656088328711478,yes,0.03,214.0,0.00809961829331388,15
Otu000224,2.374987985022356,0.12999909824458245,0.1921768707482993,0.051405051828243266,no,0.074,132.0,0.007377430987554676,17
Otu000340,6.817603609681347,0.0120758858483757,0.15646258503401358,0.1127280255597816,no,0.178,24.0,0.007600471315445115,17
Otu000076,0.9644557663891966,0.33109531796221636,0.022108843537414963,0.8226672570009078,no,0.062,151.0,0.007579511014021796,17
Otu000716,5.905052417975322,0.01897048598671745,-0.06632653061224489,0.5013627040281308,no,0.174,28.0,0.006647358235833358,19
Otu000079,17.460791205663877,0.00012639493160756314,0.3214285714285714,0.0011208270047992895,yes,0.068,144.0,0.005963520578357444,20
Otu000033,1.5237608506609681,0.2231876723314079,0.2431972789115646,0.013690890476681367,yes,0.072,137.0,0.003595549753919611,22
Otu000142,1.528107186887806,0.22253914120825266,-0.3214285714285714,0.0011208270047992895,yes,0.294,7.0,0.005119578693624008,22
Otu000730,6.973925567889761,0.011191802737106685,-0.1530612244897959,0.12076504955313516,no,0.222,18.0,0.004053842669878432,22
Otu000860,9.379118157535585,0.0036252322798818364,-0.08503401360544216,0.3886965661798537,no,0.182,23.0,0.004880530559056587,24
Otu000722,23.97148557224554,1.194376337621466e-05,0.1139455782312925,0.24806668958082645,no,0.06,158.0,0.004209210562273454,25
Otu000436,0.17022896631556597,0.6817844613376223,0.2772108843537414,0.0049531280515114715,yes,0.016,232.0,0.0037108123924177146,25
Otu000262,3.863340359396133,0.05527628448782019,-0.11564625850340135,0.24107757968146992,no,0.078,125.0,0.0034845929502227493,27
Otu000294,7.137139169608555,0.010341813925589135,-0.03741496598639455,0.7044853217640503,no,0.284,8.0,0.003881129297643888,27
Otu001485,6.337003310564536,0.015292499162161714,-0.4506802721088435,4.911969524772735e-06,yes,0.056,171.0,0.0037032661690143535,29
Otu000255,23.429662663838304,1.43984541222389e-05,0.08333333333333333,0.3982538507983723,no,0.134,59.0,0.0037157212792691273,29
Otu000601,6.121878883831532,0.01701842572478367,-0.5153061224489794,1.7545832937738527e-07,yes,0.156,45.0,0.0026684712688825195,31
Otu000107,0.17649415427775536,0.6763180456089188,-0.2482993197278911,0.011836152101473407,yes,0.03,214.0,0.0028021832386976413,32
Otu000273,2.958268451729715,0.09201869232076668,-0.01530612244897959,0.8766975149490891,no,0.098,92.0,0.004801838356789245,32
Otu000082,2.6211565655590583,0.11213942981756024,-0.1649659863945578,0.09447540898884037,no,0.05,183.0,0.003793246507398314,34
