,f_regr,p-value,kendall,p_kendall,kendall significant,RL score,RL ranking,Boruta score,Boruta ranking
Otu000025,20.110754612133285,4.6902165307081716e-05,0.4999999999999999,4.0104025253562055e-07,yes,0.512,4.0,0.25072908169902103,1
Otu000168,32.0384215807747,8.761619893848825e-07,0.33503401360544216,0.0006832461491183846,yes,0.656,1.0,0.2929747878125375,2
Otu000104,10.235700587707525,0.0024681547559047327,0.4064625850340135,3.784099397553616e-05,yes,0.19,59.0,0.04038962331451263,3
Otu000215,8.840555274404743,0.004636316775160748,-0.21938775510204078,0.026153990206217278,yes,0.254,39.0,0.07658068179184849,4
Otu000216,5.34630666745505,0.025195575130439078,0.22959183673469385,0.01994634657823373,yes,0.424,7.0,0.023455149787589707,6
Otu000210,6.145720599224086,0.01681727406767678,0.4200680272108843,2.060806710111531e-05,yes,0.148,76.0,0.02483085796931667,6
Otu000041,14.383047464476673,0.00042509297467215203,0.43537414965986393,1.017805130893184e-05,yes,0.354,18.0,0.02682128743266769,6
Otu000120,1.9383359910055533,0.1704020970781495,-0.3928571428571428,6.82331608410895e-05,yes,0.304,24.0,0.017431033748859865,8
Otu000514,11.421477099975311,0.0014683001975236607,0.401360544217687,4.730409543410869e-05,yes,0.358,17.0,0.012222506909931789,9
Otu000676,0.032253847930054716,0.8582437030506194,0.08843537414965985,0.3700055866071643,no,0.174,67.0,0.01422590954844802,10
Otu000022,1.8957679053582108,0.17507613916728454,0.03401360544217687,0.7302496780110819,no,0.574,3.0,0.03158431895966052,10
Otu000067,1.4395770229707725,0.23622113373913867,0.017006802721088433,0.863125657367583,no,0.064,94.0,0.011858996355346681,12
Otu000441,8.621775515090567,0.0051286774290860235,-0.4727891156462584,1.6461020628674325e-06,yes,0.164,71.0,0.011903603280215683,13
Otu000225,29.349262076794204,2.0246325451800744e-06,0.07312925170068027,0.458508009913984,no,0.6,2.0,0.009681786710192562,14
Otu000030,1.1748151818601278,0.2839430801734905,0.05442176870748299,0.5811748261750435,no,0.086,92.0,0.006445416244643123,15
Otu000390,10.876860346350245,0.0018605451039630093,0.33503401360544216,0.0006832461491183846,yes,0.326,21.0,0.007073247526373412,16
Otu000103,8.00343745662919,0.006843895684288447,0.2568027210884353,0.0092360660015323,yes,0.294,28.0,0.006426785142615077,17
Otu000509,7.774553885132846,0.007624908990964387,-0.4285714285714285,1.3965866928889613e-05,yes,0.35,20.0,0.005500793872951747,18
Otu000176,0.1778775250005982,0.6751265155205519,-0.13945578231292516,0.1574638016062907,no,0.204,55.0,0.006621638440338906,18
Otu000248,7.549679694755925,0.00848488660714862,0.1377551020408163,0.16259005344270083,no,0.376,13.0,0.0048556364529368495,20
Otu000078,0.28708765470658537,0.5946195969370249,0.26530612244897955,0.0071583013687227925,yes,0.184,63.0,0.004667659073486797,21
Otu000082,0.8633864078002865,0.3575406279753668,-0.04251700680272108,0.6664743483965757,no,0.27,36.0,0.003966633871127954,22
