,f_regr,p-value,kendall,p_kendall,kendall significant,RL score,RL ranking,Boruta score,Boruta ranking
Otu000231,46.369369123782576,1.5903247765460908e-08,-0.5850340136054422,3.021113231841162e-09,yes,0.142,21.0,0.18090521122180028,1
Otu000256,41.74845411031727,5.3750279608013856e-08,-0.6207482993197279,3.1243365900939765e-10,yes,0.088,75.0,0.11865252716931972,2
Otu000060,24.723516875610564,9.23839117077152e-06,0.5068027210884354,2.7853301347483144e-07,yes,0.17,15.0,0.0946898442593352,3
Otu000128,9.375384051738408,0.003631378443943909,-0.3945578231292517,6.344864018365044e-05,yes,0.108,50.0,0.08117087775739311,4
Otu000104,28.093140161259736,3.0269020051181926e-06,0.49319727891156456,5.747779167933561e-07,yes,0.074,97.0,0.07212222643643039,5
Otu000376,38.43903219242339,1.3401189950993795e-07,-0.5714285714285713,6.933414075024239e-09,yes,0.136,27.0,0.042232310566587744,7
Otu000106,8.559143215762905,0.005279598778316712,0.3826530612244898,0.0001049186595988543,yes,0.014,381.0,0.04540365963208909,7
Otu000816,20.809462276076797,3.638266713263402e-05,-0.4574829931972788,3.5269715975708105e-06,yes,0.046,168.0,0.056689906265830085,7
Otu000297,31.95574471594491,8.986072872845373e-07,0.39115646258503395,7.335769072011753e-05,yes,0.252,1.0,0.02867981982304896,9
Otu000408,31.43728554784708,1.0537556169329646e-06,-0.5068027210884354,2.7853301347483144e-07,yes,0.066,114.0,0.02441340332029612,10
Otu000226,37.93170955148782,1.5466312529465284e-07,0.5289115646258503,8.251648466259171e-08,yes,0.094,63.0,0.02534281882258513,11
Otu000025,17.602829333404948,0.0001197125820918203,0.369047619047619,0.00018328322054061435,yes,0.24,3.0,0.020928199823562074,12
Otu000041,16.31549307103409,0.00019687467692049927,0.4047619047619047,4.0775366535560836e-05,yes,0.22,4.0,0.016238823075506587,13
Otu000056,22.987252233624062,1.6792281117065466e-05,-0.4965986394557822,4.803898504061071e-07,yes,0.13,30.0,0.0117381327942279,14
Otu000298,29.954551562175862,1.6721911169648792e-06,0.28401360544217685,0.003989066082360051,yes,0.174,13.0,0.02099709071462612,15
Otu000087,14.340665314937121,0.0004324714880326056,-0.47108843537414963,1.7936028613521393e-06,yes,0.016,353.0,0.012866595468486201,15
Otu000107,18.674194511382606,7.982110991056216e-05,-0.5272108843537414,9.076810718040278e-08,yes,0.082,87.0,0.012112967640127169,17
Otu000175,18.358434200391276,8.987730844889161e-05,0.260204081632653,0.008347785002393497,yes,0.092,68.0,0.01996589577665217,18
