,f_regr,p-value,kendall,p_kendall,kendall significant,RL score,RL ranking,Boruta score,Boruta ranking
Otu000012,6.783847791209069,0.011579475354198851,-0.3495505023796933,5.945384581368384e-05,yes,0.11,99.0,0.10048935840266007,1
Otu000005,5.649858400141889,0.02066312600841643,0.2152300370174511,0.01343026679595345,yes,0.286,18.0,0.06383779277898421,1
Otu000244,22.536289903853078,1.321605399333906e-05,-0.426758328926494,9.497022722769375e-07,yes,0.296,14.0,0.1233151872635593,2
Otu000084,18.114852317775746,7.415855627480064e-05,0.3929138022210471,6.390413019191506e-06,yes,0.342,9.0,0.0997569717300727,3
Otu000060,20.050649781217952,3.438115278237357e-05,0.34531993654151244,7.297389485121223e-05,yes,0.352,7.0,0.075296902417231,4
Otu000358,20.43988976954006,2.9534500167420348e-05,-0.35695399259650984,4.131408476101215e-05,yes,0.296,14.0,0.07448587286686476,4
Otu000041,4.805553657687697,0.032258800949324,-0.12638815441565313,0.14658349647125501,no,0.154,59.0,0.07048064755517,6
Otu000261,10.905789545463303,0.001618608929071417,-0.2215758857747224,0.010926513726306278,yes,0.182,45.0,0.04010843502790681,7
Otu000058,22.206852189599054,1.4972938224732883e-05,-0.32416710735060816,0.000196548284700787,yes,0.226,28.0,0.03408681501673676,8
Otu001293,12.087617557200465,0.0009501444357826562,-0.33051295610787945,0.00014687108894977392,yes,0.254,21.0,0.03667611478438191,9
Otu000240,9.209760914975975,0.0035561696504321024,-0.3125330512956108,0.00033095419998480595,yes,0.076,159.0,0.028734966030379387,10
Otu003366,18.024885650542416,7.689760151653021e-05,0.20148069804336333,0.020655374559544776,yes,0.452,3.0,0.023744168150211402,11
Otu000322,2.1066262926470207,0.15187114898460022,0.13061872025383398,0.13353717534856532,no,0.114,92.0,0.02074106100206609,11
Otu000716,7.565871093267486,0.007851822153449406,-0.20253833950290853,0.019998643486598668,yes,0.204,37.0,0.017706858874029455,13
Otu000048,0.8794758898107378,0.35210505919025603,0.08725542041248019,0.31623566306310347,no,0.014,255.0,0.023378154215957857,14
Otu003889,6.846412198093876,0.011221673013475347,0.13590692755156006,0.11851454488683463,no,0.362,5.0,0.019014010226170167,15
Otu000217,9.095398803340775,0.0037539255275101193,-0.19513484928609204,0.025004307178977975,yes,0.266,19.0,0.012425535473299783,16
Otu000637,0.494191295632615,0.48478241490382534,0.0809095716552089,0.3527157544124043,no,0.118,88.0,0.011391495745298423,16
Otu001328,4.501364462434665,0.038007019480186775,0.10312004230565838,0.23623658084798216,no,0.062,183.0,0.010445090427435584,18
Otu000124,9.653522720109684,0.0028863248710039573,-0.19090428344791116,0.02832586299618195,yes,0.228,26.0,0.006658702781585829,19
Otu000022,1.7606009281648143,0.18957730486415633,-0.2300370174510841,0.008236318014360814,yes,0.034,238.0,0.007192308625122693,20
Otu000136,8.06166837338049,0.006162814699279235,-0.19513484928609204,0.025004307178977975,yes,0.124,82.0,0.009736910390427001,20
Otu000075,4.006616642082846,0.04984982560031175,-0.2734003172924379,0.0016877474142213043,yes,0.086,138.0,0.0045839802813572635,22
Otu000262,3.5882941669741704,0.06301077148990794,-0.21840296139608675,0.012121210317214266,yes,0.248,22.0,0.004015716526796156,23
Otu000267,9.522610216429534,0.0030689653748021124,-0.22580645161290325,0.00949678214056465,yes,0.348,8.0,0.004289315828100743,23
Otu000016,9.46607612260252,0.0031515402633457475,0.2596509783183501,0.0028602220933594148,yes,0.108,102.0,0.002962491050287685,26
Otu000246,2.042152250969956,0.15817888179898468,-0.005817028027498679,0.9467290617311293,no,0.186,42.0,0.00359416817452493,26
Otu001512,11.837218272288881,0.0010625968169758627,0.2882072977260709,0.0009317119850916349,yes,0.304,12.0,0.0037133388793659044,26
Otu002792,10.700673914457557,0.0017776457964989432,-0.2554204124801692,0.0033485984709979246,yes,0.476,1.0,0.00390907086688897,28
Otu000059,1.5271364322272345,0.2213592358280176,-0.1538868323638287,0.07713485828481995,no,0.222,30.0,0.002968757396867481,29
Otu001663,13.715213793328143,0.0004649731517947796,0.12004230565838184,0.1679513180347738,no,0.308,11.0,0.004066054792711293,29
Otu001142,8.069495720204095,0.006139441396198401,0.2755156002115283,0.0015529809561462722,yes,0.106,104.0,0.002751299601971364,31
Otu000379,8.10646123545151,0.006030310217289042,-0.2300370174510841,0.008236318014360814,yes,0.112,96.0,0.0027439600672292818,32
Otu000095,7.6532084420311,0.007522189567054939,-0.24272871496562667,0.005303396447095224,yes,0.094,124.0,0.0025992098684852354,33
Otu001649,4.332718827675492,0.041661229700219925,-0.2120571126388155,0.014862726381484934,yes,0.114,92.0,0.002647675591884252,35
Otu000515,3.86173944004151,0.05403372639095212,0.14436805922792176,0.09727219632180939,no,0.214,33.0,0.0020379819396173617,35
Otu000017,8.633162431329024,0.004678520894356452,0.24272871496562667,0.005303396447095224,yes,0.158,58.0,0.0022988369376383,35
Otu000378,1.660080971438629,0.20253874298034955,-0.09783183500793233,0.26113813937746155,no,0.226,28.0,0.0023039447924454695,37
Otu000010,1.8928772344877178,0.1739919957702687,-0.13907985193019567,0.11015797072837553,no,0.15,65.0,0.0025739977721581818,38
Otu000339,0.9607722752214869,0.3309282713559203,-0.12427287149656269,0.15346197500666528,no,0.184,43.0,0.002473038395107822,38
Otu000044,1.1988992387357564,0.2779177783691962,0.04706504494976203,0.5887879515824399,no,0.08,155.0,0.002996775940285273,40
Otu000779,5.845023599756917,0.018675666637054743,0.19936541512427292,0.0220254425122031,yes,0.222,30.0,0.0019419994826305313,41
Otu000195,0.0380312099401352,0.8460393560830235,-0.04600740349021682,0.5971904314185322,no,0.092,127.0,0.00232461480903222,42
Otu000117,1.5219607028159103,0.22213394340372716,0.07033315705975675,0.4191752810902468,no,0.16,56.0,0.0019535353961143806,43
Otu000019,0.009334902278760075,0.9233523233134732,0.035430988894764676,0.6840348113229664,no,0.002,263.0,0.0017818563773036894,44
Otu001345,4.257537105234844,0.0434108595761663,-0.18350079323109467,0.03505639518827295,yes,0.096,116.0,0.002011972329883058,45
Otu001556,2.5909959830733893,0.11272206807993226,-0.18561607615018513,0.03300662408805976,yes,0.034,238.0,0.0016536298032516817,45
Otu000056,9.7889889574541,0.002709261722923497,-0.2437863564251719,0.0051078595842863166,yes,0.12,86.0,0.0020719310863298096,47
Otu000065,0.18963064865629686,0.664786777058852,0.036488630354309895,0.675134541926981,no,0.046,219.0,0.0014779467653710133,48
Otu000046,3.324566881236101,0.07323433365341757,-0.10206240084611318,0.2410775208680488,no,0.362,5.0,0.0017868760404837352,49
Otu000179,0.8080901813700903,0.37227902005998303,0.06398730830248546,0.46236148255917053,no,0.044,224.0,0.0017156373156950858,50
