,f_regr,p-value,kendall,p_kendall,kendall significant,RL score,RL ranking,Boruta score,Boruta ranking
Otu000005,6.505458413808677,0.013324139979342597,0.2236911686938128,0.010189343366381486,yes,0.466,4.0,0.1091893023241711,1
Otu000060,23.745496516805495,8.39874869594155e-06,0.36858804865150724,2.2994403764623597e-05,yes,0.554,2.0,0.17838464625588596,1
Otu000012,8.222473226041147,0.0057008531996451,-0.3558963511369646,4.353762989404655e-05,yes,0.206,67.0,0.08689366144676032,1
Otu000017,21.331824260041817,2.091656738125929e-05,0.40243257535695404,3.7936915027300353e-06,yes,0.324,21.0,0.10462194629749628,1
Otu000261,9.947151608868328,0.002516814204022466,-0.20253833950290853,0.019998643486598668,yes,0.154,100.0,0.04147982428156173,2
Otu003366,17.835828887411363,8.300106093557863e-05,0.21840296139608675,0.012121210317214266,yes,0.612,1.0,0.045147240045851925,3
Otu000320,9.456812485543706,0.003165291151487058,0.2131147540983607,0.014370949301152725,yes,0.514,3.0,0.036915256340551664,4
Otu000041,2.5477151746735585,0.11570803011697058,-0.10523532522474882,0.2267618747979493,no,0.184,83.0,0.040571011400813095,5
Otu000124,9.130630789727139,0.0036918027919294566,-0.19619249074563724,0.024228626912034947,yes,0.346,13.0,0.0347192392260351,6
Otu000058,16.936736945719563,0.0001197187138390691,-0.3030142781597039,0.0005005743727716913,yes,0.244,41.0,0.03489120994433403,6
Otu000244,10.93162175485266,0.0015996598486681217,-0.26282390269698575,0.002537623854602996,yes,0.332,19.0,0.027776661432999974,8
Otu000025,12.582192004947125,0.0007629677896473186,0.28503437334743525,0.001060628512944695,yes,0.224,51.0,0.03250997138640916,8
Otu000267,8.239047731596198,0.005655350284969821,-0.2120571126388155,0.014862726381484934,yes,0.342,16.0,0.024131417772415144,10
Otu000022,1.9826014008961212,0.16427706025728217,-0.18984664198836596,0.029213358598129364,yes,0.142,108.0,0.025997060114106095,11
Otu000379,7.549019804187784,0.007917154403281725,-0.21734531993654152,0.012544419627816052,yes,0.18,85.0,0.02011190707871922,12
Otu001512,13.121674730777274,0.0006019394040477924,0.298783712321523,0.0005994653088563061,yes,0.268,30.0,0.016374867651127535,13
Otu000322,1.8190264957089588,0.18249793220142096,0.1179270227392914,0.17557046123972542,no,0.214,59.0,0.014622453808045256,14
Otu000176,0.6004815626206554,0.44143760961324296,-0.08302485457429933,0.34027053918646066,no,0.172,93.0,0.012146253697854518,15
Otu000779,5.86670982238927,0.018467709675555694,0.2120571126388155,0.014862726381484934,yes,0.296,26.0,0.009420909256897104,16
Otu001663,14.149273814773464,0.00038562576279124294,0.1644632469592808,0.05888654482737057,no,0.322,23.0,0.010473356745161295,17
Otu000136,8.178846159984642,0.00582247268490374,-0.19513484928609204,0.025004307178977975,yes,0.232,48.0,0.00834528119357864,17
Otu000179,1.1823635960211878,0.2812242255459067,0.06292966684294024,0.4697931005256184,no,0.1,125.0,0.008052274809764748,19
Otu000323,6.21485303307172,0.015445332260140793,-0.18455843469063987,0.03401831392926335,yes,0.42,7.0,0.008836346584128291,20
Otu000192,0.20296232125201716,0.6539640719449727,0.01850872554204125,0.8316445391372341,no,0.196,78.0,0.009323371956650565,20
Otu000459,7.899492404461682,0.0066687276674768405,0.2215758857747224,0.010926513726306278,yes,0.434,6.0,0.007862943751996688,22
Otu000056,8.31696732429177,0.005446487208869707,-0.18244315177154946,0.036121399143357685,yes,0.412,9.0,0.007381979821243552,23
Otu000506,3.0009952603183807,0.08835146435585309,-0.1634056054997356,0.06053299745575032,no,0.178,89.0,0.006049482909351865,24
Otu001345,4.938437523642021,0.03004723420886397,-0.17398202009518773,0.045676246657190236,yes,0.236,44.0,0.007020059521267984,25
Otu000821,7.415967956169253,0.008453535412589763,0.2152300370174511,0.01343026679595345,yes,0.292,27.0,0.005554538036103249,26
Otu000083,2.1990575888679125,0.14332903879732278,-0.12215758857747225,0.160583177351021,no,0.14,109.0,0.0046969304081180396,27
Otu000117,1.234814673683698,0.27090587205825967,0.09994711792702275,0.2509679622796229,no,0.26,34.0,0.004319122172858327,27
Otu000262,3.8270330347250985,0.05509170274050468,-0.219460602855632,0.011710703546026484,yes,0.418,8.0,0.005229824857354344,29
Otu000075,4.641681303258847,0.035229395969142506,-0.2649391856160762,0.002341428559656852,yes,0.218,55.0,0.005642778295056707,30
Otu000007,4.453005622859248,0.03901817466596669,0.20359598096245374,0.01936021236597907,yes,0.038,139.0,0.004165128356767307,30
Otu000010,1.0570386914844927,0.30801855270853434,-0.11369645690111055,0.1915771852565088,no,0.4,11.0,0.004686838240813897,32
Otu000385,1.3569586017800537,0.24867584894048358,-0.15071390798519305,0.08343155716888288,no,0.14,109.0,0.003330083021627674,33
Otu000087,1.5150518878343382,0.2231732254410792,-0.11686938127974619,0.1794753846620406,no,0.18,85.0,0.0038620793863768763,34
Otu001142,3.41160007605035,0.06967215074017928,0.16975145425700688,0.05120231621036073,no,0.172,93.0,0.0036695792455248262,35
Otu000247,1.4470769968404997,0.2337229493635112,-0.14225277630883132,0.10227396966765567,no,0.078,131.0,0.003237246562355905,36
Otu001318,1.2778363929156937,0.26280028586054843,0.08408249603384454,0.33415477699110885,no,0.258,35.0,0.0027839325236317333,37
Otu000048,0.10094814428965916,0.7517979079181506,-0.008989952406134321,0.917757105100038,no,0.124,119.0,0.002424643987637332,38
Otu001672,2.843214416817691,0.0969543638591038,0.19090428344791116,0.02832586299618195,yes,0.3,25.0,0.002154152497920338,39
Otu004590,0.12457593331855772,0.7253605456699818,0.03754627181385511,0.6662794719715107,no,0.324,21.0,0.0023916233490803712,40
Otu000298,0.9259644717327697,0.33977593524680394,0.005817028027498679,0.9467290617311293,no,0.346,13.0,0.0026176500682855404,41
Otu000065,0.3387043567744813,0.5627585048109754,0.05235325224748811,0.5476174838836547,no,0.126,118.0,0.002372823179497832,42
Otu000019,0.05910107903453189,0.8087516171747305,0.04706504494976203,0.5887879515824399,no,0.044,138.0,0.0033401933079793764,42
Otu000328,0.008370457558856936,0.9274078619998298,0.015335801163405606,0.8601773798492061,no,0.236,44.0,0.0017697824038422404,44
Otu000255,0.04915335315775209,0.8252959649461926,-0.01850872554204125,0.8316445391372341,no,0.146,104.0,0.0018869225647744003,45
Otu000931,0.08630915069016071,0.7699366894473841,-0.002644103648863036,0.9757716442259969,no,0.082,129.0,0.0021115866547108124,46
Otu000119,1.8300866253827515,0.181193305909581,0.1179270227392914,0.17557046123972542,no,0.188,82.0,0.0018942757744864296,47
Otu002057,4.264266446331114,0.0432510665053356,-0.12427287149656269,0.15346197500666528,no,0.148,103.0,0.002097873673874757,48
Otu000195,0.5256479438084356,0.47126048095003126,0.09571655208884189,0.27158979279943707,no,0.318,24.0,0.0018119816752008924,48
Otu000509,1.9083539833255638,0.17226912423139076,-0.04600740349021682,0.5971904314185322,no,0.252,37.0,0.0019525660118486971,50
Otu001799,0.7775634220784092,0.3814063580697782,-0.02062400846113168,0.8127427567946938,no,0.232,48.0,0.002031070897314053,50
Otu000246,2.24303584715181,0.13945996872219973,-0.02591221575885775,0.7659855693299591,no,0.328,20.0,0.0015971460857796488,52
Otu000049,1.7164634637021754,0.19514262607412977,-0.14331041776837655,0.09974807926699701,no,0.07,135.0,0.0018883840009006104,53
Otu000210,0.7380409324059215,0.39370849089535553,0.055526176626123754,0.5236178201610369,no,0.21,61.0,0.0016202137288665289,54
Otu000009,5.9926836069642295,0.01730733889432756,0.15917503966155475,0.06750474728448311,no,0.246,40.0,0.0015582143365999459,54
Otu000833,0.7287638445763489,0.39667958029867545,-0.10312004230565838,0.23623658084798216,no,0.206,67.0,0.0016087583527236745,56
Otu001264,2.9324137862252475,0.0919817496547364,-0.12109994711792704,0.16423612271926746,no,0.212,60.0,0.0013184451115017502,57
Otu001854,0.4082110326806896,0.5253105378778622,-0.06292966684294024,0.4697931005256184,no,0.174,90.0,0.001415790968085259,58
Otu000312,1.34524451255232,0.2507058613619894,-0.13907985193019567,0.11015797072837553,no,0.224,51.0,0.0013031138447752574,58
Otu000161,1.4281770808365943,0.23676458014281712,-0.11581173982020096,0.18344450831464842,no,0.032,140.0,0.0015568127181636547,60
Otu001649,3.6099955778949853,0.062241921245141586,-0.13273400317292441,0.12736026314359072,no,0.262,33.0,0.0017952182113645998,61
Otu000106,4.7965319677410285,0.03241514577806307,0.18773135906927554,0.03106032271198976,yes,0.05,137.0,0.0013297306185291004,62
Otu000311,0.27976707826905406,0.5988052977664561,0.09254362771020626,0.28779813580320124,no,0.258,35.0,0.0013016286704900357,62
Otu000082,0.055557958956581464,0.8144624685089374,-0.04600740349021682,0.5971904314185322,no,0.01,141.0,0.0013262475375675727,64
Otu001052,0.6299308584539386,0.4305084207799339,0.03966155473294554,0.6487091932544818,no,0.174,90.0,0.0012165984194493669,64
Otu000427,1.1156958718907073,0.2950816689224955,-0.09360126916975146,0.28232437455827164,no,0.252,37.0,0.0023047501240560956,66
Otu000682,6.73163463174083,0.01188730318061973,0.13802221047065047,0.11289016240780402,no,0.266,31.0,0.0020456039048336394,66
Otu000042,0.016159811251501482,0.8992695107153265,0.026969857218402966,0.75672965263019,no,0.074,133.0,0.001218340478061142,68
Otu000020,0.8956711669427655,0.3477410664224152,0.07562136435748282,0.3850694042437577,no,0.146,104.0,0.001241614954361323,69
Otu000810,1.3405593702264798,0.25152357850219975,0.10312004230565838,0.23623658084798216,no,0.346,13.0,0.0011065570097686405,70
Otu000162,1.3525424411017255,0.24943873443873046,-0.13167636171337918,0.13042034760269913,no,0.14,109.0,0.0008853671065462819,71
Otu000733,0.08181487033986974,0.7758381144866054,-0.06187202538339504,0.4772902611997323,no,0.198,74.0,0.0010199810717085788,72
Otu000450,2.2367926890209437,0.14000184324429793,-0.0809095716552089,0.3527157544124043,no,0.18,85.0,0.0017684488442488776,73
Otu000330,0.06625159392796648,0.7977554557150567,-0.03966155473294554,0.6487091932544818,no,0.17,96.0,0.0012257253562827784,74
Otu000644,2.603112679053483,0.11190178262357284,-0.10312004230565838,0.23623658084798216,no,0.14,109.0,0.0013851176604924677,75
Otu000004,0.00918162278062433,0.9239822353419844,-0.021681649920676893,0.8033318877997414,no,0.264,32.0,0.0011451212192000932,75
Otu002606,8.871180650951581,0.004175830534706374,0.08302485457429933,0.34027053918646066,no,0.194,79.0,0.0018488845238771358,77
Otu000485,1.625864280291445,0.20719144457005068,0.09148598625066104,0.29334303753664936,no,0.206,67.0,0.0013902121263475041,77
Otu000184,0.020695167378169028,0.886094573137364,0.02591221575885775,0.7659855693299591,no,0.216,57.0,0.0011054876599087932,79
