,f_regr,p-value,kendall,p_kendall,kendall significant,RL score,RL ranking,Boruta score,Boruta ranking
Otu000005,3.3311562459906203,0.07295774593118226,0.21734531993654152,0.012544419627816052,yes,0.06,174.0,0.08811660981337144,1
Otu000139,18.813492638978023,5.6049009233515806e-05,0.38974087784241146,7.58417652170594e-06,yes,0.354,2.0,0.14263464589034922,1
Otu000012,6.271787902749017,0.015003183217369584,-0.35272342675832896,5.090935359404269e-05,yes,0.062,166.0,0.10432678586190061,1
Otu000244,21.37032523799744,2.0609382716009344e-05,-0.4383923849814913,4.7681766744248584e-07,yes,0.256,13.0,0.14639363783277715,1
Otu000041,5.197092959243514,0.026194319057374283,-0.13379164463246962,0.12435633227453566,no,0.158,42.0,0.059816259678028866,2
Otu000060,22.56475091325918,1.3074659108867905e-05,0.358011634056055,3.9198574783358984e-05,yes,0.3,7.0,0.04317363992673189,3
Otu003366,17.75057397716649,8.591586935082252e-05,0.1644632469592808,0.05888654482737057,no,0.268,12.0,0.03949634290980039,3
Otu000358,11.182969778204585,0.001426929348354225,-0.28714965626652567,0.0009729764642074238,yes,0.126,54.0,0.04413282676904209,5
Otu000517,10.509711492335832,0.001940404118623624,-0.33685880486515074,0.00010919748085031175,yes,0.062,166.0,0.03906428081597661,6
Otu000293,13.854015778257057,0.00043790066794760984,-0.36964569011105236,2.178312121972452e-05,yes,0.102,81.0,0.03740435757443076,7
Otu000296,2.3302712348710886,0.1321343866553251,0.22792173453199369,0.008846514526183548,yes,0.036,261.0,0.0346616161144107,7
Otu000271,11.963381017151288,0.0010042999967969962,0.2808038075092544,0.001258242745778886,yes,0.292,8.0,0.0333576948732365,9
Otu001373,12.807370586025556,0.0006908934053121838,0.22792173453199369,0.008846514526183548,yes,0.282,9.0,0.035149052990160516,9
Otu000261,11.650829799873549,0.0011552590987555795,-0.22686409307244848,0.00916650269705618,yes,0.122,60.0,0.026318651793499393,11
Otu000240,9.495901424736438,0.003107690915005236,-0.34531993654151244,7.297389485121223e-05,yes,0.048,209.0,0.021560828889984424,12
Otu000175,11.70549478253263,0.0011272403479004986,0.33685880486515074,0.00010919748085031175,yes,0.25,15.0,0.02376280260970975,13
Otu001602,13.891007037168244,0.000430966200079335,0.0883130618720254,0.31040544291753647,no,0.236,20.0,0.02172711223235869,14
Otu000022,1.4986066279085133,0.22567106804291265,-0.2289793759915389,0.008536542707004727,yes,0.012,401.0,0.026042122228832513,14
Otu001663,13.526510213118796,0.0005046010093191192,0.07879428873611846,0.365445157668264,no,0.2,27.0,0.01614416123279313,16
Otu000058,23.289359511524697,9.956486130535738e-06,-0.33051295610787945,0.00014687108894977392,yes,0.242,19.0,0.014812747890131624,17
Otu000073,11.45409553707748,0.0012622551563086384,0.32205182443151775,0.00021635187287273515,yes,0.108,76.0,0.011382970263462494,18
Otu000449,10.576288811936912,0.0018819611189436292,0.2511898466419884,0.003911789324516153,yes,0.278,10.0,0.012273241515667822,18
Otu000124,11.1170674450395,0.0014702462197077155,-0.2067689053410894,0.01755056781327346,yes,0.166,37.0,0.011014757834005583,20
Otu000522,2.5819698652736007,0.11333753404353962,-0.26070861977789533,0.002748749443329048,yes,0.036,261.0,0.007124489098994117,21
Otu001293,11.880096170840183,0.001042398064680346,-0.3315705975674247,0.00013984102275328843,yes,0.174,34.0,0.010361453742651957,22
Otu000428,9.522669915182002,0.00306887938449558,-0.33580116340560556,0.00011476747989451705,yes,0.168,36.0,0.008264124358137661,23
Otu000217,10.677390415174639,0.0017967029506241996,-0.21628767847699631,0.012980660156165804,yes,0.254,14.0,0.009018305625937419,24
Otu000136,8.308479151423077,0.005468841344351536,-0.2057112638815442,0.018136583107215016,yes,0.094,97.0,0.00929050558607405,24
Otu000112,6.33705214113733,0.014512789727644833,-0.20888418826017982,0.01642814179215561,yes,0.222,22.0,0.00880145806593013,26
Otu002792,11.880580704582814,0.0010421721133551316,-0.3146483342147013,0.00030141754747406516,yes,0.38,1.0,0.0040476678259682595,26
Otu000322,2.2043374288388415,0.1428580747559755,0.11369645690111055,0.1915771852565088,no,0.044,226.0,0.003641305475622421,28
Otu002817,9.524354477344954,0.0030664539740381065,0.11369645690111055,0.1915771852565088,no,0.186,32.0,0.003534031361496597,30
Otu000075,3.68709004845992,0.05959235528944328,-0.28714965626652567,0.0009729764642074238,yes,0.018,368.0,0.004228541718282461,30
Otu000730,3.181693874462153,0.07952477464455338,-0.2236911686938128,0.010189343366381486,yes,0.016,384.0,0.0034942996746143104,30
Otu000312,0.47002246031878847,0.4956173157408339,0.0586991010047594,0.5001694995772945,no,0.02,355.0,0.003635050463116385,32
Otu000182,4.467717246150771,0.03870753114009958,-0.13907985193019567,0.11015797072837553,no,0.166,37.0,0.003722131868562004,33
Otu001649,4.6833658996147705,0.034446895741809314,-0.24590163934426232,0.004736212845579131,yes,0.062,166.0,0.0026100527160477826,34
Otu000088,7.131625371798369,0.009732317088999326,-0.23426758328926497,0.00712770188375983,yes,0.098,87.0,0.003952771924707089,34
Otu000095,7.803245275278533,0.006989456293633287,-0.24801692226335273,0.004389213311198166,yes,0.162,41.0,0.004429638194068215,36
Otu000084,4.507106826704651,0.03788883702210766,0.24695928080380752,0.004559724058980408,yes,0.028,297.0,0.003916644227070941,37
Otu000267,10.1148389960445,0.002328313247520859,-0.2511898466419884,0.003911789324516153,yes,0.244,18.0,0.003381946524896741,38
Otu000614,5.656213091774002,0.020594987000694426,0.1401374933897409,0.10747828948666995,no,0.23,21.0,0.0032556740917554926,39
Otu000048,0.5688209566321398,0.453677710810924,0.0819672131147541,0.34645756275487705,no,0.0,442.0,0.003091740044693966,40
Otu001142,7.796325465346201,0.007013132007156117,0.25436277102062405,0.0034820119441516676,yes,0.08,124.0,0.002200215880922397,41
Otu000059,2.129450971087845,0.14970834748488798,-0.19196192490745642,0.027461695953648335,yes,0.208,24.0,0.0020859660246811355,42
Otu000027,8.165964139223927,0.0058589028212316895,-0.23955579058699103,0.005931232574471046,yes,0.088,106.0,0.0022139973272735846,43
Otu000044,0.585988828774659,0.44697527370169254,0.02062400846113168,0.8127427567946938,no,0.018,368.0,0.0018795386755067096,43
Otu001345,3.929048468274773,0.05204432048430532,-0.19301956636700163,0.026620368428923985,yes,0.048,209.0,0.0021501801484184726,45
Otu000160,4.425222418547797,0.039612181664631076,0.17927022739291382,0.03948334535614,yes,0.122,60.0,0.0021505190644147574,46
Otu000226,2.1782118995880326,0.14520602939481161,0.1538868323638287,0.07713485828481995,no,0.02,355.0,0.0017921885280852117,47
Otu000637,0.1964102754078786,0.6592279928097663,0.05658381808566896,0.5157395376134755,no,0.044,226.0,0.002349536095578498,48
Otu000246,0.4918595279987175,0.4858103198688557,-0.09571655208884189,0.27158979279943707,no,0.07,144.0,0.0017654638451675433,49
Otu000274,11.848319144447965,0.0010573286279490907,0.03014278159703861,0.7291753851156607,no,0.322,3.0,0.0018026369114152395,50
Otu000385,1.4413823795073601,0.2346343032061837,-0.1538868323638287,0.07713485828481995,no,0.006,421.0,0.0014168610212895122,52
Otu000355,1.487468799344943,0.22738222379183295,-0.08619777895293497,0.3221373001553036,no,0.036,261.0,0.0013562273049514987,52
Otu000001,1.8957048450112293,0.17367571922332758,-0.11686938127974619,0.1794753846620406,no,0.046,218.0,0.0015662937825927064,52
Otu003520,1.9066753515091714,0.17245501700547622,0.07562136435748282,0.3850694042437577,no,0.2,27.0,0.0014792714632587097,54
Otu000262,3.5215512634803052,0.06544122956120652,-0.2289793759915389,0.008536542707004727,yes,0.182,33.0,0.0015054304047603304,55
Otu000378,2.252391662543023,0.13865243255520399,-0.14965626652564784,0.08562071877277035,no,0.166,37.0,0.002147958709035122,56
Otu002979,9.937005398025791,0.0025287198833269407,0.1570597567424643,0.07123094798065756,no,0.11,73.0,0.0012753270139553774,56
Otu000087,1.6231387709896432,0.2075675608709239,-0.1253305129561079,0.14999266420389432,no,0.046,218.0,0.0012622934690777509,59
Otu000086,0.4752633372421759,0.4932333199196338,-0.10523532522474882,0.2267618747979493,no,0.002,433.0,0.0012323903094269906,59
Otu000049,1.5746390717912717,0.21440049558340976,-0.12638815441565313,0.14658349647125501,no,0.028,297.0,0.0014257888303511627,59
Otu001178,3.885137187589128,0.05333295799150493,-0.219460602855632,0.011710703546026484,yes,0.08,124.0,0.0013387974942384742,62
Otu001626,2.7347053080303363,0.10341281029385489,-0.1560021152829191,0.07315633590447475,no,0.072,142.0,0.0012238471322719908,62
Otu000506,4.231407055907116,0.04403741005091223,-0.16129032258064518,0.06394043767136362,no,0.036,261.0,0.0020215585017677937,62
Otu000459,1.382592829904978,0.24430457534627242,0.07985193019566368,0.35904499867739703,no,0.096,92.0,0.0009894876458751663,64
Otu000158,1.8358201562693752,0.18052133433966583,-0.15282919090428346,0.07918926508808039,no,0.018,368.0,0.0016507787588309294,65
Otu000026,0.32917766256652253,0.5682882276222674,-0.028027498677948178,0.7475085022428376,no,0.018,368.0,0.0010614574727967551,66
Otu003889,7.806892334340764,0.0069770119409427464,0.10840824960338447,0.2130631061543815,no,0.126,54.0,0.001341732345092837,67
Otu000515,0.13559410614832196,0.7139969492915297,-0.11686938127974619,0.1794753846620406,no,0.054,193.0,0.0012347926604880605,68
Otu000019,0.007992268487125195,0.9290621832694621,0.017451084082496036,0.841132804108627,no,0.002,433.0,0.0016573399575096472,68
Otu007003,3.2382833848486223,0.07696465326670887,-0.23744050766790062,0.006386216957179845,yes,0.064,160.0,0.001301473082819511,70
Otu001126,5.486682301000249,0.022497597660449127,-0.18455843469063987,0.03401831392926335,yes,0.304,4.0,0.0010258005654659342,71
Otu001556,3.0384841844571184,0.08643452748978345,-0.23320994182971974,0.007391518582344033,yes,0.03,290.0,0.001639543888536776,72
Otu000120,4.007780431601154,0.04981767502459213,-0.1782125859333686,0.04066146605410904,yes,0.09,102.0,0.0011236697576649161,73
Otu001318,1.1540646545648354,0.2870012423610475,0.02908514013749339,0.7383233431911786,no,0.08,124.0,0.0009997044897944185,74
Otu000016,0.8416438770154527,0.3626001062671681,0.1411951348492861,0.10485049730385777,no,0.014,395.0,0.001512898649201515,75
Otu001512,4.744560831332725,0.03333177543129108,0.20782654680063462,0.016981218150040688,yes,0.084,113.0,0.0011350727202092418,76
Otu000931,0.3797160673481181,0.5400861282184176,-0.03331570597567425,0.7019665725486033,no,0.02,355.0,0.0009839187090530776,77
Otu000166,0.007966248340170325,0.9291774403937343,-0.03966155473294554,0.6487091932544818,no,0.016,384.0,0.0010693666032007103,78
Otu000339,0.9481803277370988,0.3340924262200685,-0.13696456901110526,0.11567548243092071,no,0.082,118.0,0.0011076648253564505,79
Otu000062,0.0020180917853173538,0.9643177234297239,-0.10946589106292967,0.20863238090870928,no,0.042,236.0,0.0006767583443091816,79
Otu000056,10.455553138149195,0.0019893428051254622,-0.3051295610787943,0.00045704449542703304,yes,0.098,87.0,0.0013919678833821426,81
Otu000195,0.05084299526194966,0.8223691116088634,-0.0597567424643046,0.49247903463002884,no,0.064,160.0,0.0009028736981103297,82
Otu000017,7.062954263070815,0.010070743785860594,0.2141723955579059,0.013893580696605252,yes,0.112,72.0,0.0009080394732517987,83
Otu000249,4.859981408174613,0.03133256582654409,-0.1549444738233739,0.07512409412492457,no,0.114,68.0,0.0010238434184175146,84
Otu000946,1.5716550577314787,0.21482972932309635,-0.1623479640401904,0.06221742126621167,no,0.034,274.0,0.0006605736466035321,85
Otu000065,0.1096589274893037,0.7416865583162983,0.017451084082496036,0.841132804108627,no,0.018,368.0,0.0007318256044512253,86
Otu001264,3.0859950694842397,0.08407111003974674,-0.15282919090428346,0.07918926508808039,no,0.056,188.0,0.0006291089388766793,86
Otu000094,1.192984126810127,0.2790947946650454,-0.0005288207297726071,0.9951536137242997,no,0.068,148.0,0.0006632163624926066,88
Otu000361,1.7588425318782632,0.18979537487608067,-0.16552088841882603,0.05727744489654136,no,0.064,160.0,0.0006121532614270804,89
Otu000108,0.00016647513083737644,0.9897483677935976,0.08408249603384454,0.33415477699110885,no,0.0,442.0,0.000616450610937376,90
Otu000096,0.17830626502935712,0.6743422023926884,0.05023796932839768,0.5639139413342874,no,0.006,421.0,0.0007809612582860428,91
Otu000194,5.200401693612008,0.026148596641828205,-0.21734531993654152,0.012544419627816052,yes,0.126,54.0,0.0009196977526225298,92
Otu000509,3.4642800411334917,0.06760874065231749,-0.06610259122157588,0.4476969070283343,no,0.08,124.0,0.00048268236523708695,93
Otu000115,2.3585669403545575,0.1298535250243671,0.16657852987837124,0.055705082311283814,no,0.0,442.0,0.000955796703144242,93
Otu000379,8.50490035988691,0.004975359910471488,-0.24590163934426232,0.004736212845579131,yes,0.102,81.0,0.001414534167558343,95
Otu000061,1.0821667943785709,0.302387202350905,0.0809095716552089,0.3527157544124043,no,0.03,290.0,0.00044236285332776806,96
Otu000135,2.202683897029916,0.14300537870745264,-0.13379164463246962,0.12435633227453566,no,0.196,30.0,0.0010421229002211788,97
Otu000020,0.061065540922627524,0.8056632803943286,-0.035430988894764676,0.6840348113229664,no,0.08,124.0,0.000505371483174585,98
Otu000184,0.07020710421947297,0.7919436495969956,-0.0015864621893178215,0.9854615563571196,no,0.054,193.0,0.0005613650204454744,99
Otu002897,0.026769499184232142,0.8705850030544827,-0.09465891062929668,0.27692163845046003,no,0.088,106.0,0.0005865580768981787,100
Otu002652,1.1571595122283271,0.28636203626180856,-0.06821787414066632,0.43330035939248523,no,0.134,52.0,0.0005064983769817247,101
