,f_regr,p-value,kendall,p_kendall,kendall significant,RL score,RL ranking,Boruta score,Boruta ranking
Otu000173,31.397544359229606,5.585534540910798e-07,0.5018508725542041,8.199569230972669e-09,yes,0.462,1.0,0.37228352020349315,1
Otu000244,31.051916490345153,6.278822277814538e-07,-0.4553146483342147,1.6970782527453153e-07,yes,0.306,9.0,0.12304350732760794,1
Otu000041,3.3411794345585952,0.07253922505518308,-0.10417768376520362,0.23146479677371512,no,0.036,280.0,0.07194583313935336,1
Otu000005,3.646391552385909,0.060975379611879606,0.24801692226335273,0.004389213311198166,yes,0.03,306.0,0.05883456062270243,2
Otu000187,12.535359021130406,0.0007789176667647906,0.35166578529878373,5.361909918788929e-05,yes,0.122,66.0,0.05646449331506226,1
Otu000313,9.60086047035329,0.0029583891711528094,0.24590163934426232,0.004736212845579131,yes,0.27,11.0,0.04768851398602909,3
Otu000293,16.46945149318212,0.00014511991750724602,-0.33051295610787945,0.00014687108894977392,yes,0.216,19.0,0.03157630603639374,5
Otu000016,0.3645105057998686,0.5482877268296296,0.1538868323638287,0.07713485828481995,no,0.0,461.0,0.028205521037358808,5
Otu000060,20.306881673579003,3.1105551296598326e-05,0.34214701216287685,8.497027170160317e-05,yes,0.184,24.0,0.027032468245401866,5
Otu000614,13.464260726094434,0.0005184315632885868,0.27868852459016397,0.0013693199873179155,yes,0.336,4.0,0.02334995069766544,8
Otu000012,6.328694163747225,0.014574632114928586,-0.2924378635642517,0.0007823434509542922,yes,0.076,129.0,0.022985551321573053,5
Otu000167,6.611023186285985,0.012631919494879428,-0.27763088313061873,0.0014281876213309494,yes,0.096,91.0,0.01745563301238715,9
Otu000271,8.430997863896952,0.005155307885620601,0.2744579587519831,0.0016190740891705681,yes,0.098,86.0,0.013932979368575089,10
Otu000267,8.09123432239575,0.006075014829247724,-0.2289793759915389,0.008536542707004727,yes,0.142,44.0,0.01071309707736014,12
Otu000317,13.686322958861002,0.00047082385489385773,0.34320465362242203,8.077833274687573e-05,yes,0.148,39.0,0.009583975868873934,11
Otu000517,17.160928086327914,0.0001092162645451531,-0.358011634056055,3.9198574783358984e-05,yes,0.076,129.0,0.008169594615589625,16
Otu000905,8.043220596132238,0.006218272396286577,0.2649391856160762,0.002341428559656852,yes,0.206,22.0,0.008053658246880323,13
Otu000262,4.083592874384162,0.047770957377144055,-0.24167107350608147,0.005505669316548916,yes,0.16,34.0,0.007725131308402627,15
Otu000412,16.376056027190796,0.00015083542694917617,-0.2966684294024326,0.0006554652469371023,yes,0.312,6.0,0.006893555651679164,24
