,f_regr,p-value,kendall,p_kendall,kendall significant,RL score,RL ranking,Boruta score,Boruta ranking
Otu000837,0.17353885041074912,0.6784722309288032,0.10100475938656797,0.24598789438193114,no,0.552,1.0,0.0013929155801857933,48
Otu000059,1.404081180228092,0.24071370903645492,-0.14542570068746696,0.09484568890775397,no,0.536,2.0,0.010403769979165001,14
Otu000244,27.746027482277093,1.971232051617513e-06,-0.4214701216287679,1.2915929956766145e-06,yes,0.472,3.0,0.12218141808325157,3
Otu000109,8.176752968378768,0.005828375967889023,0.20465362242199894,0.01873966285059817,yes,0.458,4.0,0.007415180982777316,18
Otu000124,8.263421093805915,0.005589128321818449,-0.13273400317292441,0.12736026314359072,no,0.454,5.0,0.010054173084013943,13
Otu000044,5.024582254344045,0.02870069078590294,0.1538868323638287,0.07713485828481995,no,0.452,6.0,0.0013656562201928364,65
Otu000060,21.16615779320155,2.229350026766536e-05,0.38445267054468535,1.0061036986143798e-05,yes,0.444,7.0,0.23746126937398668,2
Otu001142,17.073807752306145,0.00011317903055530057,0.31570597567424646,0.00028759275644678795,yes,0.442,8.0,0.009042104474417305,15
Otu001298,12.98390633289236,0.0006393645297626931,0.2649391856160762,0.002341428559656852,yes,0.442,8.0,0.0036797116223990546,27
Otu000205,0.04124008275820459,0.8397623255583628,0.12004230565838184,0.1679513180347738,no,0.402,10.0,0.0002568128375678136,128
Otu000084,18.07309282110234,7.54171150953258e-05,0.39397144368059234,6.0341005375080725e-06,yes,0.396,11.0,0.07176321125760059,4
Otu000009,10.647155882871854,0.0018217683201334801,0.2448439978847171,0.0049188623019744025,yes,0.38,12.0,0.046193206968951885,1
Otu000136,13.230437685980174,0.0005740079452770887,-0.26282390269698575,0.002537623854602996,yes,0.376,13.0,0.02264464889046298,7
Otu000005,5.677147067247726,0.020372205380985223,0.23849814912744582,0.006154939826796156,yes,0.37,14.0,0.18889804924034462,1
Otu000515,2.2685330431069697,0.13727178689859823,0.11369645690111055,0.1915771852565088,no,0.368,15.0,0.001169950689797556,95
Otu001520,8.83894311078565,0.004240461498027349,0.19619249074563724,0.024228626912034947,yes,0.364,16.0,0.006040195413656138,19
Otu000131,6.327969200138041,0.014580009406253184,-0.13273400317292441,0.12736026314359072,no,0.358,17.0,0.0009385408246805891,63
Otu000163,0.5185253439181944,0.47426732497886803,0.06398730830248546,0.46236148255917053,no,0.354,18.0,0.0007218231206216118,81
Otu000047,0.21723336025198212,0.6428437750977056,0.03014278159703861,0.7291753851156607,no,0.354,18.0,0.0010363914859043324,75
Otu001451,1.9674214371706107,0.1658751301386773,-0.09360126916975146,0.28232437455827164,no,0.354,18.0,0.00044842724189883933,116
Otu001345,4.745041175169101,0.03332317723240133,-0.12004230565838184,0.1679513180347738,no,0.352,21.0,0.009628749927009501,16
Otu000217,0.04765455623350483,0.8279367603387617,0.004759386567953465,0.9564039704990868,no,0.35,22.0,0.0005879328063890723,84
Otu000210,4.952319359121238,0.029825751204722604,-0.1475409836065574,0.09013826416642948,no,0.346,23.0,0.0653985080559209,5
Otu000330,0.15367903561876262,0.6964330586811336,0.02591221575885775,0.7659855693299591,no,0.338,24.0,0.0007757305654811438,83
Otu000246,3.041732296457554,0.08627062584548391,0.05235325224748811,0.5476174838836547,no,0.334,25.0,0.0028339583093497846,24
Otu001368,1.6278875932299026,0.20691276189060673,0.15071390798519305,0.08343155716888288,no,0.324,26.0,0.0003757302506105336,109
Otu000267,6.695643394544096,0.012104519434675805,-0.2205182443151772,0.011312576808486947,yes,0.318,27.0,0.014008506379262715,11
Otu000385,1.7336057488955707,0.19295830333652214,-0.1560021152829191,0.07315633590447475,no,0.314,28.0,0.0005849781453273394,100
Otu000358,6.664182184183519,0.012297832384631138,-0.2289793759915389,0.008536542707004727,yes,0.3,29.0,0.002373684016478442,40
Otu000192,0.04063651840285984,0.840923045868155,-0.026969857218402966,0.75672965263019,no,0.288,30.0,0.0008738636304005184,68
Otu000262,6.559843529526921,0.012962644300139152,-0.23426758328926497,0.00712770188375983,yes,0.286,31.0,0.02155364122949692,9
Otu000020,3.5050532819502167,0.06605770498253644,0.10523532522474882,0.2267618747979493,no,0.284,32.0,0.000532925428248266,111
Otu000459,2.5335669344287215,0.11670342517766231,0.14436805922792176,0.09727219632180939,no,0.282,33.0,0.00028728422697287513,125
Otu000637,0.6596229663716363,0.41990376366351245,0.03225806451612903,0.7109958307123839,no,0.274,34.0,0.0020218371348552176,43
Otu000022,2.348828363581501,0.13063342230211972,-0.17398202009518773,0.045676246657190236,yes,0.268,35.0,0.002342076738674772,40
Otu000623,0.06968926735967192,0.7926943607885621,0.03966155473294554,0.6487091932544818,no,0.266,36.0,0.002476077008451438,29
Otu001846,0.42986856268749374,0.5145597013719678,-0.03225806451612903,0.7109958307123839,no,0.264,37.0,0.0005374734646341268,109
Otu000207,1.0179287104126193,0.3170624058006303,-0.09677419354838711,0.26632868390737796,no,0.262,38.0,0.0006730993227062793,94
Otu001487,0.19401033305147317,0.6611824513680153,0.012162876784769964,0.888893959861689,no,0.262,38.0,0.00029656244213576707,125
Otu000340,3.4589641182267226,0.06781388623042946,0.21099947117927023,0.015369272070878244,yes,0.258,40.0,0.004147897053997597,20
Otu000017,12.202231974181453,0.0009028802170210796,0.3125330512956108,0.00033095419998480595,yes,0.256,41.0,0.10066370317323421,1
Otu000194,2.040970829983627,0.15829727158118392,-0.03437334743521946,0.692979190799845,no,0.254,42.0,0.00081195676870494,72
Otu000865,1.629351054779553,0.20671147248568544,0.11686938127974619,0.1794753846620406,no,0.252,43.0,0.002370451792709598,38
Otu000438,0.0348389173659793,0.8525632846334211,-0.0015864621893178215,0.9854615563571196,no,0.25,44.0,0.00029893565773431933,122
Otu000322,0.17734607125130367,0.6751687390400469,0.02379693283976732,0.7845967275754077,no,0.248,45.0,0.003091179483270912,23
Otu002481,2.697435494525592,0.10574121807367241,0.21840296139608675,0.012121210317214266,yes,0.248,45.0,0.0005188136567923489,102
Otu000860,2.009976090464086,0.16144040265459123,0.11581173982020096,0.18344450831464842,no,0.242,47.0,0.004065259437023856,24
Otu000135,0.35392936878670167,0.5541342899845128,-0.1189846641988366,0.17172926652477838,no,0.24,48.0,0.002247954221672869,42
Otu000026,0.021967242860644443,0.8826712618960512,0.0015864621893178215,0.9854615563571196,no,0.24,48.0,0.0007075869596681871,103
Otu000343,0.05380858058736849,0.8173531803098533,-0.014278159703860394,0.8697309799351222,no,0.236,50.0,0.0009301413805485099,73
Otu000356,1.497815963355728,0.2257920202229608,-0.07456372289793761,0.391751388867732,no,0.232,51.0,0.0006403638950835883,79
Otu000070,0.002709497366975547,0.9586595116834963,0.042834479111581183,0.62271890205929,no,0.232,51.0,0.0008768317651675613,71
Otu000087,0.06876661828360796,0.7940393678490245,-0.01850872554204125,0.8316445391372341,no,0.232,51.0,0.0004791827079503544,130
Otu000004,0.05340401229711354,0.8180287282061215,0.004759386567953465,0.9564039704990868,no,0.224,54.0,0.0009117752722072968,79
Otu000833,0.15923191128754344,0.6912814002323602,0.02273929138022211,0.7939494465711545,no,0.224,54.0,0.001480665803678092,47
Otu001059,0.40696545580395055,0.5259410347684378,0.0005288207297726071,0.9951536137242997,no,0.222,56.0,0.0006148213825302427,98
Otu000682,11.343383198598355,0.001326965118252412,0.2300370174510841,0.008236318014360814,yes,0.222,56.0,0.02813404126005678,6
Otu000123,3.502535905614459,0.06615232923450143,0.17715494447382338,0.04186924985014155,yes,0.222,56.0,0.0005907273243088214,98
Otu000227,0.3697325882166905,0.5454449564083119,-0.06398730830248546,0.46236148255917053,no,0.212,59.0,0.0004479222717010573,106
Otu000062,0.00016155521438136202,0.9899009810679626,-0.007932310946589107,0.9274042120837687,no,0.212,59.0,0.0004068225620840895,114
Otu000184,1.9576183298237555,0.16691681172561154,0.15071390798519305,0.08343155716888288,no,0.212,59.0,0.003156515080012052,33
