,f_regr,p-value,kendall,p_kendall,kendall significant,RL score,RL ranking,Boruta score,Boruta ranking
Otu000005,7.7249770875424355,0.0072622233178482095,0.2511898466419884,0.003911789324516153,yes,0.418,26.0,0.05906387445825809,1
Otu000320,14.058299110308445,0.0004010025451566212,0.31359069275515605,0.00031586282159383364,yes,0.63,3.0,0.048174828305487416,1
Otu000012,10.060326209165616,0.0023879177165239546,-0.34531993654151244,7.297389485121223e-05,yes,0.172,78.0,0.0346298376218162,1
Otu000017,24.015173488782917,7.5987227530183345e-06,0.4003172924378636,4.264024554299324e-06,yes,0.586,4.0,0.11379848700684633,1
Otu000060,25.38676849936747,4.592131253390056e-06,0.3929138022210471,6.390413019191506e-06,yes,0.68,2.0,0.3023700046494919,1
Otu000041,1.4167272652359948,0.23863103544238073,-0.07985193019566368,0.35904499867739703,no,0.324,50.0,0.06351182828488827,1
Otu000244,8.794470047573475,0.004331348862024043,-0.2437863564251719,0.0051078595842863166,yes,0.294,59.0,0.03725062513800735,2
Otu000262,8.4557378060942,0.005094319000024036,-0.24167107350608147,0.005505669316548916,yes,0.58,5.0,0.03493770278915977,2
Otu000682,16.3575348927358,0.00015199637124931018,0.2723426758328927,0.0017590911293188217,yes,0.718,1.0,0.03286084316504074,2
Otu000267,4.999356905367146,0.029088175316481776,-0.18984664198836596,0.029213358598129364,yes,0.388,34.0,0.030272273016834744,4
Otu000136,14.270159406063602,0.0003661364404308129,-0.25224748810153363,0.0037634523518633154,yes,0.456,18.0,0.021654902906989033,5
Otu000124,7.9236880494306785,0.006590558944117581,-0.13696456901110526,0.11567548243092071,no,0.546,8.0,0.014151304152270968,6
Otu001345,4.334909220425757,0.041611409899117116,-0.0671602326811211,0.44046490565728946,no,0.438,22.0,0.016261049187778064,6
Otu000261,3.7691830779735667,0.05690563171180152,-0.11369645690111055,0.1915771852565088,no,0.348,43.0,0.012466817986110703,8
Otu000065,0.21684608123909174,0.6431395943095076,0.10417768376520362,0.23146479677371512,no,0.38,36.0,0.01194653194273142,9
Otu000083,2.0673997552488785,0.15567327078852705,-0.1253305129561079,0.14999266420389432,no,0.278,60.0,0.009324453984056284,10
Otu000176,0.04127638885969571,0.8396927879755731,-0.031200423056583822,0.7200658218006414,no,0.216,73.0,0.008300713196209095,10
Otu000833,0.006493074321017194,0.9360444585387189,0.07033315705975675,0.4191752810902468,no,0.574,6.0,0.008398640344051727,12
Otu000931,0.0024027142801079163,0.9610681655685099,-0.0015864621893178215,0.9854615563571196,no,0.252,65.0,0.005934075741882565,13
Otu000019,0.2725137889468888,0.603572452921811,0.07667900581702804,0.37845755516525637,no,0.14,80.0,0.005417744586697452,14
Otu000025,15.388314055240075,0.00022776233254672345,0.30830248545743,0.00039832711037230133,yes,0.24,69.0,0.004231625468135102,15
Otu000377,0.020587782680857078,0.8863884171426712,0.10629296668429403,0.2221275051372753,no,0.408,29.0,0.004475757491723113,15
Otu000048,1.3974659211251017,0.24181214616720265,0.07562136435748282,0.3850694042437577,no,0.442,20.0,0.004124223610102792,17
Otu000152,0.011711422998017506,0.914182803395011,0.0671602326811211,0.44046490565728946,no,0.302,57.0,0.004053062984471488,18
Otu000009,12.951399011681543,0.0006485434569320809,0.2554204124801692,0.0033485984709979246,yes,0.472,15.0,0.004517088449693076,18
Otu000322,0.03169106080892847,0.8593070817561108,0.04494976203067161,0.6056470249748174,no,0.454,19.0,0.0033882495231742134,21
Otu000082,0.00026134191618204327,0.9871555388659303,-0.011105235325224751,0.8985005771143685,no,0.106,82.0,0.0033010645063618767,21
Otu000184,1.7598841552769402,0.18966616045597282,0.17715494447382338,0.04186924985014155,yes,0.43,24.0,0.0036099479103285687,21
Otu000007,6.670825625654162,0.012256741783737224,0.23849814912744582,0.006154939826796156,yes,0.064,83.0,0.003017303142508985,23
Otu000135,0.7303784063513368,0.3961601489533505,-0.10629296668429403,0.2221275051372753,no,0.57,7.0,0.0030764599020834597,23
Otu000162,2.092051860552505,0.15327110294682372,-0.13061872025383398,0.13353717534856532,no,0.228,71.0,0.002723713901841344,25
Otu000075,5.520597887680926,0.022102504762406584,-0.2300370174510841,0.008236318014360814,yes,0.208,74.0,0.0027529907477847407,25
Otu000379,6.343825264883508,0.014462877839977854,-0.17292437863564253,0.047008374589312764,yes,0.274,61.0,0.002550065394716467,27
Otu000298,0.147180713292458,0.7026003520430424,0.0005288207297726071,0.9951536137242997,no,0.24,69.0,0.002527366471003493,28
Otu000058,15.996448571372124,0.00017658334823822083,-0.2882072977260709,0.0009317119850916349,yes,0.246,66.0,0.0025575335770425755,29
Otu000049,0.4077065030984304,0.5255657611945228,-0.09677419354838711,0.26632868390737796,no,0.134,81.0,0.0021759851172080667,30
Otu000255,0.8809454899437582,0.3517059449864719,0.03225806451612903,0.7109958307123839,no,0.356,40.0,0.002221908950138091,31
Otu000042,0.6232870552581368,0.4329372926245706,0.0586991010047594,0.5001694995772945,no,0.328,49.0,0.0017308016356931619,32
Otu000010,0.08480416532880432,0.7718938922740864,0.0005288207297726071,0.9951536137242997,no,0.374,37.0,0.00197827857783598,34
Otu000330,0.3068862316338782,0.5816560667724504,0.043892120571126396,0.6141568248194942,no,0.438,22.0,0.0017954702119883225,34
Otu000210,0.005785553634254018,0.9396221736188132,-0.02273929138022211,0.7939494465711545,no,0.384,35.0,0.0020232636512427593,34
Otu000312,0.4952315304120133,0.48432502325291993,-0.10735060814383926,0.2175613624394399,no,0.308,53.0,0.001874174353406564,34
Otu000022,1.7324713980790896,0.19310194107910558,-0.14436805922792176,0.09727219632180939,no,0.516,11.0,0.0019404662717258225,37
Otu000046,1.6279053825933176,0.2069103136633173,-0.07033315705975675,0.4191752810902468,no,0.348,43.0,0.001805491442596963,38
Otu000070,0.27978204298485715,0.5987955446435842,0.07667900581702804,0.37845755516525637,no,0.54,10.0,0.0016873947847540769,39
Otu000161,3.216477207738398,0.0779402356016865,-0.14542570068746696,0.09484568890775397,no,0.244,67.0,0.001822404022469295,40
Otu000192,0.6377175052230694,0.4276882414807177,0.053410893707033315,0.5395575090748532,no,0.424,25.0,0.0014561379071222535,40
Otu001059,0.0012029305007330187,0.972447415765392,0.09042834479111583,0.2989591754770423,no,0.312,51.0,0.0016022593665630206,43
Otu000119,0.8861473671950919,0.3502982395573082,0.07667900581702804,0.37845755516525637,no,0.336,46.0,0.0015609323368548176,43
Otu000509,2.2876870402987826,0.1356538581979641,-0.10523532522474882,0.2267618747979493,no,0.304,55.0,0.0015892120666522352,43
