,f_regr,p-value,kendall,p_kendall,kendall significant,RL score,RL ranking,Boruta score,Boruta ranking
Otu000041,2.572728604691018,0.11397160183791805,-0.10840824960338447,0.2130631061543815,no,0.156,84.0,0.07470306088131218,1
Otu000060,25.931475729780495,3.7690475646512663e-06,0.3802221047065045,1.2581215932989553e-05,yes,0.336,11.0,0.10735621121249306,1
Otu000005,5.497119332260738,0.022375218247856512,0.25224748810153363,0.0037634523518633154,yes,0.244,26.0,0.06851490617532834,1
Otu000016,12.555459474093006,0.0007720299425399913,0.3167636171337917,0.00027436374867635297,yes,0.09,147.0,0.07516579585288574,1
Otu000244,30.08560458828492,8.730860586767131e-07,-0.4405076679005817,4.1989432519370426e-07,yes,0.398,4.0,0.25848871689640596,1
Otu000012,7.889632005884406,0.006700862600171346,-0.35272342675832896,5.090935359404269e-05,yes,0.08,160.0,0.05288920457477643,1
Otu000084,16.677861700826764,0.00013316209581347186,0.37493389740877847,1.658399550702542e-05,yes,0.37,6.0,0.05723851510329256,2
Otu000029,11.087930643474127,0.0014898328825918962,0.2659968270756214,0.0022486314019568377,yes,0.578,1.0,0.04235706308207713,3
Otu000017,10.324193745445434,0.0021134751163651806,0.2924378635642517,0.0007823434509542922,yes,0.162,81.0,0.03251029150755403,4
Otu000614,14.32351822438314,0.0003578624443083332,0.3093601269169752,0.0003803756213819622,yes,0.448,3.0,0.026856345438693936,4
Otu000293,15.501715445217437,0.00021716363903832406,-0.27763088313061873,0.0014281876213309494,yes,0.294,16.0,0.023414105708889004,6
Otu000136,12.707802242812209,0.0007218463784957863,-0.25436277102062405,0.0034820119441516676,yes,0.284,17.0,0.019945306117892414,7
Otu000124,8.582879286812162,0.004792614807838315,-0.15177154944473825,0.081287952037921,no,0.346,9.0,0.015228717649724896,8
Otu000262,5.792407573697233,0.01919063152892611,-0.23955579058699103,0.005931232574471046,yes,0.3,14.0,0.01532062500376957,10
Otu000517,16.260521799052388,0.00015823080648240411,-0.3294553146483343,0.0001542329564854758,yes,0.138,99.0,0.014441998570188904,10
Otu000712,16.445499175153138,0.00014656393708125916,0.29349550502379695,0.0007486449311619169,yes,0.234,31.0,0.014067201448487948,10
Otu000267,7.444328547104906,0.00833607705372091,-0.2226335272342676,0.010552204001377609,yes,0.226,33.0,0.012964289430679227,12
Otu000058,20.1427812651388,3.316402306741491e-05,-0.3484928609201481,6.259195092036452e-05,yes,0.148,87.0,0.013727478167409697,12
Otu001298,17.00009196254209,0.00011664859424590698,0.32839767318878904,0.00016194114791569765,yes,0.378,5.0,0.012338921547589863,14
Otu001126,2.5328507470432107,0.11675406918953594,-0.04706504494976203,0.5887879515824399,no,0.3,14.0,0.0076972948386429315,15
Otu000682,9.37436616580094,0.003290476525562616,0.1983077736647277,0.02273964862980675,yes,0.096,139.0,0.009241381885794413,16
Otu000226,11.117308105690107,0.0014700855637587726,0.30724484399788476,0.000417067695242136,yes,0.224,35.0,0.008917828796045786,16
Otu001602,15.929276067509377,0.00018159551466053237,0.20888418826017982,0.01642814179215561,yes,0.274,19.0,0.006479389560953678,18
Otu001142,15.398836697978297,0.00022675662467346678,0.28714965626652567,0.0009729764642074238,yes,0.364,7.0,0.00835707370120503,18
Otu000059,1.2715367613187105,0.26396777934057336,-0.15177154944473825,0.081287952037921,no,0.528,2.0,0.00696618849856327,20
Otu000210,6.062532267108163,0.016697524523892067,-0.1644632469592808,0.05888654482737057,no,0.284,17.0,0.00514164320070069,21
Otu000046,1.1523723720014485,0.2873515435708904,-0.09888947646747753,0.2560179684391073,no,0.088,148.0,0.004660659489186192,22
Otu000261,4.060179840482025,0.048393140833816135,-0.13379164463246962,0.12435633227453566,no,0.168,72.0,0.0039513667749919885,23
Otu000860,1.0572535267287573,0.30796982359954134,0.09888947646747753,0.2560179684391073,no,0.132,104.0,0.004004196618574512,24
