,f_regr,p-value,kendall,p_kendall,kendall significant,RL score,RL ranking,Boruta score,Boruta ranking
Otu000005,9.234630565537584,0.0035146278513576573,0.25647805393971446,0.0032198560711781095,yes,0.972,7.0,0.17210066191607118,1
Otu000009,13.455162441316245,0.0005204858190707634,0.2956107879428874,0.0006852546912333614,yes,0.996,2.0,0.1451248007088628,1
Otu000019,23.33144767236176,9.800969444929614e-06,-0.3178212585933369,0.00026170671672855417,yes,0.99,3.0,0.22322187183749606,1
Otu000682,1.4595104158807926,0.23174824203566993,0.22474881015335804,0.009837633533389475,yes,0.962,9.0,0.08360446228370273,2
Otu000075,12.716387186553733,0.0007191215454344168,-0.3114754098360656,0.00034671825485333883,yes,0.958,12.0,0.07353401948570276,3
Otu001021,2.068551675751343,0.15556005622520547,0.09994711792702275,0.2509679622796229,no,0.938,17.0,0.017445436067054877,4
Otu000042,0.67079451594749,0.4160160563919906,-0.04706504494976203,0.5887879515824399,no,0.976,6.0,0.017418164074080793,4
Otu001846,1.6781287902620217,0.20013527526627942,0.11369645690111055,0.1915771852565088,no,0.958,12.0,0.015416749040720473,6
Otu000010,0.43617026122459845,0.5115043890053602,0.08408249603384454,0.33415477699110885,no,0.998,1.0,0.013325258402512136,7
Otu000082,1.1351822474253408,0.2909414630337138,-0.07562136435748282,0.3850694042437577,no,0.962,9.0,0.014498677103467986,8
Otu001697,0.0011397110629788733,0.9731809059147574,0.031200423056583822,0.7200658218006414,no,0.98,5.0,0.011677000025185135,8
Otu000931,1.3194936122120784,0.25524182335399676,0.11369645690111055,0.1915771852565088,no,0.962,9.0,0.012753057609421603,10
Otu000509,3.8749861333296094,0.053635763561335995,-0.17503966155473297,0.04437606843345444,yes,0.946,15.0,0.013570489490605487,10
Otu000438,1.1744710168466266,0.2828202452444171,0.07139079851930197,0.4122155138155018,no,0.926,19.0,0.011306355912608996,12
Otu000267,1.0109942874814846,0.3187026468794289,-0.07456372289793761,0.391751388867732,no,0.92,20.0,0.00956569145510975,13
Otu000004,0.00013244245114678337,0.9908560373469762,0.01850872554204125,0.8316445391372341,no,0.988,4.0,0.007237566118632627,14
Otu001487,0.8259279364563892,0.3670887767547608,0.09677419354838711,0.26632868390737796,no,0.95,14.0,0.007208456840380993,15
Otu000644,0.5985680034172705,0.4421626147886203,-0.03014278159703861,0.7291753851156607,no,0.938,17.0,0.0062215089912160595,15
Otu000023,2.10990574925348,0.15155818367623466,-0.06187202538339504,0.4772902611997323,no,0.89,22.0,0.006305963916608902,17
Otu000152,0.47052578337336554,0.4953875126097078,-0.03331570597567425,0.7019665725486033,no,0.964,8.0,0.005495523523112846,18
Otu001345,0.07793311819225926,0.7810781929751069,0.04706504494976203,0.5887879515824399,no,0.904,21.0,0.005479793796603198,18
Otu000227,0.23122727548489092,0.6323641862639966,0.02908514013749339,0.7383233431911786,no,0.946,15.0,0.004820444994236003,20
