,f_regr,p-value,kendall,p_kendall,kendall significant,RL score,RL ranking,Boruta score,Boruta ranking
Otu000027,33.010839032568434,3.2552775265025653e-07,-0.5346377578001058,8.205694402723134e-10,yes,0.116,30.0,0.6205349655992565,1
Otu000005,46.68291221901701,4.82639943473571e-09,0.5769434161819144,3.429879589534999e-11,yes,0.204,7.0,0.07954139982669352,1
Otu000060,34.13929872964642,2.2446964454148744e-07,0.40137493389740886,4.022274484960424e-06,yes,0.274,2.0,0.05879390979885861,2
Otu000058,15.684373118078385,0.00020115666683459833,-0.22792173453199369,0.008846514526183548,yes,0.154,17.0,0.043560213695350555,3
Otu000108,43.33658958899889,1.2806911792587785e-08,0.5071390798519303,5.70974073295637e-09,yes,0.05,117.0,0.020873269363113105,4
Otu000030,38.45185695698222,5.65840367214937e-08,0.46589106292966687,8.734100031527787e-08,yes,0.176,12.0,0.019768237202356723,4
Otu000048,33.5566718240404,2.7179671579221227e-07,0.4754098360655738,4.7452938312011735e-08,yes,0.002,970.0,0.01454790524210919,6
Otu000158,5.8352675699829994,0.018770030713954142,0.15282919090428346,0.07918926508808039,no,0.004,792.0,0.014428668390327078,7
Otu000349,11.38502633958754,0.001302228414610328,0.3019566367001587,0.0005237608668462664,yes,0.006,690.0,0.008947752747291616,8
Otu000296,44.643661772872846,8.71394654319034e-09,0.48069804336329985,3.364234213631402e-08,yes,0.164,15.0,0.008522946492366783,9
Otu000016,24.54598113579184,6.246324944209994e-06,0.4098360655737705,2.508798253444644e-06,yes,0.006,690.0,0.007102319133951157,10
Otu000277,47.76153415177963,3.5478572729339937e-09,0.426758328926494,9.497022722769375e-07,yes,0.102,40.0,0.006740398052182743,11
Otu000193,4.55612794540502,0.03689589543048053,0.16657852987837124,0.055705082311283814,no,0.058,94.0,0.004991389345499818,12
Otu000176,0.3887771088782964,0.5353061563253716,-0.07773664727657326,0.371916070912212,no,0.004,792.0,0.005169263097491613,13
Otu000636,4.19568537017022,0.04490981432179308,0.1708090957165521,0.0497708189332417,yes,0.002,970.0,0.004217259086672497,14
Otu003463,0.24601817435552384,0.6217049650264848,0.0819672131147541,0.34645756275487705,no,0.01,536.0,0.002862691759807727,15
Otu000274,18.36255836038966,6.712794116001396e-05,0.15811739820200954,0.06934729602735884,no,0.15,19.0,0.003949168652196915,16
Otu000096,0.9004638155068914,0.34646395597532165,0.002644103648863036,0.9757716442259969,no,0.0,1268.0,0.0020706344615969902,17
Otu000150,3.3446926321700374,0.07239315621274656,0.01850872554204125,0.8316445391372341,no,0.0,1268.0,0.0020070374272240714,18
Otu001267,22.50709295556995,1.3362752416358509e-05,0.3019566367001587,0.0005237608668462664,yes,0.212,6.0,0.001451109860341258,19
Otu000100,5.124830709274265e-06,0.9982012534688087,-0.015335801163405606,0.8601773798492061,no,0.006,690.0,0.0012810556642115637,20
Otu000238,2.51056488504138,0.11834247108489436,0.16763617133791645,0.054168845050179,no,0.0,1268.0,0.0016062694574386987,21
Otu000046,0.032543659426664054,0.8574475802544036,-0.006874669487043892,0.9370620025943025,no,0.002,970.0,0.0008583335668111724,22
Otu000175,13.624403252022608,0.0004836227425802422,0.3982020095187732,4.789946086582236e-06,yes,0.026,252.0,0.0010436735848959027,23
Otu000112,0.3972329045473904,0.5309149388718024,0.004759386567953465,0.9564039704990868,no,0.002,970.0,0.0011212566907755363,24
Otu000317,33.72999807525312,2.5672547053273e-07,0.4362771020624009,5.41148661261633e-07,yes,0.2,8.0,0.0012210646374819017,25
Otu000993,7.668520592846763,0.007465914349954858,0.2681121099947118,0.0020730698175373537,yes,0.02,333.0,0.0008704387179879645,26
Otu000878,11.22176387766563,0.001402055055112959,0.12744579587519833,0.143233923537383,no,0.014,436.0,0.001016951669786769,26
Otu000246,10.154357052413955,0.0022860777654392455,0.1105235325224749,0.20426881688329745,no,0.024,280.0,0.0010303227876014925,28
