,f_regr,p-value,kendall,p_kendall,kendall significant,RL score,RL ranking,Boruta score,Boruta ranking
Otu000027,39.281039251272816,4.373380182004825e-08,-0.5483870967741936,2.9991458921961333e-10,yes,0.124,68.0,0.5097667375718081,1
Otu000005,62.372754233428225,7.326427632276321e-11,0.6012691697514544,4.976993610630929e-12,yes,0.172,44.0,0.14790014312460567,1
Otu000210,67.9928414051986,1.868103652885982e-11,-0.45002644103648864,2.352950075485416e-07,yes,0.254,9.0,0.03802286057962954,1
Otu000060,10.132703539072809,0.002309120138620767,0.24061343204653624,0.005714879363194538,yes,0.25,11.0,0.03442239716179099,2
Otu000100,0.36757276492567137,0.5466173504825298,-0.13167636171337918,0.13042034760269913,no,0.058,162.0,0.03448668332907093,3
Otu000058,16.26748620789809,0.0001577745211257498,-0.29138022210470654,0.000817445471520137,yes,0.208,19.0,0.028022846565095023,4
Otu000469,0.007918611415163448,0.9293889425502599,-0.005817028027498679,0.9467290617311293,no,0.068,140.0,0.018212970662610135,5
Otu000113,57.77436586320602,2.3535596017006326e-10,0.48281332628239026,2.9288645519807673e-08,yes,0.224,14.0,0.01675548876002891,6
Otu000026,12.72609906336433,0.000716051936760473,0.2924378635642517,0.0007823434509542922,yes,0.034,278.0,0.01120026347474904,7
Otu000120,33.35413422163085,2.9057435543465317e-07,-0.38762559492332105,8.495458688839208e-06,yes,0.058,162.0,0.009734360728422743,7
Otu000029,51.711638045999905,1.1806067189021014e-09,0.49444738233738766,1.3527360124832898e-08,yes,0.568,1.0,0.009218973783090853,9
Otu000682,27.957758470245825,1.8294003251586112e-06,0.21099947117927023,0.015369272070878244,yes,0.142,57.0,0.008390516458151706,9
Otu000358,0.18987858968448812,0.6645814115519773,-0.16552088841882603,0.05727744489654136,no,0.052,184.0,0.007102477382140067,11
Otu000048,39.35869916255713,4.269624024479219e-08,0.5145425700687467,3.4193835332101503e-09,yes,0.008,430.0,0.007730595487004296,12
Otu000070,1.1283825455091012,0.2923775406784992,0.12638815441565313,0.14658349647125501,no,0.03,307.0,0.0053688593783693,13
Otu000535,6.64361652645431,0.012425959457491736,-0.20465362242199894,0.01873966285059817,yes,0.056,169.0,0.005856438350507465,13
Otu000030,40.318188615319,3.1787867470219925e-08,0.4299312533051296,7.883544134051072e-07,yes,0.366,4.0,0.0067468549928152675,15
Otu000095,6.439612116916244,0.013776145230414438,-0.18667371760973034,0.032020800203324117,yes,0.136,60.0,0.005219389736319582,16
