,score,abun_abs_mean,abun_abs_CV,abun_rel_mean,abun_rel_CV
Otu000175,1.0,22002.062711509712,2.0667349059626567,0.003061224489795918,2.0145627900381613
Otu000047,1.0,19404.49028720138,2.1286035079429606,0.003984093637454979,1.963976214910573
Otu000005,0.9966666666666667,132973.28709617758,1.8198036518845004,0.020486944777911142,1.6021007700627878
Otu000067,0.99,14365.11433910189,1.3958717119845208,0.004391756702681068,1.3843638516153194
Otu000048,0.9833333333333333,30478.882095366538,1.7787515124615554,0.004783163265306121,1.8539440595464927
Otu000042,0.98,38674.715187079586,1.9873139319494393,0.005583483393357338,1.8069644350855707
Otu000173,0.9733333333333334,8669.419741790718,1.8835721210118694,0.0012204881952781101,1.6304734468607238
Otu000204,0.9733333333333334,5085.323087775362,2.505715633859612,0.0012042316926770696,2.519821231674011
Otu000112,0.97,19572.46621529073,1.302824534490497,0.004011604641856738,1.038994598657755
Otu000027,0.9666666666666667,24561.17968098439,1.194507211675401,0.008951080432172857,1.1580122889511157
Otu000073,0.95,23150.315310397404,1.3828491040907362,0.004538065226090429,1.2685465368033788
Otu000029,0.9433333333333334,55571.3347941038,1.3152228709308653,0.010049019607843124,0.990743214872976
Otu000050,0.94,28528.909848343716,1.5051175987140566,0.005404661864745893,1.550679493218397
Otu000084,0.93,20377.67274378764,2.686661078722503,0.004119147659063623,2.4716050327315835
Otu000124,0.93,12708.096410665397,1.1770557951857439,0.0026523109243697437,1.135282968074847
Otu000098,0.9066666666666666,10090.39771802121,1.6835519591620134,0.002154611844737893,1.5133923972103276
Otu000284,0.9,10321.717872113837,3.418887397583339,0.0012104841936774698,3.084119820919419
Otu000012,0.89,118473.28593610253,1.0320817540075309,0.024484793917567,0.8466963541497151
Otu000079,0.8833333333333333,22041.073990809073,3.043247684755429,0.004821928771508602,2.842367848989656
Otu000009,0.8766666666666667,150958.57725369625,0.7883299341471589,0.03163515406162462,0.5079918822055828
Otu000016,0.8733333333333333,92478.48660908277,1.0289904182457583,0.018102240896358514,0.7341147327052947
Otu000033,0.8533333333333334,22884.03523930023,0.9059263519626229,0.006717687074829924,1.0202291776029981
Otu000119,0.83,11843.95937434473,2.1634957903090046,0.001598139255702281,1.8807543976240417
Otu000040,0.83,24506.495982721823,1.7291654088402117,0.004291716686674668,1.7395010677689675
Otu000095,0.81,13692.065622656562,3.4894223497051304,0.002884903961584633,3.3653576906464093
Otu000057,0.7633333333333333,21448.566735075296,1.9446156140277198,0.004775660264105639,2.0627930007800503
Otu000011,0.7533333333333333,168900.63511459582,1.016108088804911,0.03406612645058024,0.6413498147988207
Otu000041,0.75,46370.52393611082,1.839273570458743,0.008219537815126044,1.4504366722993098
Otu000025,0.74,77605.71043867612,1.0129490624269135,0.014965986394557798,0.755597369720105
Otu000143,0.7333333333333333,15965.926923108495,1.4235572070637408,0.002996198479391755,1.2408199000168527
Otu000004,0.72,315529.656000605,0.9295697191778226,0.06635654261704682,0.5866749899435357
Otu000158,0.7133333333333334,10531.608220360766,2.1997136438772804,0.0027160864345738265,1.7094202732457473
Otu000152,0.7,11044.198508924816,2.3319215642954227,0.0015381152460984388,1.9386124045986235
Otu000096,0.6966666666666667,11903.200159222315,1.2926679729557302,0.002307172869147656,1.0413348486740186
