,score,abun_abs_mean,abun_abs_CV,abun_rel_mean,abun_rel_CV,kendall,p_kendall
Otu000173,0.648,6663.099323805251,1.4227768892399242,0.0009415482936620566,1.3184984344152912,0.4294510901835079,5.1325646543869396e-06
Otu000369,0.512,3645.849526106124,1.9219096831788252,0.0007532386349296597,1.8125632997014733,-0.47431559458449796,1.7339362457294712e-06
Otu001038,0.448,762.8456840979289,1.2552147440094328,0.0001456002515971895,1.5210710512194725,-0.22712664136236102,0.02620204078786507
Otu001086,0.442,870.9363250069404,3.3445636964530348,0.00010094950777406493,3.244323754343079,0.1598104876350619,0.1323565639713734
Otu001087,0.426,1169.064274854449,1.9503722211987427,0.00030673119669814033,2.3568171708820325,-0.37421084680170336,0.00022706459530260703
Otu000323,0.396,2069.718485557427,2.7383620520970293,0.00027372847300277897,2.6553948921472017,0.32771102808982955,0.0016463667068786572
Otu000981,0.384,1711.2836906480009,2.6410984263456387,0.00025237376943518074,2.646063600556897,0.24967327145153384,0.01569540053913876
Otu001276,0.374,1127.2073183928062,1.3092130910749042,0.00017860297529254918,1.2377709934138539,-0.07279996533815625,0.46382896354110426
Otu000074,0.366,11700.62082878575,0.8808917208246452,0.0023315453622436647,1.0340210228212297,-0.18603963040529398,0.044411949229400796
Otu000574,0.364,1044.3219196092475,1.8953582555095478,0.00021160569898794914,1.9448327999449289,-0.20958909814082902,0.04038081469676197
Otu000001,0.346,359782.3827822054,0.6163019435403061,0.05799937488958645,0.4342911407711062,-0.27657585145075336,0.002397447834328766
Otu000029,0.342,85003.94785835815,1.0950026920615372,0.011611134730707445,1.0195046361290865,0.37413751216984603,4.0719757416175414e-05
Otu000274,0.338,7355.024553659515,1.6337146925415222,0.0010463804748120757,1.4902091007147749,0.16992330825124846,0.07522994128813572
Otu000279,0.338,3189.681387906248,1.9441595234364855,0.0004542727849833192,1.7868623622236846,0.2398002480748574,0.014529651462656033
Otu000335,0.33,1935.443995705764,1.4866516839859272,0.0002795524830666317,1.3916737952485698,0.3162459446663131,0.0012157829591637763
Otu000264,0.328,9094.323740383108,2.812250278536045,0.0014870639029796891,3.025954114541595,0.13309441108542908,0.1573457530831509
Otu001656,0.316,1162.877115018375,1.9792858636262822,0.00016501361847683335,2.0360578059149383,0.25170232702244905,0.014316549058232028
Otu000711,0.314,1711.1262936310552,2.424003723213645,0.00023101906586757897,2.256279047810156,0.20945252364159603,0.04075918441484726
Otu000313,0.314,2732.481016736264,1.8378657145151123,0.00037079530740091754,1.6839182736723648,0.29354223733423035,0.0032896479851815333
Otu000400,0.31,820.0859129757005,1.8616049288269314,0.00014171757822127018,2.1472825118937995,-0.18723750372786888,0.06693894981428572
Otu000025,0.31,96358.65633304606,0.866155208283622,0.014558083823035495,0.6834831889634079,0.36078116565316365,7.733385687345687e-05
Otu000441,0.308,904.9793605411666,2.8069481517642716,0.0002465497593712895,2.9074636552657727,-0.15004003573622104,0.14700229613256008
Otu002163,0.306,663.7592278313915,2.887490930185033,8.541881427035615e-05,2.9583236332441882,0.3081772825991222,0.003545770336113296
Otu000227,0.302,3779.010789708585,1.197070169489274,0.0005843423430768332,1.0999901666310183,0.3749046874163078,8.520886591018398e-05
Otu000704,0.302,848.0992908860067,1.5301356992722681,0.000128128221405514,1.411471595929819,0.05659237588232839,0.5769747342777098
