,score,abun_abs_mean,abun_abs_CV,abun_rel_mean,abun_rel_CV,kendall,p_kendall
Otu000173,0.286,17982.674013777603,1.2837521283287296,0.0024927939979864193,1.1337192331188892,0.5557905869910101,1.7267902058011355e-10
Otu000271,0.25,11451.572755113159,1.5738564574768028,0.0014480960984153382,1.3282808251870242,0.32205182443151775,0.00021635187287273515
Otu004486,0.194,4.19497377911708,7.874007874011808,3.4478478533693547e-06,7.87400787401181,-0.07773664727657326,0.371916070912212
Otu000274,0.194,284.55214920216827,5.283941419514152,2.4134934973587098e-05,4.839270051047687,0.02273929138022211,0.7939494465711545
Otu000409,0.194,901.5231107414252,2.5130395304459596,0.00027582782826957904,2.8600806763814064,-0.3643574828133263,2.8511294171999645e-05
Otu001663,0.188,149.33215293273935,3.612737587345712,2.068708712021613e-05,3.6037826716696686,0.06610259122157588,0.4476969070283343
Otu000778,0.172,2095.8238033002813,2.1615012088782337,0.0002585885890027243,1.661020381193354,0.21099947117927023,0.015369272070878244
Otu000058,0.164,34517.29449754167,1.4284029683413173,0.008395509522955745,1.958522978631872,-0.3252247488101534,0.00018729769223675582
Otu003756,0.162,12.39428823318484,7.874007874011804,6.8956957067387095e-06,7.87400787401181,-0.07985193019566368,0.35904499867739703
Otu000403,0.162,3252.630416675861,2.340936493499957,0.00047580300376503067,1.8665026364921442,-0.24695928080380752,0.004559724058980408
Otu001503,0.16,255.9347663462467,2.946414762403242,6.206126136065161e-05,2.4465134479504074,-0.3188789000528821,0.00024959871736090204
Otu011438,0.156,34.801159804300205,6.305598618956174,1.0343543560108064e-05,5.830327094211863,-0.11581173982020096,0.18344450831464842
Otu001267,0.154,789.6424544229002,2.4673312024268093,8.964404418760966e-05,2.500945596705418,0.2067689053410894,0.01755056781327346
Otu000220,0.152,484.12485373195096,4.242281717423288,0.00017239239266849193,4.3179533706926625,-0.2649391856160762,0.002341428559656852
Otu001661,0.148,941.5742908466533,3.076722922355131,9.998758774772094e-05,3.0412266394540826,0.0586991010047594,0.5001694995772945
Otu000244,0.144,5168.808785681778,2.384912200848679,0.0013584520542277354,2.512779032850281,-0.441565309360127,3.9394971105305376e-07
Otu002947,0.144,238.6045096194955,3.898720452409812,2.758278282695645e-05,3.838971856895242,0.07985193019566368,0.35904499867739703
Otu000539,0.142,1412.369629001228,1.6996532586577706,0.0002482450454426146,1.455966724000463,-0.2617662612374405,0.0026412590187381104
Otu000614,0.138,1520.9651618523221,1.5892911249093225,0.00024479719758924514,1.6572082054757362,0.12321523003701748,0.15699196891668546
Otu003366,0.134,254.514326345695,3.213090477321418,3.4478478533695164e-05,3.213496129926079,0.1464833421470122,0.09246792327578955
Otu000267,0.134,7267.0499093802155,1.5496531300717005,0.0016549669696175298,1.898633388300538,-0.23638286620835539,0.006625284834294476
Otu000329,0.13,409.0111768056378,3.365613198258156,4.482202209380322e-05,3.1300272396425988,0.03437334743521946,0.692979190799845
Otu004249,0.13,249.7734972037953,2.9904950543472104,2.7582782826954838e-05,2.9715177995069957,0.0597567424643046,0.49247903463002884
Otu001584,0.12,297.758999996552,3.0416531228438135,8.964404418761128e-05,3.3319879588441887,-0.36329984135378107,3.0075464094401346e-05
Otu004884,0.116,36.824425416155165,7.87400787401181,3.4478478533693547e-06,7.87400787401181,-0.0586991010047594,0.5001694995772945
Otu007366,0.112,12.798151336385839,5.8506338098557915,6.8956957067387095e-06,5.521938362449234,-0.09042834479111583,0.2989591754770423
Otu002792,0.112,111.17495563654172,2.9080975606824286,3.1030630680324194e-05,3.016181147549838,-0.32205182443151775,0.00021635187287273515
Otu002409,0.106,167.51807834889453,4.123288951129487,2.068708712021774e-05,4.470913892958909,0.035430988894764676,0.6840348113229664
Otu001138,0.104,465.0264127866886,3.100949300803653,5.171771780054355e-05,3.1474510460739764,0.055526176626123754,0.5236178201610369
Otu004173,0.104,239.45064026534678,6.952043552794596,2.4134934973588707e-05,6.8240320816060045,-0.035430988894764676,0.6840348113229664
Otu000060,0.102,42735.69982098086,1.0640296742350668,0.005950985394916453,0.6557164464691934,0.36329984135378107,3.0075464094401346e-05
Otu004318,0.102,87.7026291081108,4.71013816063348,1.7239239266846772e-05,4.655051900540027,-0.10735060814383926,0.2175613624394399
Otu000368,0.1,71.48784080596883,5.783283294118454,2.758278282695645e-05,4.755497250378931,-0.0809095716552089,0.3527157544124043
