,score,abun_abs_mean,abun_abs_CV,abun_rel_mean,abun_rel_CV,kendall,p_kendall
Otu000792,0.558,506.52323322041644,2.368797457088236,0.0001106561912138742,2.4157950189889554,-0.3188789000528821,0.00024959871736090204
Otu000246,0.546,882.3246613349426,4.091344445192362,0.00020881894148427904,4.376213688126366,-0.20888418826017982,0.01642814179215561
Otu000511,0.546,2019.9490372072516,1.510919919050526,0.0004140683284132436,1.6845873515897574,-0.13802221047065047,0.11289016240780402
Otu000369,0.51,3351.8294030330494,2.0251243280727373,0.0006924935837256547,1.9124842179623651,-0.4299312533051296,7.883544134051072e-07
Otu000346,0.494,2008.7546337958297,2.2456649600678986,0.00042120743752383226,2.0564382700641035,-0.1560021152829191,0.07315633590447475
Otu001668,0.47,1465.9619453090706,4.324712574496808,0.00016419950954319514,3.966782728004455,0.10840824960338447,0.2130631061543815
Otu000664,0.468,2788.4915829850047,3.3581021515627016,0.0003676641191945484,3.218464546360749,0.22580645161290325,0.00949678214056465
Otu000022,0.446,36017.531963856476,1.425018604422333,0.00516157588694502,1.2056891046970362,-0.22686409307244848,0.00916650269705618
Otu001092,0.446,2272.928422867282,4.728914133666904,0.00029270347353352577,4.984971710015127,0.11581173982020096,0.18344450831464842
Otu001288,0.416,630.8262233898631,2.094954657129249,0.0001927559459854709,3.0251239834511208,-0.35060814383923855,5.646512564166528e-05
Otu000192,0.414,1009.4886729110076,1.8228000849714219,0.00019454072326309518,2.0948378528377662,-0.3051295610787943,0.00045704449542703304
Otu001533,0.408,719.7269804905991,2.923818177490459,0.0002748557007570839,3.7255138319813677,-0.2300370174510841,0.008236318014360814
Otu000044,0.404,9854.25814915919,1.166409921669789,0.001800840273142242,1.3052036313032767,-0.3802221047065045,1.2581215932989553e-05
Otu001498,0.398,1585.0155022149079,5.555915113749844,0.0002980578053664597,6.067547629422523,0.021681649920676893,0.8033318877997414
Otu000389,0.392,2040.2338024090936,2.2705092673835536,0.0004229922148014839,2.211435469012125,-0.13590692755156006,0.11851454488683463
Otu001656,0.39,1097.2968000121368,2.028269459316397,0.00015527562315495488,2.090517524672631,0.09571655208884189,0.27158979279943707
Otu001140,0.386,1677.4702126294394,1.9700054695442173,0.0003765880055827532,3.0829374779153462,0.06610259122157588,0.4476969070283343
Otu001087,0.386,1300.1191590611365,1.8944104517195821,0.00031055124630993713,2.270909907962105,-0.21099947117927023,0.015369272070878244
Otu000207,0.384,1063.9727020118012,2.6832681323839496,0.00014278218221145487,2.378950553859036,-0.0671602326811211,0.44046490565728946
Otu000717,0.372,8858.187835764793,4.320212929521711,0.0011386879031365564,4.583770418215018,0.10735060814383926,0.2175613624394399
Otu000282,0.37,4480.692271207615,5.30131549005026,0.0005622048424576871,5.229088369734859,0.11263881544156532,0.19574162327288547
Otu000066,0.366,33925.60615248424,1.273679475454135,0.005327560173765877,1.218987578391138,-0.20782654680063462,0.016981218150040688
Otu000168,0.36,4147.8076965468135,1.0443775938202828,0.0006282416017304469,1.0518855327592165,0.008989952406134321,0.917757105100038
Otu000173,0.344,6188.9849498316935,1.4909891932935633,0.0008727560887676212,1.3893072346725426,0.24695928080380752,0.004559724058980408
Otu000227,0.336,3839.4074033560937,1.2177637535828685,0.0005818373925117209,1.122735933024716,0.27022739291380227,0.0019101641045005167
Otu000029,0.334,78561.00330054935,1.169139218998886,0.010721157106804605,1.0950845972325836,0.1782125859333686,0.04066146605410904
Otu000580,0.318,5833.739022680954,3.6373494094265895,0.0007067718019468227,3.6514161509754475,0.09783183500793233,0.26113813937746155
Otu000030,0.314,57699.54961438996,1.4222521164039432,0.011106668998775604,1.9133683522068727,0.1411951348492861,0.10485049730385777
Otu000619,0.306,9186.996114779015,4.003710082507649,0.0011583204531906257,4.036332299213635,0.18350079323109467,0.03505639518827295
Otu000285,0.298,2114.0465270857803,3.373079183877883,0.00029627302808879344,2.961641022057109,-0.1560021152829191,0.07315633590447475
Otu001863,0.292,709.2289138273842,3.2056526089520685,9.637797299273065e-05,2.823756290162167,-0.15282919090428346,0.07918926508808039
Otu000001,0.28,344708.1709959093,0.6366856672302544,0.054940798937700555,0.47964947360352056,-0.3400317292437864,9.397843478136477e-05
Otu000711,0.278,1630.4872693246746,2.4500476460111456,0.00021952760515011937,2.2881606521543816,0.09677419354838711,0.26632868390737796
Otu000638,0.27,14225.036197160773,2.149683404174913,0.0019257746825773192,1.952537295715089,-0.07139079851930197,0.4122155138155018
Otu000250,0.268,22457.44062235184,3.616771694193836,0.002655748589133545,3.5409312962050836,0.19619249074563724,0.024228626912034947
Otu000026,0.26,42068.97269029118,0.8183634365887478,0.006284200794582795,0.5722762685118629,-0.06398730830248546,0.46236148255917053
