,score,abun_abs_mean,abun_abs_CV,abun_rel_mean,abun_rel_CV
Otu000060,1.0,25684.04822338961,1.454461103687403,0.003742747098839531,1.052154011488755
Otu000173,1.0,8669.419741790718,1.8835721210118694,0.0012204881952781095,1.6304734468607247
Otu000001,0.9633333333333334,369375.3893837137,0.7287593487717613,0.09485294117647064,0.638429754462345
Otu000119,0.96,11843.959374344733,2.1634957903090024,0.001598139255702281,1.8807543976240417
Otu000059,0.9566666666666667,18565.54042278274,0.7912952353020907,0.004970738295318121,0.9224060863114777
Otu000176,0.9233333333333333,7582.1794302492235,1.4540659023133016,0.0014768407362945161,1.0959744806553784
Otu000149,0.88,5059.495398242049,1.6974657419288697,0.0014218187274909952,1.533150461851322
Otu000203,0.84,6497.374080574607,2.1704750312300214,0.0011317026810724285,2.0312922660186814
Otu000047,0.83,19404.490287201374,2.128603507942962,0.00398409363745498,1.9639762149105713
Otu000137,0.8166666666666667,3052.0745572256396,1.8636094420617106,0.001505602240896357,2.587881439943059
Otu000160,0.8066666666666666,19109.629841196485,3.1016746438008833,0.002243397358943575,2.815979635021095
Otu000255,0.8,6122.341451426817,4.947271791392674,0.0010966886754701878,4.734552054116003
Otu000088,0.7966666666666666,4616.289407465236,1.293974018344444,0.001724439775910363,1.578548888556956
Otu000005,0.78,132973.2870961775,1.8198036518845015,0.020486944777911142,1.6021007700627874
Otu000216,0.7466666666666667,7851.687244146659,3.3985016656817653,0.0016494097639055607,2.9079293614309814
Otu000265,0.7133333333333334,2911.009406109943,2.862676741790101,0.0010904361744697878,3.8198966367255394
Otu000175,0.7133333333333334,22002.062711509723,2.066734905962656,0.003061224489795917,2.0145627900381617
Otu000029,0.7,55571.33479410378,1.3152228709308655,0.010049019607843124,0.990743214872976
Otu000192,0.5766666666666667,1697.2207564198184,4.068855230350457,0.0012192376950780307,6.443888315003221
Otu000096,0.5766666666666667,11903.200159222315,1.2926679729557302,0.0023071728691476563,1.041334848674019
Otu000025,0.5733333333333334,77605.7104386761,1.0129490624269137,0.014965986394557807,0.7555973697201047
Otu000226,0.5566666666666666,4320.267067254528,1.6270369166388685,0.0012079831932773099,2.67439612690511
Otu000275,0.5366666666666666,5376.2782631744,3.7071658641290837,0.0010404161664665868,3.234606628220753
Otu000152,0.5166666666666667,11044.198508924816,2.331921564295421,0.0015381152460984392,1.9386124045986244
Otu000231,0.5166666666666667,930.3055310215336,5.493850675987539,0.001221738695478191,5.84936446367379
Otu000090,0.51,12232.231688914315,1.0988348318526033,0.002807372949179669,0.8939694988912901
