,score,abun_abs_mean,abun_abs_CV,abun_rel_mean,abun_rel_CV,kendall,p_kendall
Otu000168,0.576,223.43964356308578,3.190291209807205,6.417661404183061e-05,2.4659460492266154,0.3962585034013605,5.898289676856399e-05
Otu000271,0.546,285.6280715533591,2.284780502128149,0.00010339565595628776,2.1791084585669753,0.42517006802721086,1.633152496250635e-05
Otu000081,0.53,355.4060640446965,4.240072855376614,9.269955361598369e-05,3.0315870789017505,0.29761904761904756,0.002553382832104992
Otu000487,0.516,312.1588852361698,2.959913516858767,0.0001354839629772041,2.700533017392211,0.173469387755102,0.07867157440867804
Otu000216,0.508,1413.46730845099,1.8857856171329792,0.0005526319542491693,1.2485211508698704,0.4506802721088435,4.911969524772735e-06
Otu000175,0.492,1658.4487255422919,4.795103006633778,0.00043140946105903877,3.3700312668058574,0.33673469387755095,0.0006414477756297163
Otu001209,0.48,496.50149817595843,3.6607138221280544,0.0005205436472282715,3.85562880008551,-0.11224489795918366,0.255196363753572
Otu001300,0.48,87.93083605727402,2.7386044811312398,3.565367446767959e-05,2.6424420523448933,0.17857142857142855,0.07027013060567645
Otu000025,0.454,29623.912233045616,1.3361439640954798,0.013616138279211038,0.7250008846123688,0.4064625850340135,3.784099397553616e-05
Otu000540,0.452,220.72107107952206,3.1231488835076564,0.0002567064561673592,3.6599034058040374,-0.227891156462585,0.02088173655437838
Otu000359,0.422,393.2409265965723,4.915892582897828,9.269955361598369e-05,3.4430148965567557,0.2874149659863945,0.003573967737896971
Otu000256,0.408,1338.7740828363214,2.058506358049582,0.0018183373978521973,2.512311540888755,-0.5799319727891156,4.134314156612023e-09
Otu000261,0.346,200.28203036623458,4.133713267254407,5.348051170152654e-05,2.9221060390932054,0.2738095238095238,0.005510214550181909
Otu000575,0.34,218.3689535785594,2.9198709292630634,0.00012478786063690613,3.104298095651879,0.07653061224489795,0.43787582308260087
Otu000391,0.34,391.2957412933725,2.8538741453622927,0.00024957572127382244,2.707320323370294,-0.01530612244897959,0.8766975149490891
Otu000060,0.332,2248.6722519074715,1.6840813016265073,0.0008592535546713204,1.5089064851781928,0.6139455782312924,4.861188379909674e-10
Otu000203,0.32,515.84835213102,3.0825739153847347,0.0002638371910608837,2.192490351088477,-0.18367346938775506,0.06261937462812062
Otu000195,0.292,166.11629179858528,2.800668614462626,8.556881872244285e-05,2.210068762546971,0.006802721088435374,0.945022506107728
Otu000346,0.288,767.3672789425832,1.4957176682255147,0.00037436358191071217,1.256538454998139,0.3384353741496598,0.0006020380730370326
Otu000509,0.278,127.64467024629558,2.1291876803953453,0.00018896447467874286,2.333073736597618,-0.46768707482993194,2.1276089190125014e-06
Otu000099,0.272,2797.8624605399395,1.439466847783055,0.0021320897331678513,1.6456084018346084,-0.23979591836734693,0.015065792926576307
Otu000451,0.268,256.3043025146535,2.25273016358295,0.00022461814914642858,1.9314379811160471,-0.3996598639455782,5.0928906149187936e-05
Otu000408,0.266,1005.3400663646802,1.6670973609818764,0.001026825824669455,1.6254841903388548,-0.5697278911564626,7.682073369973254e-09
Otu000431,0.254,177.58695612458837,2.2463066073269946,0.00013191859553044082,2.4558185108171657,0.018707482993197275,0.8495940753186882
Otu001157,0.252,242.05391094211274,2.748624439102605,0.00011409175829658574,1.7276403592582985,0.11564625850340135,0.24107757968146992
Otu000104,0.244,7615.132063345883,1.4958147673992435,0.003422752748898266,1.422692740280406,0.5374149659863945,5.101497881397315e-08
Otu000083,0.238,3546.3033364316366,1.6287511455882775,0.0016899841697685081,1.6419020061959568,0.4047619047619047,4.0775366535560836e-05
Otu000490,0.232,2793.435175773686,1.6393320089672918,0.0013691010995592872,1.2782587076968652,0.2534013605442177,0.010207754748271406
Otu000539,0.228,451.7855237410688,1.023644547892679,0.0003529713772300937,1.1135895987189235,-0.29081632653061223,0.0031985386146235997
Otu000242,0.226,1055.124091565767,5.475595208812211,0.00024244498638028368,3.8266342974129914,0.13095238095238093,0.18435832271640418
Otu000062,0.226,389.23741716011364,1.978215303578472,0.00019966057701904493,2.1283674299019433,0.30782312925170063,0.0018061757988190434
Otu001568,0.224,432.57360402030827,2.7817999599859893,0.00017826837233843055,1.7495332710946467,0.13605442176870747,0.16784120746850628
Otu000248,0.22,558.4968360109244,2.173974058552981,0.00022461814914643058,1.9637926269038326,0.3639455782312925,0.00022488109683356435
Otu000213,0.22,595.8361916898422,2.7692046408358233,0.00024601035382704276,2.9312960144453086,0.3639455782312925,0.00022488109683356435
Otu002456,0.216,89.94769616473428,2.3168399571841456,8.556881872244083e-05,2.2100687625470328,-0.24489795918367344,0.013045943759322791
Otu000126,0.214,1861.1639466941922,2.837378339108858,0.0006061124659507225,2.7026715285072593,0.32312925170068024,0.0010546110577946649
