"Otu000001" "Otu000005" "Otu000007" "Otu000009" "Otu000010" "Otu000012" "Otu000016" "Otu000017" "Otu000018" "Otu000019" "Otu000020" "Otu000022" "Otu000023" "Otu000025" "Otu000026" "Otu000040" "Otu000041" "Otu000044" "Otu000046" "Otu000047" "Otu000048" "Otu000050" "Otu000053" "Otu000058" "Otu000059" "Otu000060" "Otu000066" "Otu000070" "Otu000071" "Otu000075" "Otu000076" "Otu000077" "Otu000078" "Otu000081" "Otu000093" "Otu000095" "Otu000096" "Otu000103" "Otu000106" "Otu000108" "Otu000109" "Otu000110" "Otu000117" "Otu000119" "Otu000120" "Otu000123" "Otu000124" "Otu000131" "Otu000136" "Otu000137" "Otu000159" "Otu000161" "Otu000162" "Otu000168" "Otu000176" "Otu000179" "Otu000192" "Otu000195" "Otu000201" "Otu000206" "Otu000210" "Otu000216" "Otu000217" "Otu000223" "Otu000227" "Otu000229" "Otu000248" "Otu000250" "Otu000261" "Otu000262" "Otu000267" "Otu000274" "Otu000275" "Otu000282" "Otu000294" "Otu000298" "Otu000304" "Otu000308" "Otu000311" "Otu000320" "Otu000322" "Otu000323" "Otu000328" "Otu000338" "Otu000347" "Otu000355" "Otu000363" "Otu000377" "Otu000378" "Otu000385" "Otu000387" "Otu000399" "Otu000430" "Otu000434" "Otu000444" "Otu000450" "Otu000459" "Otu000471" "Otu000483" "Otu000500" "Otu000506" "Otu000514" "Otu000554" "Otu000556" "Otu000563" "Otu000571" "Otu000580" "Otu000582" "Otu000583" "Otu000597" "Otu000623" "Otu000634" "Otu000641" "Otu000646" "Otu000660" "Otu000663" "Otu000666" "Otu000669" "Otu000704" "Otu000717" "Otu000745" "Otu000746" "Otu000760" "Otu000763" "Otu000773" "Otu000785" "Otu000787" "Otu000793" "Otu000803" "Otu000810" "Otu000826" "Otu000832" "Otu000853" "Otu000877" "Otu000921" "Otu000931" "Otu001065" "Otu001097" "Otu001104" "Otu001115" "Otu001118" "Otu001183" "Otu001201" "Otu001269" "Otu001276" "Otu001301" "Otu001311" "Otu001319" "Otu001414" "Otu001415" "Otu001602" "Otu001636" "Otu001643" "Otu001784" "Otu001802" "Otu001821" "Otu001834" "Otu002159" "Otu002185" "Otu002212" "Otu002882" "Otu003259"
"Z14001F" 0.202832798495076 0.0601969680203607 0.0546641584596658 0.0667256833019807 0.025008299214341 0.000663937147283391 0.0345247316587363 0.00774593338497289 0.0273320792298329 0.000110656191213898 0.00907380767953967 0.0154918667699458 0.0173730220205821 0.0256722363616244 0.0220205820515658 0.000331968573641695 0.0470288812659068 0.00265574858913356 0.00387296669248644 0 0.011950868651101 0 0.03917229168972 0 0.00210246763306407 0.00929512006196747 0.0127254619895983 0.0304304525838221 0 0.00132787429456678 0.00796724576740069 0.0221312382427797 0.000221312382427797 0.0395042602633617 0.00453690383976984 0 0.00232378001549187 0.00132787429456678 0.00497952860462543 0.00331968573641695 0.0189222086975766 0 0 0 0.000553280956069492 0.000885249529711187 0.00254509239791966 0.000663937147283391 0.000221312382427797 0.000774593338497289 0.00276640478034746 0 0.000221312382427797 0.000442624764855594 0.00320902954520305 0.00520084098705323 0.000110656191213898 0 0 0 0 0 0.00121721810335288 0.000110656191213898 0.000331968573641695 0.000221312382427797 0.0069713400464756 0 0 0 0.000221312382427797 0.00553280956069492 0.0257828925528383 0 0.00199181144185017 0 0 0.000221312382427797 0.000885249529711187 0 0.000442624764855594 0 0.000221312382427797 0 0 0.000331968573641695 0 0.0268894544649773 0.00110656191213898 0.000442624764855594 0.000663937147283391 0.000663937147283391 0 0 0.00531149717826712 0 0 0.00265574858913356 0 0 0 0.000663937147283391 0.00110656191213898 0.000221312382427797 0.000221312382427797 0 0 0.000442624764855594 0 0.00165984286820848 0.000110656191213898 0.0310943897311055 0 0.000442624764855594 0 0 0.000221312382427797 0 0 0 0 0.015270554387518 0.000221312382427797 0.000995905720925086 0 0.000110656191213898 0.00409427907491424 0.00177049905942237 0 0.000442624764855594 0 0 0 0 0.000331968573641695 0 0 0 0 0.000221312382427797 0 0 0 0 0.000221312382427797 0.00276640478034746 0 0 0.00110656191213898 0.000110656191213898 0 0.000442624764855594 0.000331968573641695 0 0 0 0 0 0 0 0 0
"Z14002F" 0.135775146619453 0.0763527719375899 0.105344694035631 0.0554387517981631 0.0300984840101804 0.00232378001549187 0.0530043155914573 0.00641805909040611 0.0214673010954963 0 0.0137213677105234 0.00343034192763085 0.0158238353435875 0.0273320792298329 0.00752462100254509 0.00165984286820848 0.0852052672347018 0.00597543432555051 0.000110656191213898 0.000442624764855594 0.00542215336948102 0.00221312382427797 0.0234591125373465 0 0.00354099811884475 0.0070819962376895 0.020692707756999 0.000663937147283391 0 0 0.00354099811884475 0.0102910257828926 0.000110656191213898 0.0357419497620892 0.00376231050127255 0.000110656191213898 0.00199181144185017 0.00453690383976984 0.00442624764855594 0.00221312382427797 0.021799269669138 0.000885249529711187 0 0 0 0.00475821622219763 0.00287706097156136 0.000553280956069492 0.000110656191213898 0.00298771716277526 0.00564346575190882 0 0.00110656191213898 0.000553280956069492 0.00188115525063627 0.0135000553280956 0.000110656191213898 0 0.000110656191213898 0.000442624764855594 0 0 0.00376231050127255 0.000110656191213898 0.000221312382427797 0 0.00442624764855594 0 0 0 0.00177049905942237 0.0066393714728339 0.0300984840101804 0.000110656191213898 0.00309837335398916 0 0.000331968573641695 0.000221312382427797 0.000995905720925086 0.000331968573641695 0.000442624764855594 0 0.000442624764855594 0.00420493526612814 0 0.000331968573641695 0.000221312382427797 0.0125041496071705 0.000221312382427797 0.000442624764855594 0.00132787429456678 0.00110656191213898 0 0.000663937147283391 0.000774593338497289 0 0.000553280956069492 0.00464756003098373 0 0 0 0.000553280956069492 0.00354099811884475 0.00232378001549187 0.000995905720925086 0 0 0 0 0.00542215336948102 0.000221312382427797 0.0121721810335288 0.000331968573641695 0.000774593338497289 0.000110656191213898 0 0.000553280956069492 0 0 0.000221312382427797 0 0.0252296115967688 0 0.00165984286820848 0.000110656191213898 0.00199181144185017 0.00221312382427797 0.00752462100254509 0 0.000331968573641695 0.000110656191213898 0 0.00110656191213898 0 0.000221312382427797 0 0 0 0 0.000331968573641695 0 0 0.000110656191213898 0 0.000553280956069492 0.01305743056324 0 0 0.000331968573641695 0.000110656191213898 0 0.00298771716277526 0.000221312382427797 0 0 0 0 0 0 0 0 0
"Z14003F" 0.0837667367489211 0.00929512006196747 0.0489100365165431 0.0157131791523736 0.0826601748367821 0.00309837335398916 0.00896315148832577 0.00265574858913356 0.00320902954520305 0.00752462100254509 0.0146066172402346 0.000221312382427797 0.00442624764855594 0.0131680867544539 0.000885249529711187 0.000221312382427797 0.00188115525063627 0 0.00763527719375899 0.00464756003098373 0.000221312382427797 0.00918446387075357 0.000442624764855594 0.0369591678654421 0.00132787429456678 0.000442624764855594 0.00509018479583933 0.000331968573641695 0.00829921434104238 0.00188115525063627 0.0105123381653203 0 0 0.0329755449817417 0.0104016819741065 0.00486887241341153 0.000774593338497289 0.00409427907491424 0.00221312382427797 0.000442624764855594 0.00387296669248644 0 0 0 0.000221312382427797 0.000331968573641695 0.0071926524289034 0 0.00630740289919221 0.00243443620670577 0 0.000110656191213898 0.000221312382427797 0.000442624764855594 0.000553280956069492 0.0219099258603519 0 0 0.0894102025008299 0.0100697134004648 0.000774593338497289 0.00442624764855594 0.000110656191213898 0.000221312382427797 0.000110656191213898 0 0.000221312382427797 0.0416067278964258 0.000221312382427797 0 0.0212459887130685 0.000110656191213898 0.0107336505477481 0.00331968573641695 0 0 0.0378444173951533 0.000221312382427797 0 0.00497952860462543 0 0 0 0.000663937147283391 0.0302091402013943 0.000331968573641695 0.0162664601084431 0 0 0 0 0.000774593338497289 0 0.000110656191213898 0.000110656191213898 0.0148279296226624 0.0255615801704105 0 0.000553280956069492 0.016377116299657 0 0.000442624764855594 0 0.000110656191213898 0.000442624764855594 0.000885249529711187 0.00896315148832577 0 0.000553280956069492 0.00210246763306407 0 0.000442624764855594 0.0266681420825495 0 0.000331968573641695 0.00143853048578068 0 0.000221312382427797 0 0.00608609051676441 0 0.0291025782892553 0 0 0.0148279296226624 0 0.000110656191213898 0 0.0110656191213898 0 0.0143853048578068 0 0 0.0116189000774593 0 0 0.0136107115193095 0.00531149717826712 0.00442624764855594 0 0 0 0.00121721810335288 0.00121721810335288 0 0 0.00143853048578068 0 0 0.00852052672347018 0 0 0.000221312382427797 0.00475821622219763 0.00143853048578068 0.00663937147283391 0.000221312382427797 0 0 0.000774593338497289 0.00143853048578068 0
"Z14004F" 0.0590904061082218 0.11098815978754 0.0725904614363174 0.0388403231160783 0.0405001659842868 0.00165984286820848 0.0511231603408211 0.00254509239791966 0.0224632068164214 0.000995905720925086 0.0100697134004648 0.0275533916122607 0.00874183910589798 0.0158238353435875 0.00276640478034746 0.00309837335398916 0.0268894544649773 0.00232378001549187 0.000553280956069492 0.000110656191213898 0.00188115525063627 0.00265574858913356 0.0149385858138763 0.000110656191213898 0.000774593338497289 0.0069713400464756 0.0105123381653204 0.0181476153590793 0 0.000110656191213898 0.00298771716277526 0.112426690273321 0.000885249529711187 0.0151598981963041 0.0113975876950315 0 0.000110656191213898 0.00143853048578068 0.00398362288370034 0.00121721810335288 0.00929512006196747 0.000331968573641695 0.00177049905942237 0 0.00177049905942237 0.00531149717826712 0.00973774482682306 0.000553280956069492 0 0.00796724576740069 0.00951643244439527 0 0.00121721810335288 0.00110656191213898 0.00597543432555051 0.0187008963151488 0 0 0.000331968573641695 0 0 0 0.00254509239791966 0 0.000110656191213898 0.000110656191213898 0.00520084098705323 0.00254509239791966 0 0.000221312382427797 0.00497952860462543 0.00309837335398916 0.0336394821290251 0.00121721810335288 0.00331968573641695 0.000221312382427797 0.000553280956069492 0.000885249529711187 0.000442624764855594 0 0.000774593338497289 0 0.000553280956069492 0.00188115525063627 0 0.000221312382427797 0 0.0333075135553834 0.000110656191213898 0.000663937147283391 0.00121721810335288 0.00376231050127255 0 0 0.00221312382427797 0 0.00110656191213898 0.00154918667699458 0 0.000663937147283391 0 0.000221312382427797 0.00232378001549187 0.00199181144185017 0.000663937147283391 0 0.000110656191213898 0.000553280956069492 0 0.000221312382427797 0.000221312382427797 0.00763527719375899 0.000110656191213898 0.000995905720925086 0.000110656191213898 0 0 0 0.000331968573641695 0.000331968573641695 0 0.0210246763306407 0.000221312382427797 0.00431559145734204 0 0.0169303972557265 0.00608609051676441 0.021799269669138 0.000110656191213898 0.000331968573641695 0.000221312382427797 0 0 0 0.000221312382427797 0 0 0 0 0.000774593338497289 0 0.000995905720925086 0 0 0 0.0213566449042824 0.000331968573641695 0 0.000110656191213898 0.000221312382427797 0 0.00343034192763085 0 0.000331968573641695 0.000110656191213898 0 0.000110656191213898 0 0 0 0 0
"Z14005F" 0.129578399911475 0.0590904061082218 0.0236804249197743 0.0421600088524953 0.0453690383976983 0.0454796945889122 0.028327984950758 0.0374017926302977 0.01305743056324 0.0360739183357309 0.0312050459223194 0.0159344915348014 0.0194754896536461 0.0400575412194312 0.00940577625318137 0.00199181144185017 0.00121721810335288 0.000331968573641695 0.0242337058758438 0.00840987053225628 0.0159344915348014 0.0117295562686732 0.0180369591678654 0.000110656191213898 0.00343034192763085 0.0204713953745712 0.0233484563461326 0 0.0271107668474051 0.000221312382427797 0.0115082438862454 0.00741396481133119 0.0126148057983844 0.0128361181808122 0.0169303972557265 0.000110656191213898 0.0068606838552617 0.00154918667699458 0.00431559145734204 0.0201394268009295 0.00199181144185017 0 0 0.00553280956069492 0.00298771716277526 0.015270554387518 0.0225738630076353 0.00553280956069492 0.0067500276640478 0.00486887241341153 0.000331968573641695 0.0071926524289034 0.000442624764855594 0.000774593338497289 0.000442624764855594 0.0274427354210468 0 0 0.000553280956069492 0.000110656191213898 0.000331968573641695 0.000331968573641695 0.00564346575190882 0.00165984286820848 0 0.000221312382427797 0 0.000663937147283391 0.00265574858913356 0.00309837335398916 0 0.000553280956069492 0.00586477813433662 0.000110656191213898 0 0.000221312382427797 0 0.00154918667699458 0 0 0.000331968573641695 0.000331968573641695 0 0.000885249529711187 0 0.0104016819741065 0 0.00110656191213898 0.000663937147283391 0.00343034192763085 0.00243443620670577 0.00210246763306407 0 0.00110656191213898 0.000110656191213898 0 0.000221312382427797 0.00409427907491424 0 0.000110656191213898 0 0.000221312382427797 0.000221312382427797 0.000995905720925086 0 0.00121721810335288 0 0 0.000885249529711187 0.00188115525063627 0 0.000774593338497289 0.000110656191213898 0.000221312382427797 0.00154918667699458 0.000110656191213898 0 0.000110656191213898 0 0 0 0.000110656191213898 0.000995905720925086 0 0.000221312382427797 0 0.000221312382427797 0.00210246763306407 0 0.000110656191213898 0.000110656191213898 0.000553280956069492 0.000442624764855594 0 0 0.00232378001549187 0.000221312382427797 0 0 0 0 0 0 0 0.000553280956069492 0.00210246763306407 0 0.000110656191213898 0.000331968573641695 0.000221312382427797 0.000221312382427797 0 0 0 0 0 0 0.000553280956069492 0 0 0 0
"Z14006F" 0.135332521854598 0.0495739736638265 0.0323116078344583 0.0473608498395485 0.051233816532035 0.0450370698240567 0.0434878831470621 0.0365165431005865 0.018479583932721 0.0377337612039394 0.0295452030541109 0.0165984286820848 0.017483678211796 0.0349673564235919 0.0105123381653203 0.00177049905942237 0.00132787429456678 0.000885249529711187 0.0177049905942237 0.014163992475379 0.0107336505477481 0.0199181144185017 0.0162664601084431 0.00188115525063627 0.00221312382427797 0.0170410534469404 0.0144959610490207 0 0.0223525506252075 0.000774593338497289 0.00763527719375899 0.00608609051676441 0.0122828372247427 0.0107336505477481 0.0214673010954963 0.000442624764855594 0.0073033086201173 0.00177049905942237 0.00177049905942237 0.0200287706097156 0.00343034192763085 0.000221312382427797 0 0.00464756003098373 0.00110656191213898 0.0121721810335288 0.016377116299657 0.00442624764855594 0.00453690383976984 0.00630740289919221 0.000553280956069492 0.0069713400464756 0.000110656191213898 0.000553280956069492 0.00188115525063627 0.0295452030541109 0.000331968573641695 0 0.000221312382427797 0.000221312382427797 0 0.000442624764855594 0.00741396481133119 0.000221312382427797 0 0.000110656191213898 0.000221312382427797 0.000110656191213898 0.00442624764855594 0.00121721810335288 0.000110656191213898 0.000331968573641695 0.00431559145734204 0 0.000331968573641695 0.000331968573641695 0 0.000995905720925086 0 0 0.000110656191213898 0.000221312382427797 0.000442624764855594 0.00354099811884475 0 0.00984840101803696 0 0.000553280956069492 0.00121721810335288 0.00287706097156136 0.00110656191213898 0.00354099811884475 0 0 0.000221312382427797 0 0 0.00409427907491424 0 0 0.000221312382427797 0.000110656191213898 0 0.00177049905942237 0 0 0 0.000110656191213898 0.00177049905942237 0.00132787429456678 0 0.000221312382427797 0 0.000110656191213898 0.00331968573641695 0 0 0.000110656191213898 0.000110656191213898 0 0 0.000774593338497289 0.000221312382427797 0.000110656191213898 0 0.000221312382427797 0 0.00409427907491424 0 0.000110656191213898 0 0 0 0 0 0.00232378001549187 0 0 0.000221312382427797 0 0 0 0 0 0.000331968573641695 0.00188115525063627 0 0 0.000221312382427797 0.000110656191213898 0.000995905720925086 0 0 0 0 0 0 0 0 0 0 0
"Z14007F" 0.0546641584596658 0.0192541772712183 0.0736970233484563 0.0213566449042824 0.0405001659842868 0.0203607391833573 0.00962708863560916 0.00918446387075357 0.0118402124598871 0.00752462100254509 0.00785658957618679 0.000110656191213898 0.00188115525063627 0.00243443620670577 0.00110656191213898 0.010844306738962 0.00154918667699458 0.000442624764855594 0.00177049905942237 0.024012393493416 0 0.0131680867544539 0.000774593338497289 0.0256722363616244 0.00121721810335288 0 0.00962708863560916 0 0.0069713400464756 0.000663937147283391 0.0180369591678654 0.000553280956069492 0 0.0296558592453248 0.0136107115193095 0.0215779572867102 0.00199181144185017 0.00132787429456678 0.00177049905942237 0.00365165431005865 0.00752462100254509 0 0.000331968573641695 0 0.000885249529711187 0.000995905720925086 0.00752462100254509 0.00243443620670577 0.00542215336948102 0.00829921434104238 0.00199181144185017 0 0.000442624764855594 0.00132787429456678 0.00121721810335288 0.0264468297001217 0 0 0.108664379772048 0.0324222640256722 0.000221312382427797 0.0117295562686732 0.000442624764855594 0 0.000663937147283391 0.000110656191213898 0.000774593338497289 0.0464756003098373 0.000553280956069492 0.000442624764855594 0.00320902954520305 0 0.0209140201394268 0.0230164877724909 0 0.000885249529711187 0.000553280956069492 0.000774593338497289 0 0.0199181144185017 0 0 0 0.00154918667699458 0.00165984286820848 0.000221312382427797 0.00475821622219763 0.000110656191213898 0 0.000110656191213898 0.000110656191213898 0.000331968573641695 0 0.000110656191213898 0.000331968573641695 0.00973774482682306 0.0069713400464756 0.000331968573641695 0.00298771716277526 0.0109549629301759 0 0.000110656191213898 0.000221312382427797 0.000774593338497289 0 0.0296558592453248 0.00232378001549187 0 0.000110656191213898 0.000110656191213898 0 0.000331968573641695 0.015270554387518 0 0 0.00254509239791966 0 0 0 0.0067500276640478 0 0.00564346575190882 0 0 0.0133893991368817 0 0 0 0.00818855814982848 0.000110656191213898 0.00132787429456678 0 0 0.0126148057983844 0 0 0.020692707756999 0.00232378001549187 0.00619674670797831 0 0 0.000331968573641695 0.00132787429456678 0.00121721810335288 0.000110656191213898 0.00177049905942237 0.00121721810335288 0 0 0.00409427907491424 0 0 0 0.000885249529711187 0.00818855814982848 0.00154918667699458 0 0.000110656191213898 0 0.000774593338497289 0.00254509239791966 0
"Z14008F" 0.12150049795286 0.0774593338497289 0.0267787982737634 0.0393936040721478 0.0522297222529601 0.0386190107336506 0.0254509239791966 0.0367378554830143 0.0158238353435875 0.0440411641031316 0.0239017373022021 0.0179263029766515 0.0216886134779241 0.0397255726457895 0.00973774482682306 0.00309837335398916 0.00121721810335288 0.000663937147283391 0.016377116299657 0.0149385858138763 0.0167090848732987 0.0122828372247427 0.0142746486665929 0 0.00475821622219763 0.0179263029766515 0.00951643244439526 0.000110656191213898 0.0170410534469404 0.000663937147283391 0.0118402124598871 0.00818855814982848 0.0147172734314485 0.00918446387075357 0.0159344915348014 0 0.0070819962376895 0.00177049905942237 0.00509018479583933 0.0231271439637048 0.00652871528162001 0.00110656191213898 0.000885249529711187 0.0069713400464756 0.00243443620670577 0.0107336505477481 0.0149385858138763 0.00376231050127255 0.00309837335398916 0.0106229943565342 0.000221312382427797 0.00619674670797831 0.000774593338497289 0.000221312382427797 0.00165984286820848 0.0271107668474051 0 0 0.000663937147283391 0.00110656191213898 0.000331968573641695 0.000442624764855594 0.00531149717826712 0.000221312382427797 0.000221312382427797 0.000221312382427797 0.000221312382427797 0.00110656191213898 0.00509018479583933 0.00509018479583933 0 0.000221312382427797 0.00442624764855594 0.000221312382427797 0 0.00165984286820848 0 0.00165984286820848 0 0.000442624764855594 0.000110656191213898 0.000553280956069492 0.000110656191213898 0.00287706097156136 0.000110656191213898 0.0146066172402346 0.000221312382427797 0.00110656191213898 0.00110656191213898 0.00210246763306407 0.00154918667699458 0.00265574858913356 0 0.00110656191213898 0.000221312382427797 0 0.000774593338497289 0.00287706097156136 0 0 0 0.000221312382427797 0 0.000774593338497289 0.000221312382427797 0.00265574858913356 0.000553280956069492 0 0.000110656191213898 0.00110656191213898 0 0.000774593338497289 0.000331968573641695 0 0.00475821622219763 0 0 0.000331968573641695 0.000331968573641695 0 0 0.000442624764855594 0.000774593338497289 0 0 0 0.000221312382427797 0.00298771716277526 0 0 0 0.00121721810335288 0 0 0 0.00143853048578068 0.000553280956069492 0 0 0 0 0 0 0 0.000442624764855594 0.00354099811884475 0 0.000110656191213898 0 0 0.000331968573641695 0 0 0 0 0 0 0.000221312382427797 0 0 0 0
"Z14009F" 0.239238685404448 0.00509018479583933 0.0423813212349231 0.0564346575190882 0.0635166537567777 0.0256722363616244 0.0312050459223194 0.0256722363616244 0.0118402124598871 0.0450370698240567 0.0187008963151488 0.00553280956069492 0.00885249529711187 0.0578731880048689 0.00840987053225628 0.00564346575190882 0.00154918667699458 0.00188115525063627 0.00354099811884475 0.000553280956069492 0.0067500276640478 0.0274427354210468 0.0295452030541109 0 0.00177049905942237 0.0110656191213898 0.00398362288370034 0.000221312382427797 0.000110656191213898 0.00210246763306407 0.00453690383976984 0.000663937147283391 0.0317583268783888 0.0222418944339936 0.00663937147283391 0 0.0156025229611597 0.00132787429456678 0.000663937147283391 0.0296558592453248 0.0216886134779241 0 0.000221312382427797 0.000110656191213898 0.00165984286820848 0.0101803695916787 0.00486887241341153 0.000885249529711187 0.000110656191213898 0.00165984286820848 0.000885249529711187 0.00276640478034746 0.000331968573641695 0.000663937147283391 0.00320902954520305 0.0135000553280956 0.000331968573641695 0 0.000331968573641695 0.000331968573641695 0 0.000221312382427797 0.00177049905942237 0.00121721810335288 0.000110656191213898 0.000221312382427797 0.00199181144185017 0 0.00110656191213898 0.00309837335398916 0.00143853048578068 0 0.0315370144959611 0 0 0 0 0.000110656191213898 0.000553280956069492 0 0 0 0.000221312382427797 0.000331968573641695 0 0.00542215336948102 0 0.014163992475379 0.00110656191213898 0.000221312382427797 0.00110656191213898 0.00188115525063627 0.00121721810335288 0.000110656191213898 0 0 0 0.000663937147283391 0 0 0 0.00121721810335288 0 0.000110656191213898 0.000110656191213898 0 0 0.000110656191213898 0.00287706097156136 0.00066393714728339 0 0.000553280956069492 0 0.00110656191213898 0 0 0 0 0.000331968573641695 0 0 0.00143853048578068 0.000221312382427797 0 0 0 0.000221312382427797 0.000885249529711187 0 0.000221312382427797 0 0 0.000221312382427797 0 0 0.000110656191213898 0 0 0 0 0 0.000221312382427797 0 0 0.000110656191213898 0.000553280956069492 0 0.000110656191213898 0 0 0 0 0.000221312382427797 0.000110656191213898 0 0 0 0 0 0 0 0
"Z14010F" 0.244218214009074 0.0289919220980414 0.0592010622994357 0.0585371251521523 0.0458116631625539 0.0289919220980414 0.0256722363616244 0.0210246763306407 0.0210246763306407 0.044705101250415 0.0144959610490207 0.00331968573641695 0.0128361181808122 0.0431559145734204 0.0126148057983844 0.00586477813433662 0.00154918667699458 0.00287706097156136 0.00331968573641695 0.000221312382427797 0.00940577625318137 0.0306517649662499 0.0203607391833573 0 0.00143853048578068 0.0115082438862454 0.00619674670797831 0.000663937147283391 0.000221312382427797 0.000442624764855594 0.00232378001549187 0.00354099811884475 0.0203607391833573 0.0267787982737634 0.00442624764855594 0 0.01958614584486 0.000995905720925086 0.00066393714728339 0.028327984950758 0.0170410534469404 0.000663937147283391 0.000995905720925086 0.000221312382427797 0.00309837335398916 0.0071926524289034 0.00188115525063627 0.00177049905942237 0.000221312382427797 0.000442624764855594 0.00188115525063627 0.00110656191213898 0.000221312382427797 0.000885249529711187 0.00453690383976984 0.0107336505477481 0.000221312382427797 0 0.000110656191213898 0 0.000553280956069492 0.000221312382427797 0.00221312382427797 0.000442624764855594 0.000110656191213898 0.000663937147283391 0.00243443620670577 0 0.00110656191213898 0.00475821622219763 0.000663937147283391 0.000110656191213898 0.0211353325218546 0 0.000110656191213898 0 0 0 0.000995905720925086 0 0.000221312382427797 0 0.00110656191213898 0.00121721810335288 0 0.00553280956069492 0 0.0139426800929512 0.00287706097156136 0.000885249529711187 0.000663937147283391 0.00254509239791966 0.000774593338497289 0.000331968573641695 0 0 0.000553280956069492 0.000221312382427797 0 0 0 0.000885249529711187 0 0 0.000221312382427797 0 0 0 0.00365165431005865 0.00177049905942237 0 0.000995905720925086 0 0.000553280956069492 0.000110656191213898 0 0 0 0 0.000110656191213898 0 0.00177049905942237 0.000221312382427797 0 0 0 0.000110656191213898 0.000553280956069492 0.000110656191213898 0.00110656191213898 0 0.000110656191213898 0 0 0 0 0 0 0 0.000110656191213898 0 0 0 0 0.000221312382427797 0.000553280956069492 0 0.000221312382427797 0 0 0 0 0.000221312382427797 0.000221312382427797 0 0 0 0.000221312382427797 0 0 0 0
