"Otu000001" "Otu000007" "Otu000009" "Otu000010" "Otu000012" "Otu000016" "Otu000017" "Otu000018" "Otu000019" "Otu000020" "Otu000022" "Otu000023" "Otu000025" "Otu000026" "Otu000030" "Otu000041" "Otu000044" "Otu000046" "Otu000048" "Otu000056" "Otu000059" "Otu000062" "Otu000063" "Otu000067" "Otu000070" "Otu000075" "Otu000077" "Otu000078" "Otu000082" "Otu000083" "Otu000086" "Otu000087" "Otu000088" "Otu000093" "Otu000096" "Otu000103" "Otu000104" "Otu000106" "Otu000107" "Otu000110" "Otu000117" "Otu000120" "Otu000136" "Otu000137" "Otu000142" "Otu000154" "Otu000159" "Otu000162" "Otu000168" "Otu000176" "Otu000184" "Otu000192" "Otu000205" "Otu000210" "Otu000215" "Otu000216" "Otu000223" "Otu000225" "Otu000227" "Otu000231" "Otu000248" "Otu000256" "Otu000262" "Otu000273" "Otu000322" "Otu000326" "Otu000340" "Otu000379" "Otu000385" "Otu000387" "Otu000390" "Otu000436" "Otu000441" "Otu000446" "Otu000477" "Otu000509" "Otu000514" "Otu000547" "Otu000582" "Otu000655" "Otu000674" "Otu000676" "Otu000755" "Otu000765" "Otu000775" "Otu000816" "Otu000834" "Otu000908" "Otu000914" "Otu000977" "Otu000999" "Otu001028" "Otu001054" "Otu001076" "Otu001219" "Otu001542" "Otu001677" "Otu002522"
"110D2F115" 0.385045422781272 0.0850803633822502 0.0312718378756115 0.0281271837875611 0.0251572327044025 0.0178197064989518 0.0277777777777778 0.000698812019566737 0.039832285115304 0.00559049615653389 0.00856044723969252 0.00296995108315863 0.01659678546471 0.0129280223619846 0.0127533193570929 0.00192173305380853 0.000174703004891684 0.0220125786163522 0 0.0674353598881901 0.00873515024458421 0 0.00576519916142558 0.00489168413696716 0.00192173305380853 0.0386093640810622 0.00296995108315863 0 0.000174703004891684 0.00454227812718379 0.00401816911250874 0.0108315863032844 0.00803633822501747 0.00349406009783368 0.000174703004891684 0.000524109014675052 0.00139762403913347 0.00122292103424179 0.0288259958071279 0 0.000349406009783368 0.00262054507337526 0.00593990216631726 0.00296995108315863 0 0.00593990216631726 0.0010482180293501 0.003319357092942 0 0.000174703004891684 0 0.000174703004891684 0.000174703004891684 0.00122292103424179 0.00454227812718379 0.000698812019566737 0.000698812019566737 0 0.000174703004891684 0.0202655485674354 0.000349406009783368 0.00698812019566737 0.00209643605870021 0.000873515024458421 0.000349406009783368 0.00244584206848358 0 0 0 0.000349406009783368 0.000698812019566737 0 0.00908455625436758 0.0010482180293501 0.000873515024458421 0.00122292103424179 0 0 0 0 0 0.0010482180293501 0 0 0 0.00296995108315863 0 0 0 0.00139762403913347 0 0 0 0 0 0 0 0
"110D2F415" 0.206149545772187 0.0733752620545073 0.0169461914744934 0.0466457023060797 0.0269042627533194 0.0124039133473096 0.020440251572327 0.000349406009783368 0.0452480782669462 0.00244584206848358 0.00174703004891684 0.000698812019566737 0.00296995108315863 0.00349406009783368 0.00157232704402516 0 0.00244584206848358 0.000174703004891684 0 0.0136268343815514 0.00908455625436758 0 0.0043675751222921 0.013801537386443 0 0.0139762403913347 0.00174703004891684 0 0 0.000349406009783368 0 0.00471698113207547 0.00192173305380853 0.00262054507337526 0.0218378756114605 0.00349406009783368 0.0010482180293501 0.000524109014675052 0.0043675751222921 0.220824598183089 0 0.000349406009783368 0 0.00262054507337526 0.000873515024458421 0.00349406009783368 0 0.000174703004891684 0 0.0111809923130678 0 0.0908455625436757 0 0 0.000349406009783368 0.00122292103424179 0.00122292103424179 0 0.000174703004891684 0.00733752620545073 0 0.00227113906359189 0.000873515024458421 0.00122292103424179 0.00122292103424179 0.000524109014675052 0 0 0 0 0.00139762403913347 0 0.0010482180293501 0.0787910552061495 0.000698812019566737 0 0 0 0 0.00157232704402516 0.000524109014675052 0.000174703004891684 0 0 0.000349406009783368 0.00262054507337526 0 0 0 0 0 0 0 0 0.00244584206848358 0.00192173305380853 0 0.000174703004891684
"110D2F515" 0.268518518518518 0.0857791754018169 0.0789657582110412 0.030398322851153 0.0316212438853948 0.0214884696016771 0.102900069881202 0 0.0740740740740741 0.0125786163522013 0.00716282320055905 0 0.0192173305380853 0.00366876310272537 0.00192173305380853 0.000524109014675052 0 0.0230607966457023 0 0.0111809923130678 0.0158979734451433 0 0.00506638714185884 0.0566037735849057 0.00122292103424179 0.0146750524109015 0.0193920335429769 0.000524109014675052 0.000174703004891684 0 0.00174703004891684 0.00262054507337526 0.00524109014675052 0.0103074772886094 0.00122292103424179 0.00960866526904263 0.00262054507337526 0.000174703004891684 0.0200908455625437 0.00192173305380853 0.000174703004891684 0.000524109014675052 0.000524109014675052 0.00821104122990915 0.000698812019566737 0.0113556953179595 0 0.000524109014675052 0 0.00524109014675052 0 0.000174703004891684 0 0.000349406009783368 0.0010482180293501 0.00157232704402516 0 0 0.0010482180293501 0.00698812019566737 0 0.003319357092942 0.000349406009783368 0.000873515024458421 0 0.00349406009783368 0 0.000174703004891684 0 0 0.000524109014675052 0 0.000524109014675052 0.00227113906359189 0.000174703004891684 0 0 0 0.000174703004891684 0 0 0.000349406009783368 0 0 0 0.00489168413696716 0 0 0 0 0 0 0.000174703004891684 0.000698812019566737 0 0 0.000524109014675052 0.000873515024458421
"110D2F715" 0.304856743535989 0.0368623340321454 0.0359888190076869 0.0340670859538784 0.0894479385045423 0.0146750524109015 0.0590496156533892 0 0.0698812019566737 0.0101327742837177 0.0317959468902865 0.00559049615653389 0.0141509433962264 0.0136268343815514 0.000873515024458421 0 0 0.0136268343815514 0 0.0136268343815514 0.00401816911250874 0 0.00524109014675052 0.0192173305380853 0.0010482180293501 0.0248078266946191 0.0197414395527603 0 0.000174703004891684 0.00227113906359189 0.00139762403913347 0.00471698113207547 0.00262054507337526 0.00646401118099231 0.000349406009783368 0.00296995108315863 0.00139762403913347 0.00174703004891684 0.0290006988120196 0 0 0.0110062893081761 0.00174703004891684 0.0324947589098532 0.00174703004891684 0.00611460517120894 0.00296995108315863 0.00157232704402516 0 0.0010482180293501 0 0 0 0 0.00506638714185884 0.000524109014675052 0.000174703004891684 0 0.000873515024458421 0.0256813417190776 0 0.00628930817610063 0.00192173305380853 0.000873515024458421 0 0.00751222921034242 0 0.00279524807826695 0 0 0.000524109014675052 0 0.00209643605870021 0.00157232704402516 0.0010482180293501 0.000698812019566737 0 0.000174703004891684 0.000524109014675052 0.000524109014675052 0 0.000174703004891684 0 0.000873515024458421 0.000524109014675052 0.00227113906359189 0.0010482180293501 0 0 0 0.000174703004891684 0 0.00192173305380853 0 0 0 0 0
"110D2F815" 0.258735150244584 0.0457721872816212 0.0307477288609364 0.0202655485674354 0.0393081761006289 0.0113556953179595 0.0988819007686932 0.0010482180293501 0.0466457023060797 0.00471698113207547 0.023759608665269 0.00978336827393431 0.0120545073375262 0.00646401118099231 0.00244584206848358 0.000873515024458421 0.000174703004891684 0.0260307477288609 0 0.0221872816212439 0.00541579315164221 0 0.00209643605870021 0.0178197064989518 0.00314465408805031 0.0150244584206848 0.0101327742837177 0 0.00192173305380853 0.00821104122990915 0.00157232704402516 0.00890985324947589 0.0043675751222921 0.00471698113207547 0.000698812019566737 0.00349406009783368 0.00139762403913347 0.00192173305380853 0.0506638714185884 0 0.000873515024458421 0.00576519916142558 0.0193920335429769 0.00943396226415094 0.0010482180293501 0.013277428371768 0.00192173305380853 0.00139762403913347 0 0.00244584206848358 0 0.000174703004891684 0.000174703004891684 0.000524109014675052 0.0117051013277428 0.00174703004891684 0.000174703004891684 0.000873515024458421 0.000349406009783368 0.0447239692522711 0.000524109014675052 0.0419287211740042 0.00139762403913347 0.00279524807826695 0.000174703004891684 0.00838574423480084 0 0.0010482180293501 0 0 0.000174703004891684 0 0.0110062893081761 0.00139762403913347 0.00192173305380853 0.00122292103424179 0 0 0 0 0 0 0 0 0.000873515024458421 0.003319357092942 0.00174703004891684 0 0 0.000349406009783368 0 0.0010482180293501 0.00122292103424179 0.000349406009783368 0 0 0.000349406009783368 0
"110D2F915" 0.272536687631027 0.0323200559049616 0.0283018867924528 0.0284765897973445 0.0260307477288609 0.00803633822501747 0.0335429769392034 0.000524109014675052 0.0272536687631027 0.00786163522012579 0.0153738644304682 0.00908455625436757 0.0108315863032844 0.0103074772886094 0.00366876310272537 0.000524109014675052 0.000349406009783368 0.0361635220125786 0 0.0328441649196366 0.00506638714185884 0 0.00786163522012579 0.0101327742837177 0.000873515024458421 0.0249825296995108 0.00209643605870021 0 0.000349406009783368 0.0310971348707198 0.00349406009783368 0.0157232704402516 0.00314465408805031 0.00524109014675052 0.00192173305380853 0.00209643605870021 0.00174703004891684 0.00366876310272537 0.0501397624039133 0 0 0.0125786163522013 0.037037037037037 0.0120545073375262 0 0.0103074772886094 0.00192173305380853 0.00454227812718379 0 0.00227113906359189 0 0 0.000174703004891684 0.0010482180293501 0.00506638714185884 0.000524109014675052 0 0 0.000349406009783368 0.0810621942697414 0.000524109014675052 0.0300489168413697 0.00139762403913347 0.00192173305380853 0.000174703004891684 0.00821104122990915 0 0.000524109014675052 0 0 0.000174703004891684 0 0.0209643605870021 0.00139762403913347 0.000873515024458421 0.00139762403913347 0 0 0 0 0 0.000698812019566737 0 0.000174703004891684 0.00192173305380853 0.0010482180293501 0 0 0 0.00192173305380853 0 0.00227113906359189 0.000698812019566737 0.000174703004891684 0 0 0.000873515024458421 0
"110M2F115" 0.422431865828092 0.11932215234102 0.0174703004891684 0.00139762403913347 0.019916142557652 0.0188679245283019 0.0499650593990217 0.00349406009783368 0.0143256464011181 0.00646401118099231 0.0124039133473096 0.00296995108315863 0.0167714884696017 0.00314465408805031 0.0681341719077568 0.00559049615653389 0 0.0382599580712788 0.00122292103424179 0 0.00524109014675052 0 0.00786163522012579 0.0193920335429769 0.0125786163522013 0.00856044723969252 0.0127533193570929 0 0.000174703004891684 0.00576519916142558 0.003319357092942 0.00209643605870021 0.00401816911250874 0.00960866526904263 0.000524109014675052 0.00471698113207547 0.0178197064989518 0.00349406009783368 0.00401816911250874 0.00122292103424179 0.00192173305380853 0.00139762403913347 0.00296995108315863 0.00209643605870021 0.000698812019566737 0.00559049615653389 0 0.000873515024458421 0 0.0010482180293501 0 0 0.00157232704402516 0.00314465408805031 0.0043675751222921 0.000873515024458421 0.0010482180293501 0 0 0.00209643605870021 0.000698812019566737 0.00314465408805031 0.00157232704402516 0.000349406009783368 0.000873515024458421 0.00192173305380853 0 0 0.000698812019566737 0 0.00227113906359189 0.00157232704402516 0 0.000524109014675052 0 0 0.00139762403913347 0 0 0 0 0.00227113906359189 0.000349406009783368 0 0.000349406009783368 0.000873515024458421 0.000524109014675052 0.000698812019566737 0.00139762403913347 0 0 0 0 0.00349406009783368 0 0 0 0
"110M2F415" 0.251222921034242 0.0553808525506639 0.0499650593990217 0.0338923829489867 0.0260307477288609 0.010482180293501 0.0480433263452131 0 0.0510132774283718 0.00943396226415094 0.00925925925925926 0.000349406009783368 0.00821104122990915 0.00314465408805031 0.000698812019566737 0 0.000174703004891684 0.0400069881201957 0 0.00873515024458421 0.00611460517120894 0 0.00838574423480084 0.0225366876310273 0.00227113906359189 0.0179944095038435 0.0246331236897275 0 0 0.0010482180293501 0.000174703004891684 0.00349406009783368 0.00611460517120894 0.0106568832983927 0.0146750524109015 0.00681341719077568 0.0010482180293501 0.000349406009783368 0.00978336827393431 0.157232704402516 0 0.00122292103424179 0.00139762403913347 0.00366876310272537 0.000349406009783368 0.0076869322152341 0 0.000873515024458421 0 0.00454227812718379 0 0.0221872816212439 0 0 0.00139762403913347 0.000873515024458421 0.000873515024458421 0 0.000174703004891684 0.00943396226415094 0 0.000873515024458421 0.00122292103424179 0.000524109014675052 0 0.00646401118099231 0 0 0 0 0.000174703004891684 0 0.000873515024458421 0.0255066387141859 0 0 0 0 0 0.00157232704402516 0.000873515024458421 0 0 0.000524109014675052 0.000349406009783368 0.00454227812718379 0 0 0 0 0 0 0 0.000349406009783368 0.00122292103424179 0.000349406009783368 0 0.000524109014675052
"110M2F515" 0.225017470300489 0.0808874912648498 0.0466457023060797 0.0253319357092942 0.0426275331935709 0.013801537386443 0.0571278825995807 0.000174703004891684 0.043675751222921 0.0110062893081761 0.00890985324947589 0.000174703004891684 0.00838574423480084 0.00349406009783368 0.00209643605870021 0 0.00279524807826695 0.0202655485674354 0.000174703004891684 0.00506638714185884 0.0120545073375262 0 0.00698812019566737 0.0359888190076869 0.000524109014675052 0.0136268343815514 0.0354647099930119 0 0.000174703004891684 0.000174703004891684 0.00192173305380853 0.00174703004891684 0.00454227812718379 0.0188679245283019 0.00576519916142558 0.00733752620545073 0.00227113906359189 0 0.0120545073375262 0.166841369671558 0 0.00122292103424179 0.000524109014675052 0.003319357092942 0.000524109014675052 0.00733752620545073 0.000524109014675052 0.000873515024458421 0 0.003319357092942 0 0.0141509433962264 0 0 0.00192173305380853 0.00157232704402516 0.00139762403913347 0 0.000873515024458421 0.00698812019566736 0 0.00139762403913347 0.000524109014675052 0.000349406009783368 0 0.00296995108315863 0 0 0 0 0.000873515024458421 0 0.000174703004891684 0.0179944095038435 0.000174703004891684 0.000174703004891684 0 0 0 0.00157232704402516 0 0 0 0 0 0.00227113906359189 0.000174703004891684 0 0 0 0 0 0 0.000524109014675052 0.000873515024458421 0.000349406009783368 0 0.0010482180293501
"110M2F715" 0.31638714185884 0.029874213836478 0.0235849056603774 0.0211390635918938 0.0213137665967855 0.0113556953179595 0.0125786163522013 0.000873515024458421 0.0274283717679944 0.00174703004891684 0.00908455625436757 0 0.0176450034940601 0.00139762403913347 0.036512928022362 0.000524109014675052 0.000698812019566737 0.0193920335429769 0 0.003319357092942 0.00349406009783368 0 0.00227113906359189 0.163347309573725 0.0043675751222921 0.00593990216631726 0.0387840670859539 0.000349406009783368 0 0.00157232704402516 0.00506638714185884 0.006638714185884 0.000524109014675052 0.0988819007686932 0 0.00454227812718379 0.000873515024458421 0.00279524807826695 0.003319357092942 0 0 0.00139762403913347 0.00489168413696716 0.0188679245283019 0.000524109014675052 0.013801537386443 0.000873515024458421 0.00192173305380853 0 0.00209643605870021 0 0.000349406009783368 0.000349406009783368 0.00209643605870021 0.013801537386443 0.000349406009783368 0.000524109014675052 0 0 0.0193920335429769 0 0.0110062893081761 0.000873515024458421 0.000349406009783368 0 0.003319357092942 0 0.000698812019566737 0 0.000174703004891684 0.000698812019566737 0 0 0 0.000174703004891684 0.000174703004891684 0 0 0.000349406009783368 0 0 0.000174703004891684 0.000174703004891684 0.000698812019566737 0 0.0010482180293501 0 0 0.000524109014675052 0 0 0 0 0.000524109014675052 0 0 0.000174703004891684 0
