"Otu000004" "Otu000005" "Otu000007" "Otu000009" "Otu000010" "Otu000012" "Otu000016" "Otu000018" "Otu000019" "Otu000020" "Otu000022" "Otu000023" "Otu000025" "Otu000026" "Otu000038" "Otu000041" "Otu000042" "Otu000044" "Otu000046" "Otu000047" "Otu000048" "Otu000049" "Otu000058" "Otu000059" "Otu000060" "Otu000062" "Otu000065" "Otu000070" "Otu000075" "Otu000078" "Otu000082" "Otu000083" "Otu000084" "Otu000087" "Otu000094" "Otu000095" "Otu000096" "Otu000103" "Otu000104" "Otu000106" "Otu000108" "Otu000109" "Otu000119" "Otu000120" "Otu000123" "Otu000124" "Otu000131" "Otu000135" "Otu000136" "Otu000152" "Otu000161" "Otu000162" "Otu000163" "Otu000168" "Otu000176" "Otu000179" "Otu000184" "Otu000192" "Otu000194" "Otu000195" "Otu000204" "Otu000205" "Otu000207" "Otu000210" "Otu000216" "Otu000217" "Otu000223" "Otu000227" "Otu000240" "Otu000244" "Otu000246" "Otu000247" "Otu000248" "Otu000255" "Otu000261" "Otu000262" "Otu000267" "Otu000294" "Otu000298" "Otu000302" "Otu000312" "Otu000320" "Otu000322" "Otu000323" "Otu000328" "Otu000330" "Otu000338" "Otu000339" "Otu000340" "Otu000343" "Otu000356" "Otu000358" "Otu000377" "Otu000379" "Otu000385" "Otu000427" "Otu000434" "Otu000438" "Otu000459" "Otu000478" "Otu000506" "Otu000509" "Otu000514" "Otu000515" "Otu000563" "Otu000623" "Otu000637" "Otu000644" "Otu000660" "Otu000669" "Otu000682" "Otu000715" "Otu000716" "Otu000745" "Otu000774" "Otu000779" "Otu000810" "Otu000821" "Otu000833" "Otu000837" "Otu000860" "Otu000923" "Otu000931" "Otu001021" "Otu001059" "Otu001142" "Otu001158" "Otu001293" "Otu001298" "Otu001319" "Otu001345" "Otu001368" "Otu001451" "Otu001487" "Otu001520" "Otu001650" "Otu001697" "Otu001799" "Otu002189" "Otu002481"
"Fa13.BD.MLB.DN.1" 810674.587592964 9426.44869294144 433616.639875306 256399.404448007 183815.749512358 47132.2434647072 197012.777682476 0 25451.4114709419 149880.534217769 172504.011080828 4713.22434647072 163077.562387887 49017.5332032955 153651.113694945 12254.3833008239 36763.1499024716 2827.93460788243 78239.5241514139 87665.9728443554 14139.6730394122 53730.7575497662 21680.8319937653 49960.1780725896 26394.056340236 1885.28973858829 942.644869294144 1885.28973858829 7541.15895435315 87665.9728443554 58443.9818962369 18852.8973858829 51845.4678111779 1885.28973858829 942.644869294144 59386.6267655311 36763.1499024716 5655.86921576486 21680.8319937653 27336.7012095302 34877.8601638833 38648.4396410599 52788.1126804721 7541.15895435315 57501.3370269428 31107.2806867067 0 7541.15895435315 42419.0191182365 44304.3088568248 6598.51408505901 9426.44869294144 37705.7947717658 4713.22434647072 2827.93460788243 10369.0935622356 5655.86921576486 1885.28973858829 0 15082.3179087063 16024.9627780004 942.644869294144 942.644869294144 942.644869294144 6598.51408505901 7541.15895435315 1885.28973858829 1885.28973858829 0 27336.7012095302 942.644869294144 22623.4768630595 0 0 6598.51408505901 5655.86921576486 942.644869294144 7541.15895435315 23566.1217323536 3770.57947717658 70698.3651970608 942.644869294144 1885.28973858829 16967.6076472946 0 37705.7947717658 0 6598.51408505901 5655.86921576486 2827.93460788243 942.644869294144 2827.93460788243 1885.28973858829 2827.93460788243 20738.1871244712 942.644869294144 0 942.644869294144 0 2827.93460788243 3770.57947717658 2827.93460788243 0 1885.28973858829 0 12254.3833008239 2827.93460788243 5655.86921576486 2827.93460788243 7541.15895435315 0 4713.22434647072 7541.15895435315 0 3770.57947717658 942.644869294144 0 1885.28973858829 0 0 2827.93460788243 11311.7384315297 3770.57947717658 0 942.644869294144 0 2827.93460788243 0 0 942.644869294144 0 0 942.644869294144 942.644869294144 942.644869294144 2827.93460788243 0 0 0 0
"Fa13.BD.MLB.SN.1" 1095148.92840615 8927.8445250501 433496.450827433 246011.715801381 198396.545001113 28767.4990251614 222204.130401247 991.982725005567 13887.7581500779 135901.633325763 307514.644751726 8927.8445250501 160701.201450902 82334.5661754621 137885.598775774 8927.8445250501 42655.2571752394 0 110110.082475618 40671.2917252282 15871.7236000891 55551.0326003117 23807.5854001336 46623.1880752616 26783.5335751503 1983.96545001113 991.982725005567 1983.96545001113 2975.9481750167 79358.6180004453 62494.9116753507 2975.9481750167 21823.6199501225 2975.9481750167 991.982725005567 64478.8771253618 17855.6890501002 3967.93090002227 9919.82725005567 19839.6545001113 40671.2917252282 39679.3090002227 37695.3435502115 1983.96545001113 73406.7216504119 25791.5508501447 0 3967.93090002227 29759.481750167 29759.481750167 7935.86180004453 16863.7063250946 22815.602675128 1983.96545001113 2975.9481750167 5951.8963500334 1983.96545001113 991.982725005567 0 3967.93090002227 6943.87907503897 0 0 0 10911.8099750612 5951.8963500334 991.982725005567 1983.96545001113 991.982725005567 3967.93090002227 1983.96545001113 24799.5681251392 0 1983.96545001113 10911.8099750612 2975.9481750167 0 6943.87907503897 26783.5335751503 991.982725005567 75390.6871004231 0 1983.96545001113 29759.481750167 991.982725005567 40671.2917252282 991.982725005567 9919.82725005566 7935.86180004453 2975.9481750167 2975.9481750167 3967.93090002227 991.982725005567 1983.96545001113 8927.8445250501 991.982725005567 0 0 0 1983.96545001113 4959.91362502783 991.982725005567 0 991.982725005567 0 1983.96545001113 4959.91362502783 3967.93090002227 0 6943.87907503897 1983.96545001113 8927.8445250501 991.982725005567 0 991.982725005567 0 0 991.982725005567 0 0 991.982725005567 0 3967.93090002227 0 0 0 991.982725005567 0 991.982725005567 0 991.982725005567 0 0 5951.8963500334 1983.96545001113 2975.9481750167 0 0 991.982725005567 0
"MBRE1F714" 2047361.40685816 2193601.50734803 373474.718174126 636706.89905589 377974.413573814 314978.677978179 371224.870474282 0 215985.379185037 179987.815987531 51746.4970964151 13499.0861990648 173238.272887998 139490.557390336 119241.928091739 11249.2384992207 215985.379185037 8999.39079937653 98993.2987931418 112492.384992207 164238.882088622 65245.5832954799 2249.84769984413 33747.715497662 150739.795889557 2249.84769984413 4499.69539968827 0 53996.3447962592 20248.6292985972 139490.557390336 60745.8878957916 159739.186688933 0 8999.39079937653 0 42747.1062970385 24748.3246982855 60745.8878957916 60745.8878957916 69745.2786951681 11249.2384992207 83244.3648942329 13499.0861990648 62995.7355956357 89993.9079937653 0 17998.7815987531 4499.69539968827 101243.146492986 17998.7815987531 8999.39079937653 42747.1062970385 2249.84769984413 29248.0200979737 62995.7355956357 4499.69539968827 0 0 0 0 0 0 0 2249.84769984413 4499.69539968827 2249.84769984413 6749.5430995324 2249.84769984413 0 317228.525678023 47246.8016967268 8999.39079937653 2249.84769984413 13499.0861990648 0 0 0 24748.3246982855 6749.5430995324 13499.0861990648 0 2249.84769984413 11249.2384992207 2249.84769984413 51746.4970964151 4499.69539968827 2249.84769984413 31497.8677978179 65245.5832954799 0 2249.84769984413 0 0 8999.39079937653 4499.69539968827 0 0 0 0 2249.84769984413 4499.69539968827 0 6749.5430995324 0 8999.39079937653 15748.9338989089 8999.39079937653 4499.69539968827 6749.5430995324 20248.6292985972 2249.84769984413 2249.84769984413 0 4499.69539968827 0 0 8999.39079937653 0 0 0 0 0 0 2249.84769984413 0 13499.0861990648 2249.84769984413 8999.39079937653 2249.84769984413 0 0 2249.84769984413 0 2249.84769984413 0 0 0 0 0
"MBRE1F914" 1484301.18800379 70604.5970509909 431650.831970831 410790.382842129 383511.333981519 105906.895576486 131581.294504119 0 422022.932372968 231069.590348697 67395.2971850367 6418.59973190826 298464.887533734 65790.6472520597 503860.078954799 49744.147922289 43325.5481903808 3209.29986595413 30488.3487265642 235883.540147629 19255.7991957248 97883.645911601 8023.24966488533 24069.748994656 70604.5970509909 1604.64993297707 6418.59973190826 0 80232.4966488533 41720.8982574037 189348.692091294 40116.2483244266 320929.986595413 1604.64993297707 1604.64993297707 3209.29986595413 117139.445107326 3209.29986595413 43325.5481903808 17651.1492627477 166883.593029615 54558.0977212202 77023.1967828991 1604.64993297707 40116.2483244266 96278.9959786239 3209.29986595413 11232.5495308395 4813.9497989312 88255.7463137386 9627.89959786239 24069.748994656 38511.5983914496 6418.59973190826 0 19255.7991957248 0 0 0 1604.64993297707 16046.4993297707 19255.7991957248 0 1604.64993297707 6418.59973190826 24069.748994656 1604.64993297707 22465.0990616789 0 1604.64993297707 3209.29986595413 19255.7991957248 1604.64993297707 0 32092.9986595413 6418.59973190826 1604.64993297707 4813.9497989312 12837.1994638165 1604.64993297707 16046.4993297707 0 0 3209.29986595413 4813.9497989312 150837.093699844 0 0 25674.398927633 9627.89959786239 0 4813.9497989312 8023.24966488533 1604.64993297707 4813.9497989312 3209.29986595413 0 0 0 4813.9497989312 0 6418.59973190826 0 16046.4993297707 0 4813.9497989312 0 8023.24966488533 8023.24966488533 0 0 3209.29986595413 0 0 3209.29986595413 0 0 0 0 0 3209.29986595413 6418.59973190826 3209.29986595413 0 3209.29986595413 0 1604.64993297707 0 9627.89959786239 1604.64993297707 0 0 3209.29986595413 1604.64993297707 0 0 0 1604.64993297707 0 0
"MBRE1F715" 3742671.0008684 171848.911298152 181763.271565353 223073.106012024 351959.789485638 236292.253034959 97491.2092941438 3304.78675573369 180110.878187486 84272.0622712091 51224.1947138722 62790.9483589401 107405.569561345 183415.66494322 140453.437118682 41309.8344466711 44614.6212024048 3304.78675573369 109057.962939212 13219.1470229348 34700.2609352037 46267.0145802717 4957.18013360053 38005.0476909374 66095.7351146738 0 0 19828.7205344021 112362.749694945 64443.341736807 61138.5549810733 11566.7536450679 102448.389427744 0 11566.7536450679 1652.39337786684 24785.9006680027 21481.113912269 275949.694103763 13219.1470229348 49571.8013360053 9914.36026720107 16523.9337786684 4957.18013360053 23133.5072901358 54528.9814696059 1652.39337786684 4957.18013360053 0 29743.0808016032 1652.39337786684 1652.39337786684 16523.9337786684 1652.39337786684 3304.78675573369 42962.227824538 0 0 0 0 11566.7536450679 1652.39337786684 0 0 8261.96688933422 9914.36026720107 1652.39337786684 6609.57351146738 0 0 0 1652.39337786684 0 1652.39337786684 0 29743.0808016032 3304.78675573369 0 8261.96688933422 0 14871.5404008016 0 13219.1470229348 6609.57351146738 4957.18013360053 8261.96688933422 0 6609.57351146738 0 14871.5404008016 1652.39337786684 0 6609.57351146738 0 1652.39337786684 1652.39337786684 0 0 0 0 0 3304.78675573369 0 3304.78675573369 0 0 0 3304.78675573369 3304.78675573369 1652.39337786684 4957.18013360053 0 0 0 1652.39337786684 0 0 6609.57351146738 1652.39337786684 0 3304.78675573369 0 1652.39337786684 0 0 0 1652.39337786684 0 0 1652.39337786684 0 0 4957.18013360053 0 0 0 0 8261.96688933422 1652.39337786684 0
"MBRE2F515" 1674515.45558005 1926.94528835449 259174.141283678 225452.598737475 252429.832774438 99237.6823502561 231233.434602538 963.472644177243 242795.106332665 58771.8312948119 6744.3085092407 49137.1048530394 132959.22489646 23123.3434602538 77077.8115341795 10598.1990859497 963.472644177243 0 194621.474123803 40465.8510554442 0 3853.89057670897 2890.41793253173 34685.0151903808 60698.7765831663 0 0 1926.94528835449 13488.6170184814 0 0 36611.9604787352 84785.5926875974 0 9634.72644177243 963.472644177243 23123.3434602538 28904.1793253173 110799.354080383 22159.8708160766 2890.41793253173 5780.83586506346 0 17342.5075951904 17342.5075951904 26977.2340369628 0 5780.83586506346 7707.78115341795 24086.8161044311 0 0 12525.1443743042 963.472644177243 3853.89057670897 0 0 0 0 3853.89057670897 963.472644177243 0 0 2890.41793253173 26977.2340369628 963.472644177243 0 4817.36322088622 1926.94528835449 0 0 12525.1443743042 963.472644177243 21196.3981718993 3853.89057670897 963.472644177243 5780.83586506346 0 3853.89057670897 0 3853.89057670897 0 0 0 0 8671.25379759519 0 963.472644177243 0 3853.89057670897 0 0 0 6744.3085092407 0 0 0 0 0 0 0 0 963.472644177243 963.472644177243 4817.36322088622 1926.94528835449 1926.94528835449 22159.8708160766 0 15415.5623068359 0 0 5780.83586506346 963.472644177243 0 0 963.472644177243 0 0 0 0 0 0 2890.41793253173 0 0 0 0 0 1926.94528835449 963.472644177243 0 0 0 0 0 0 6744.3085092407 0 963.472644177243
"MBRE2F915" 1943484.93059029 54500.4186929414 135161.038358495 158051.21420953 224541.725014919 203831.565911601 105730.812264306 2180.01674771766 77390.5945439768 75210.5777962592 49050.3768236473 22890.1758510354 79570.6112916945 93740.7201518593 56680.4354406591 128620.988115342 56680.4354406591 1090.00837385883 179851.381686707 7630.0586170118 9810.07536472946 273592.101838566 11990.0921124471 8720.06699087063 45780.3517020708 4360.03349543531 7630.0586170118 2180.01674771766 41420.3182066355 23980.1842248942 73030.5610485415 89380.6866564239 20710.1591033177 0 11990.0921124471 5450.04186929414 34880.2679634825 2180.01674771766 78480.6029178357 8720.06699087063 8720.06699087063 25070.1925987531 10900.0837385883 7630.0586170118 18530.1423556001 40330.3098327767 2180.01674771766 11990.0921124471 11990.0921124471 86110.6615348475 13080.1004863059 2180.01674771766 28340.2177203295 3270.02512157649 6540.05024315297 6540.05024315297 1090.00837385883 0 0 6540.05024315297 4360.03349543531 0 1090.00837385883 0 0 4360.03349543531 0 1090.00837385883 0 2180.01674771766 4360.03349543531 5450.04186929414 3270.02512157649 1090.00837385883 2180.01674771766 6540.05024315297 4360.03349543531 1090.00837385883 9810.07536472946 4360.03349543531 5450.04186929414 0 0 18530.1423556001 2180.01674771766 13080.1004863059 0 4360.03349543531 7630.0586170118 11990.0921124471 0 3270.02512157649 0 0 10900.0837385883 3270.02512157649 0 1090.00837385883 0 5450.04186929414 1090.00837385883 8720.06699087063 0 8720.06699087063 2180.01674771766 1090.00837385883 2180.01674771766 2180.01674771766 0 0 0 0 1090.00837385883 0 6540.05024315297 0 1090.00837385883 0 0 0 0 1090.00837385883 6540.05024315297 0 0 0 0 2180.01674771766 1090.00837385883 0 0 1090.00837385883 0 0 4360.03349543531 0 0 0 0 0
"MBRH1F714" 497957.364863282 3586.72771810287 165587.262985749 81299.1616103318 265417.851139613 148849.200301269 57387.643489646 597.787953017145 72930.1302680917 54398.7037245602 11955.7590603429 10162.3952012915 17933.6385905144 17335.8506374972 73527.9182211089 597.787953017145 25107.0940267201 597.787953017145 44236.3085232688 77114.6459392118 5977.87953017145 63963.3109728346 279764.762012024 16738.0626844801 4184.51567112002 1195.57590603429 1793.36385905144 0 22118.1542616344 3586.72771810287 3586.72771810287 43638.5205702516 25704.8819797373 0 8966.81929525718 152435.928019372 4782.30362413716 6575.6674831886 10760.1831543086 8966.81929525718 25704.8819797373 3586.72771810287 2391.15181206858 4782.30362413716 9564.60724827433 22118.1542616344 5977.87953017145 4184.51567112002 10162.3952012915 19129.2144965487 13151.3349663772 5380.09157715431 25107.0940267201 1195.57590603429 2391.15181206858 13151.3349663772 0 0 1195.57590603429 2391.15181206858 597.787953017145 0 7771.24338922289 597.787953017145 11955.7590603429 1793.36385905144 1195.57590603429 2988.93976508573 4184.51567112002 10162.3952012915 1793.36385905144 23313.7301676687 0 597.787953017145 8369.03134224003 2391.15181206858 8369.03134224004 0 8369.03134224004 6575.6674831886 10162.3952012915 0 1195.57590603429 3586.72771810287 3586.72771810287 20324.7904025829 1195.57590603429 1793.36385905144 2391.15181206858 3586.72771810287 0 7173.45543620575 1195.57590603429 7771.24338922289 597.787953017145 0 597.787953017145 1195.57590603429 0 0 597.787953017145 14346.9108724115 0 0 1195.57590603429 597.787953017145 7771.24338922289 0 0 2988.93976508573 0 1195.57590603429 10162.3952012915 0 4782.30362413716 0 0 597.787953017145 597.787953017145 1793.36385905144 0 0 0 597.787953017145 0 0 597.787953017145 2391.15181206858 1195.57590603429 1195.57590603429 0 0 597.787953017145 597.787953017145 0 0 0 597.787953017145 0 0
"MBRH1F914" 790834.702274326 44107.2192070808 196547.959273658 103690.655679804 239107.556754175 312619.588765976 54940.5712930305 2321.43258984636 142381.19884391 95178.7361837007 18571.4607187709 41785.7866172345 63452.4907891338 34821.4888476954 87440.6275508795 11607.1629492318 10059.5412226676 2321.43258984636 44107.2192070808 71190.599421955 6190.48690625696 138512.144527499 61904.8690625696 20892.8933086172 17023.8389922066 0 773.81086328212 4642.86517969272 26309.5693515921 7738.1086328212 75833.4646016477 73512.0320118014 41785.7866172345 4642.86517969272 9285.73035938544 16250.0281289245 10059.5412226676 3869.0543164106 26309.5693515921 5416.67604297484 15476.2172656424 13928.5955390782 10059.5412226676 11607.1629492318 13928.5955390782 45654.8409336451 2321.43258984636 6964.29776953908 13928.5955390782 37142.9214375418 17023.8389922066 3869.0543164106 16250.0281289245 1547.62172656424 773.81086328212 3095.24345312848 0 773.81086328212 1547.62172656424 4642.86517969272 13154.784675796 6190.48690625696 6190.48690625696 1547.62172656424 3095.24345312848 6190.48690625696 773.81086328212 6964.29776953908 15476.2172656424 30952.4345312848 2321.43258984636 8511.91949610332 773.81086328212 0 17023.8389922066 5416.67604297484 27083.3802148742 0 4642.86517969272 11607.1629492318 12380.9738125139 773.81086328212 773.81086328212 3095.24345312848 2321.43258984636 32500.056257849 0 3095.24345312848 4642.86517969272 2321.43258984636 3095.24345312848 11607.1629492318 3869.0543164106 11607.1629492318 0 2321.43258984636 0 0 1547.62172656424 773.81086328212 0 4642.86517969272 0 2321.43258984636 0 1547.62172656424 1547.62172656424 10059.5412226676 0 2321.43258984636 0 0 21666.7041718994 2321.43258984636 773.81086328212 0 0 773.81086328212 2321.43258984636 0 773.81086328212 2321.43258984636 3095.24345312848 0 773.81086328212 0 0 773.81086328212 0 0 773.81086328212 6190.48690625696 3095.24345312848 0 0 1547.62172656424 0 2321.43258984636 0 0
"MBRH1F715" 752362.393356268 6171.12010955244 87938.4615611223 75596.2213420174 57597.1210224894 182562.303240926 19541.8803469161 514.26000912937 63253.9811229125 28284.3005021153 6171.12010955244 19541.8803469161 34455.4206116678 33426.900593409 64796.7611503006 4628.34008216433 2057.04003651748 514.26000912937 94109.5816706747 1542.78002738811 3599.82006390559 178448.223167891 145535.582583612 17999.1003195279 17999.1003195279 1028.52001825874 1542.78002738811 0 58111.3810316188 5656.86010042307 6171.12010955244 17999.1003195279 30341.3405386328 2057.04003651748 8742.42015519929 52454.5209311957 3599.82006390559 2057.04003651748 20056.1403560454 9770.94017345803 5142.6000912937 514.26000912937 1028.52001825874 5656.86010042307 3599.82006390559 10799.4601917168 3599.82006390559 4114.08007303496 6171.12010955244 12856.5002282342 1542.78002738811 2571.30004564685 14913.5402647517 0 3085.56005477622 0 0 0 1542.78002738811 514.26000912937 1028.52001825874 0 514.26000912937 1028.52001825874 3085.56005477622 5142.6000912937 1542.78002738811 514.26000912937 1028.52001825874 3085.56005477622 0 4628.34008216433 0 1028.52001825874 3085.56005477622 3599.82006390559 9256.68016432866 0 3085.56005477622 2571.30004564685 1028.52001825874 0 4114.08007303496 2057.04003651748 2057.04003651748 17999.1003195279 0 3085.56005477622 0 514.26000912937 514.26000912937 4114.08007303496 0 1028.52001825874 514.26000912937 1028.52001825874 0 0 0 0 514.26000912937 1542.78002738811 0 5142.6000912937 0 0 0 3085.56005477622 0 0 0 0 1028.52001825874 1028.52001825874 0 514.26000912937 0 0 8742.42015519929 514.26000912937 514.26000912937 0 0 0 0 0 0 1542.78002738811 1028.52001825874 514.26000912937 0 0 0 0 0 0 0 5656.86010042307 0 0
