"Otu000004" "Otu000005" "Otu000007" "Otu000009" "Otu000010" "Otu000012" "Otu000016" "Otu000017" "Otu000018" "Otu000019" "Otu000020" "Otu000022" "Otu000023" "Otu000025" "Otu000026" "Otu000041" "Otu000042" "Otu000044" "Otu000046" "Otu000047" "Otu000048" "Otu000049" "Otu000058" "Otu000059" "Otu000060" "Otu000062" "Otu000065" "Otu000070" "Otu000075" "Otu000078" "Otu000082" "Otu000083" "Otu000084" "Otu000087" "Otu000094" "Otu000095" "Otu000096" "Otu000103" "Otu000104" "Otu000106" "Otu000108" "Otu000109" "Otu000119" "Otu000120" "Otu000123" "Otu000124" "Otu000131" "Otu000135" "Otu000136" "Otu000152" "Otu000161" "Otu000162" "Otu000163" "Otu000168" "Otu000176" "Otu000179" "Otu000184" "Otu000192" "Otu000194" "Otu000195" "Otu000204" "Otu000205" "Otu000207" "Otu000210" "Otu000216" "Otu000217" "Otu000227" "Otu000240" "Otu000244" "Otu000246" "Otu000247" "Otu000248" "Otu000255" "Otu000261" "Otu000262" "Otu000267" "Otu000294" "Otu000298" "Otu000302" "Otu000312" "Otu000320" "Otu000322" "Otu000323" "Otu000328" "Otu000330" "Otu000338" "Otu000340" "Otu000343" "Otu000356" "Otu000358" "Otu000377" "Otu000379" "Otu000385" "Otu000427" "Otu000434" "Otu000438" "Otu000459" "Otu000478" "Otu000506" "Otu000509" "Otu000514" "Otu000515" "Otu000563" "Otu000623" "Otu000637" "Otu000644" "Otu000660" "Otu000669" "Otu000682" "Otu000715" "Otu000716" "Otu000745" "Otu000774" "Otu000779" "Otu000810" "Otu000821" "Otu000832" "Otu000833" "Otu000837" "Otu000860" "Otu000865" "Otu000923" "Otu000931" "Otu001021" "Otu001059" "Otu001142" "Otu001158" "Otu001166" "Otu001293" "Otu001298" "Otu001319" "Otu001345" "Otu001368" "Otu001451" "Otu001487" "Otu001520" "Otu001697" "Otu001846" "Otu002189" "Otu002481"
"Fa13.BD.MLB.DN.1" 0.191494099309731 0.00222667557336896 0.102427076374972 0.0605655755956357 0.0434201736806947 0.0111333778668448 0.0465375194834113 0.0362948118459141 0 0.00601202404809619 0.0354041416165665 0.040748162992652 0.00111333778668448 0.038521487419283 0.0115787129815186 0.00289467824537965 0.00868403473613895 0.000668002672010688 0.0184814072589624 0.0207080828323313 0.00334001336005344 0.0126920507682031 0.00512135381874861 0.0118013805388555 0.00623469160543309 0.000445335114673792 0.000222667557336896 0.000445335114673792 0.00178134045869517 0.0207080828323313 0.0138053885548876 0.00445335114673792 0.0122467156535293 0.000445335114673792 0.000222667557336896 0.0140280561122244 0.00868403473613895 0.00133600534402138 0.00512135381874861 0.00645735916276999 0.00823869962146515 0.00912936985081274 0.0124693832108662 0.00178134045869517 0.0135827209975507 0.00734802939211757 0 0.00178134045869517 0.0100200400801603 0.0104653751948341 0.00155867290135827 0.00222667557336896 0.00890670229347584 0.00111333778668448 0.000668002672010688 0.00244934313070586 0.00133600534402138 0.000445335114673792 0 0.00356268091739034 0.00378534847472723 0.000222667557336896 0.000222667557336896 0.000222667557336896 0.00155867290135827 0.00178134045869517 0.000445335114673792 0 0.00645735916276998 0.000222667557336896 0.0053440213760855 0 0 0.00155867290135827 0.00133600534402138 0.000222667557336896 0.00178134045869517 0.0055666889334224 0.000890670229347584 0.0167000668002672 0.000222667557336896 0.000445335114673792 0.00400801603206413 0 0.00890670229347584 0 0.00133600534402138 0.000668002672010688 0.000222667557336896 0.000668002672010688 0.000445335114673792 0.000668002672010688 0.00489868626141171 0.000222667557336896 0 0.000222667557336896 0 0.000668002672010688 0.000890670229347584 0.000668002672010688 0 0.000445335114673792 0 0.00289467824537965 0.000668002672010688 0.00133600534402138 0.000668002672010688 0.00178134045869517 0 0.00111333778668448 0.00178134045869517 0 0.000890670229347584 0.000222667557336896 0 0.000445335114673792 0.00155867290135827 0 0 0.000668002672010688 0.000445335114673792 0.00267201068804275 0.000890670229347584 0 0.000222667557336896 0 0.000668002672010688 0.000668002672010688 0 0 0.000222667557336896 0 0 0.000222667557336896 0.000222667557336896 0.000222667557336896 0 0 0 0
"Fa13.BD.MLB.SN.1" 0.245824983299933 0.00200400801603206 0.0973057225562236 0.0552215542195502 0.0445335114673792 0.00645735916276998 0.0498775328434647 0.0309507904698285 0.000222667557336896 0.00311734580271654 0.0305054553551548 0.0690269427744378 0.00200400801603206 0.0360721442885772 0.0184814072589624 0.00200400801603206 0.00957470496548653 0 0.0247160988643955 0.00912936985081274 0.00356268091739034 0.0124693832108662 0.0053440213760855 0.0104653751948341 0.00601202404809619 0.000445335114673792 0.000222667557336896 0.000445335114673792 0.000668002672010688 0.0178134045869517 0.0140280561122244 0.000668002672010688 0.00489868626141171 0.000668002672010688 0.000222667557336896 0.0144733912268982 0.00400801603206413 0.000890670229347584 0.00222667557336896 0.00445335114673792 0.00912936985081274 0.00890670229347584 0.00846136717880205 0.000445335114673792 0.0164773992429303 0.0057893564907593 0 0.000890670229347584 0.00668002672010688 0.00668002672010688 0.00178134045869517 0.00378534847472723 0.00512135381874861 0.000445335114673792 0.000668002672010688 0.00133600534402138 0.000445335114673792 0.000222667557336896 0 0.000890670229347584 0.00155867290135827 0 0 0 0.00244934313070586 0.00133600534402138 0.000445335114673792 0.000222667557336896 0.000890670229347584 0.000445335114673792 0.0055666889334224 0 0.000445335114673792 0.00244934313070586 0.000668002672010688 0 0.00155867290135827 0.00601202404809619 0.000222667557336896 0.0169227343576041 0 0.000445335114673792 0.00668002672010688 0.000222667557336896 0.00912936985081274 0.000222667557336896 0.00178134045869517 0.000668002672010688 0.000668002672010688 0.000890670229347584 0.000222667557336896 0.000445335114673792 0.00200400801603206 0.000222667557336896 0 0 0 0.000445335114673792 0.00111333778668448 0.000222667557336896 0 0.000222667557336896 0 0.000445335114673792 0.00111333778668448 0.000890670229347584 0 0.00155867290135827 0.000445335114673792 0.00200400801603206 0.000222667557336896 0 0.000222667557336896 0 0 0.000222667557336896 0.00222667557336896 0 0 0.000222667557336896 0.000222667557336896 0 0.000890670229347584 0 0 0 0.000222667557336896 0.000668002672010688 0 0.000222667557336896 0 0.000222667557336896 0 0 0.00133600534402138 0.000445335114673792 0 0 0.000222667557336896 0
"MBRE1F714" 0.202627477176575 0.217100868403474 0.0369628145179247 0.0630149187263416 0.0374081496325985 0.0311734580271654 0.0367401469605878 0.0118013805388555 0 0.021376085504342 0.0178134045869517 0.00512135381874861 0.00133600534402138 0.017145401914941 0.0138053885548876 0.00111333778668448 0.021376085504342 0.000890670229347584 0.00979737252282342 0.0111333778668448 0.0162547316855934 0.00645735916276998 0.000222667557336896 0.00334001336005344 0.014918726341572 0.000222667557336896 0.000445335114673792 0 0.0053440213760855 0.00200400801603206 0.0138053885548876 0.00601202404809619 0.0158093965709196 0 0.000890670229347584 0 0.00423068358940102 0.00244934313070586 0.00601202404809619 0.00601202404809619 0.00690269427744378 0.00111333778668448 0.00823869962146515 0.00133600534402138 0.00623469160543309 0.00890670229347584 0 0.00178134045869517 0.000445335114673792 0.0100200400801603 0.00178134045869517 0.000890670229347584 0.00423068358940102 0.000222667557336896 0.00289467824537965 0.00623469160543309 0.000445335114673792 0 0 0 0 0 0 0 0.000222667557336896 0.000445335114673792 0.000668002672010688 0.000222667557336896 0 0.0313961255845023 0.00467601870407482 0.000890670229347584 0.000222667557336896 0.00133600534402138 0 0 0 0.00244934313070586 0.000668002672010688 0.00133600534402138 0 0.000222667557336896 0.00111333778668448 0.000222667557336896 0.00512135381874861 0.000445335114673792 0.00311734580271654 0.00645735916276998 0 0.000222667557336896 0 0 0.000890670229347584 0.000445335114673792 0 0 0 0 0.000222667557336896 0.000445335114673792 0 0.000668002672010688 0 0.000890670229347584 0.00155867290135827 0.000890670229347584 0.000445335114673792 0.000668002672010688 0.00200400801603206 0.000222667557336896 0.000222667557336896 0 0.000445335114673792 0 0 0.000890670229347584 0.000222667557336896 0 0 0 0.000222667557336896 0 0 0 0.000222667557336896 0 0.00133600534402138 0 0.000222667557336896 0.000890670229347584 0.000222667557336896 0 0 0.000222667557336896 0 0.000222667557336896 0 0 0 0
"MBRE1F914" 0.205967490536629 0.00979737252282343 0.059897572923625 0.0570028946782454 0.0532175462035181 0.0146960587842351 0.0182587397016255 0.0699176130037854 0 0.0585615675796037 0.032064128256513 0.00935203740814963 0.000890670229347584 0.0414161656646627 0.00912936985081274 0.00690269427744378 0.00601202404809619 0.000445335114673792 0.00423068358940102 0.0327321309285237 0.00267201068804275 0.0135827209975507 0.00111333778668448 0.00334001336005344 0.00979737252282343 0.000222667557336896 0.000890670229347584 0 0.0111333778668448 0.0057893564907593 0.0262747717657537 0.0055666889334224 0.0445335114673792 0.000222667557336896 0.000222667557336896 0.000445335114673792 0.0162547316855934 0.000445335114673792 0.00601202404809619 0.00244934313070586 0.0231574259630372 0.00757069694945446 0.010688042752171 0.000222667557336896 0.0055666889334224 0.0133600534402138 0.000445335114673792 0.00155867290135827 0.000668002672010688 0.0122467156535293 0.00133600534402138 0.00334001336005344 0.0053440213760855 0.000890670229347584 0 0.00267201068804275 0 0 0 0.000222667557336896 0.00222667557336896 0.00267201068804275 0 0.000222667557336896 0.000890670229347584 0.00334001336005344 0.00311734580271654 0 0.000222667557336896 0.000445335114673792 0.00267201068804275 0.000222667557336896 0 0.00445335114673792 0.000890670229347584 0.000222667557336896 0.000668002672010688 0.00178134045869517 0.000222667557336896 0.00222667557336896 0 0 0.000445335114673792 0.000668002672010688 0.0209307503896682 0 0.00356268091739034 0.00133600534402138 0 0.000668002672010688 0.00111333778668448 0.000222667557336896 0.000668002672010688 0.000445335114673792 0 0 0 0.000668002672010688 0 0.000890670229347584 0 0.00222667557336896 0 0.000668002672010688 0 0.00111333778668448 0.00111333778668448 0 0 0.000445335114673792 0 0 0.000445335114673792 0 0 0 0 0 0 0.000445335114673792 0.000222667557336896 0.000890670229347584 0.000445335114673792 0 0.000445335114673792 0 0.000222667557336896 0 0 0.00133600534402138 0.000222667557336896 0 0 0.000445335114673792 0.000222667557336896 0 0 0.000222667557336896 0 0
"MBRE1F715" 0.504342017368069 0.0231574259630372 0.0244934313070586 0.030060120240481 0.0474281897127589 0.0318414606991761 0.0131373858828769 0.0189267423736362 0.000445335114673792 0.0242707637497217 0.0113560454241817 0.00690269427744378 0.00846136717880205 0.0144733912268982 0.0247160988643955 0.0055666889334224 0.00601202404809619 0.000445335114673792 0.0146960587842351 0.00178134045869517 0.00467601870407482 0.00623469160543309 0.000668002672010688 0.00512135381874861 0.00890670229347584 0 0 0.00267201068804275 0.0151413938989089 0.00868403473613895 0.00823869962146515 0.00155867290135827 0.0138053885548876 0 0.00155867290135827 0.000222667557336896 0.00334001336005344 0.00289467824537965 0.0371854820752616 0.00178134045869517 0.00668002672010688 0.00133600534402138 0.00222667557336896 0.000668002672010688 0.00311734580271654 0.00734802939211757 0.000222667557336896 0.000668002672010688 0 0.00400801603206413 0.000222667557336896 0.000222667557336896 0.00222667557336896 0.000222667557336896 0.000445335114673792 0.0057893564907593 0 0 0 0 0.00155867290135827 0.000222667557336896 0 0 0.00111333778668448 0.00133600534402138 0.000890670229347584 0 0 0 0.000222667557336896 0 0.000222667557336896 0 0.00400801603206413 0.000445335114673792 0 0.00111333778668448 0 0.00200400801603206 0 0.00178134045869517 0.000890670229347584 0.000668002672010688 0.00111333778668448 0 0 0.00200400801603206 0.000222667557336896 0 0.000890670229347584 0 0.000222667557336896 0.000222667557336896 0 0 0 0 0 0.000445335114673792 0 0.000445335114673792 0 0 0 0.000445335114673792 0.000445335114673792 0.000222667557336896 0.000668002672010688 0 0 0 0.000222667557336896 0 0 0.000890670229347584 0.000890670229347584 0.000222667557336896 0 0.000445335114673792 0.000222667557336896 0 0.000222667557336896 0 0 0 0.000222667557336896 0 0 0 0.000222667557336896 0 0 0.000668002672010688 0 0 0 0.00111333778668448 0.000222667557336896 0
"MBRE2F515" 0.386996214651525 0.000445335114673792 0.059897572923625 0.0521042084168337 0.0583389000222668 0.0229347584057003 0.053440213760855 0.0178134045869517 0.000222667557336896 0.0561122244488978 0.0135827209975507 0.00155867290135827 0.0113560454241817 0.0307281229124917 0.0053440213760855 0.00244934313070586 0.000222667557336896 0 0.044978846582053 0.00935203740814963 0 0.000890670229347584 0.000668002672010688 0.00801603206412826 0.0140280561122244 0 0 0.000445335114673792 0.00311734580271654 0 0 0.00846136717880205 0.0195947450456469 0 0.00222667557336896 0.000222667557336896 0.0053440213760855 0.00668002672010688 0.025606769093743 0.00512135381874861 0.000668002672010688 0.00133600534402138 0 0.00400801603206413 0.00400801603206413 0.00623469160543309 0 0.00133600534402138 0.00178134045869517 0.0055666889334224 0 0 0.00289467824537965 0.000222667557336896 0.000890670229347584 0 0 0 0 0.000890670229347584 0.000222667557336896 0 0 0.000668002672010688 0.00623469160543309 0.000222667557336896 0.00111333778668448 0.000445335114673792 0 0 0.00289467824537965 0.000222667557336896 0.00489868626141171 0.000890670229347584 0.000222667557336896 0.00133600534402138 0 0.000890670229347584 0 0.000890670229347584 0 0 0 0 0.00200400801603206 0 0 0.000890670229347584 0 0 0 0.00155867290135827 0 0 0 0 0 0 0 0 0.000222667557336896 0.000222667557336896 0.00111333778668448 0.000445335114673792 0.000445335114673792 0.00512135381874861 0 0.00356268091739034 0 0 0.00133600534402138 0.000222667557336896 0 0 0.000222667557336896 0 0.000222667557336896 0 0 0 0 0 0 0.000668002672010688 0 0 0 0 0 0 0.000445335114673792 0.000222667557336896 0 0 0 0 0 0.00155867290135827 0 0.000222667557336896
"MBRE2F915" 0.397016254731686 0.0111333778668448 0.0276107771097751 0.0322867958138499 0.0458695168114006 0.0416388332219996 0.0215987530616789 0.0115787129815186 0.000445335114673792 0.0158093965709196 0.0153640614562458 0.0100200400801603 0.00467601870407482 0.0162547316855934 0.0191494099309731 0.0262747717657537 0.0115787129815186 0.000222667557336896 0.0367401469605878 0.00155867290135827 0.00200400801603206 0.0558895568915609 0.00244934313070586 0.00178134045869517 0.00935203740814963 0.000890670229347584 0.00155867290135827 0.000445335114673792 0.00846136717880205 0.00489868626141171 0.014918726341572 0.0182587397016255 0.00423068358940102 0 0.00244934313070586 0.00111333778668448 0.00712536183478067 0.000445335114673792 0.0160320641282565 0.00178134045869517 0.00178134045869517 0.00512135381874861 0.00222667557336896 0.00155867290135827 0.00378534847472723 0.00823869962146515 0.000445335114673792 0.00244934313070586 0.00244934313070586 0.0175907370296148 0.00267201068804275 0.000445335114673792 0.0057893564907593 0.000668002672010688 0.00133600534402138 0.00133600534402138 0.000222667557336896 0 0 0.00133600534402138 0.000890670229347584 0 0.000222667557336896 0 0 0.000890670229347584 0.000222667557336896 0 0.000445335114673792 0.000890670229347584 0.00111333778668448 0.000668002672010688 0.000222667557336896 0.000445335114673792 0.00133600534402138 0.000890670229347584 0.000222667557336896 0.00200400801603206 0.000890670229347584 0.00111333778668448 0 0 0.00378534847472723 0.000445335114673792 0.00267201068804275 0 0.00155867290135827 0.00244934313070586 0 0.000668002672010688 0 0 0.00222667557336896 0.000668002672010688 0 0.000222667557336896 0 0.00111333778668448 0.000222667557336896 0.00178134045869517 0 0.00178134045869517 0.000445335114673792 0.000222667557336896 0.000445335114673792 0.000445335114673792 0 0 0 0 0.000222667557336896 0 0.00133600534402138 0 0.000222667557336896 0 0.000890670229347584 0 0 0 0 0.000222667557336896 0.00133600534402138 0 0 0 0 0 0.000445335114673792 0.000222667557336896 0 0 0.000222667557336896 0 0 0.000890670229347584 0 0 0 0
"MBRH1F714" 0.185482075261634 0.00133600534402138 0.0616789133823202 0.0302827877978179 0.0988643954575818 0.0554442217768871 0.021376085504342 0.0273881095524382 0.000222667557336896 0.0271654419951013 0.0202627477176575 0.00445335114673792 0.00378534847472723 0.00668002672010688 0.00645735916276998 0.000222667557336896 0.00935203740814963 0.000222667557336896 0.0164773992429303 0.0287241148964596 0.00222667557336896 0.0238254286350479 0.104208416833667 0.00623469160543309 0.00155867290135827 0.000445335114673792 0.000668002672010688 0 0.00823869962146515 0.00133600534402138 0.00133600534402138 0.0162547316855934 0.00957470496548653 0 0.00334001336005344 0.0567802271209085 0.00178134045869517 0.00244934313070586 0.00400801603206413 0.00334001336005344 0.00957470496548653 0.00133600534402138 0.000890670229347584 0.00178134045869517 0.00356268091739034 0.00823869962146515 0.00222667557336896 0.00155867290135827 0.00378534847472723 0.00712536183478067 0.00489868626141171 0.00200400801603206 0.00935203740814963 0.000445335114673792 0.000890670229347584 0.00489868626141171 0 0 0.000445335114673792 0.000890670229347584 0.000222667557336896 0 0.00289467824537965 0.000222667557336896 0.00445335114673792 0.000668002672010688 0.00111333778668448 0.00155867290135827 0.00378534847472723 0.000668002672010688 0.00868403473613895 0 0.000222667557336896 0.00311734580271654 0.000890670229347584 0.00311734580271654 0 0.00311734580271654 0.00244934313070586 0.00378534847472723 0 0.000445335114673792 0.00133600534402138 0.00133600534402138 0.00757069694945446 0.000445335114673792 0.000890670229347584 0.00133600534402138 0 0.00267201068804275 0.000445335114673792 0.00289467824537965 0.000222667557336896 0 0.000222667557336896 0.000445335114673792 0 0 0.000222667557336896 0.0053440213760855 0 0 0.000445335114673792 0.000222667557336896 0.00289467824537965 0 0 0.00111333778668448 0 0.000445335114673792 0.00378534847472723 0 0.00178134045869517 0 0 0.000222667557336896 0.000668002672010688 0.000222667557336896 0.000668002672010688 0 0.000445335114673792 0 0 0.000222667557336896 0 0 0.000222667557336896 0 0.000890670229347584 0.000445335114673792 0.000445335114673792 0 0 0.000222667557336896 0.000222667557336896 0 0 0.000222667557336896 0 0
"MBRH1F914" 0.227566243598308 0.0126920507682031 0.0565575595635716 0.0298374526831441 0.0688042752171009 0.089957693164106 0.0158093965709196 0.0251614339790692 0.000668002672010688 0.0409708305499889 0.0273881095524382 0.0053440213760855 0.0120240480961924 0.0182587397016255 0.0100200400801603 0.00334001336005344 0.00289467824537965 0.000668002672010688 0.0126920507682031 0.0204854152749944 0.00178134045869517 0.0398574927633044 0.0178134045869517 0.00601202404809619 0.00489868626141171 0 0.000222667557336896 0.00133600534402138 0.00757069694945446 0.00222667557336896 0.0218214206190158 0.0211534179470051 0.0120240480961924 0.00133600534402138 0.00267201068804275 0.00467601870407482 0.00289467824537965 0.00111333778668448 0.00757069694945446 0.00155867290135827 0.00445335114673792 0.00400801603206413 0.00289467824537965 0.00334001336005344 0.00400801603206413 0.0131373858828769 0.000668002672010688 0.00200400801603206 0.00400801603206413 0.010688042752171 0.00489868626141171 0.00111333778668448 0.00467601870407482 0.000445335114673792 0.000222667557336896 0.000890670229347584 0 0.000222667557336896 0.000445335114673792 0.00133600534402138 0.00378534847472723 0.00178134045869517 0.00178134045869517 0.000445335114673792 0.000890670229347584 0.00178134045869517 0.00200400801603206 0.00445335114673792 0.00890670229347584 0.000668002672010688 0.00244934313070586 0.000222667557336896 0 0.00489868626141171 0.00155867290135827 0.00779336450679136 0 0.00133600534402138 0.00334001336005344 0.00356268091739034 0.000222667557336896 0.000222667557336896 0.000890670229347584 0.000668002672010688 0.00935203740814963 0 0.00133600534402138 0.000668002672010688 0.000890670229347584 0.00334001336005344 0.00111333778668448 0.00334001336005344 0 0.000668002672010688 0 0 0.000445335114673792 0.000222667557336896 0 0.00133600534402138 0 0.000668002672010688 0 0.000445335114673792 0.000445335114673792 0.00289467824537965 0 0.000668002672010688 0 0 0.00623469160543309 0.000668002672010688 0.000222667557336896 0 0 0.000222667557336896 0.000890670229347584 0.000668002672010688 0 0.000222667557336896 0.000222667557336896 0.000668002672010688 0.000890670229347584 0 0.000222667557336896 0 0 0.000445335114673792 0.000222667557336896 0 0 0.000222667557336896 0.00178134045869517 0.000890670229347584 0 0 0 0.000668002672010688 0 0
"MBRH1F715" 0.325762636383879 0.00267201068804275 0.0380761523046092 0.0327321309285237 0.0249387664217324 0.0790469828545981 0.00846136717880205 0.0280561122244489 0.000222667557336896 0.0273881095524382 0.0122467156535293 0.00267201068804275 0.00846136717880205 0.014918726341572 0.0144733912268982 0.00200400801603206 0.000890670229347584 0.000222667557336896 0.040748162992652 0.000668002672010688 0.00155867290135827 0.0772656423959029 0.0630149187263416 0.00779336450679136 0.00779336450679136 0.000445335114673792 0.000668002672010688 0 0.0251614339790692 0.00244934313070586 0.00267201068804275 0.00779336450679136 0.0131373858828769 0.000890670229347584 0.00378534847472723 0.0227120908483634 0.00155867290135827 0.000890670229347584 0.00868403473613895 0.00423068358940102 0.00222667557336896 0.000222667557336896 0.000445335114673792 0.00244934313070586 0.00155867290135827 0.00467601870407482 0.00155867290135827 0.00178134045869517 0.00267201068804275 0.0055666889334224 0.000668002672010688 0.00111333778668448 0.00645735916276998 0 0.00133600534402138 0 0 0 0.000668002672010688 0.000222667557336896 0.000445335114673792 0 0.000222667557336896 0.000445335114673792 0.00133600534402138 0.00222667557336896 0.000222667557336896 0.000445335114673792 0.00133600534402138 0 0.00200400801603206 0 0.000445335114673792 0.00133600534402138 0.00155867290135827 0.00400801603206413 0 0.00133600534402138 0.00111333778668448 0.000445335114673792 0 0.00178134045869517 0.000890670229347584 0.000890670229347584 0.00779336450679136 0 0 0.000222667557336896 0.000222667557336896 0.00178134045869517 0 0.000445335114673792 0.000222667557336896 0.000445335114673792 0 0 0 0 0.000222667557336896 0.000668002672010688 0 0.00222667557336896 0 0 0 0.00133600534402138 0 0 0 0 0.000445335114673792 0.000445335114673792 0 0.000222667557336896 0 0 0.00133600534402138 0.00378534847472723 0.000222667557336896 0.000222667557336896 0.000668002672010688 0 0 0 0 0 0 0 0.000668002672010688 0.000445335114673792 0.000222667557336896 0 0 0 0 0 0 0.00244934313070586 0 0
