"Otu000004" "Otu000005" "Otu000009" "Otu000010" "Otu000019" "Otu000023" "Otu000042" "Otu000075" "Otu000082" "Otu000152" "Otu000227" "Otu000267" "Otu000438" "Otu000509" "Otu000644" "Otu000682" "Otu000931" "Otu001021" "Otu001345" "Otu001487" "Otu001697" "Otu001799"
"Fa13.BD.MLB.DN.1" 1018999.10370697 10369.0935622356 1018999.10370697 1738237.1389784 197955.42255177 4713.22434647072 105576.225360944 13197.028170118 58443.9818962369 44304.3088568248 1885.28973858829 942.644869294144 942.644869294144 6598.51408505901 5655.86921576486 1885.28973858829 3770.57947717658 0 0 942.644869294144 0 0
"Fa13.BD.MLB.SN.1" 1357032.36780762 9919.82725005567 881872.642529949 1821280.28311022 171613.011425963 8927.8445250501 84318.5316254732 5951.8963500334 62494.9116753507 29759.481750167 1983.96545001113 0 0 1983.96545001113 3967.93090002227 2975.9481750167 3967.93090002227 0 991.982725005567 5951.8963500334 0 0
"MBRE1F714" 2384838.56183478 2198101.20274772 1633389.43008684 2506330.33762636 722201.111649967 13499.0861990648 303729.439478958 53996.3447962592 139490.557390336 101243.146492986 6749.5430995324 0 0 11249.2384992207 8999.39079937653 20248.6292985972 0 0 0 0 0 0
"MBRE1F914" 1651184.7810334 77023.1967828991 2419812.09892941 1708952.17862057 823185.415617234 6418.59973190826 101092.945777555 86651.0963807615 189348.692091294 88255.7463137386 22465.0990616789 1604.64993297707 0 8023.24966488533 8023.24966488533 8023.24966488533 3209.29986595413 0 0 1604.64993297707 0 1604.64993297707
"MBRE1F715" 4357361.33743487 171848.911298152 826196.688933422 1062488.94196838 609733.156432866 62790.9483589401 59486.1616032064 142105.830496549 61138.5549810733 29743.0808016032 6609.57351146738 3304.78675573369 0 3304.78675573369 3304.78675573369 11566.7536450679 1652.39337786684 0 0 0 0 8261.96688933422
"MBRE2F515" 2046415.89623246 2890.41793253173 683102.104721665 1021281.00282788 395987.256756847 49137.1048530394 45283.2142763304 14452.0896626586 0 24086.8161044311 4817.36322088622 6744.3085092407 0 0 22159.8708160766 0 0 2890.41793253173 963.472644177243 0 0 6744.3085092407
"MBRE2F915" 2310817.75258072 63220.4856838121 493773.793358049 831676.389254286 763005.86170118 22890.1758510354 174401.339817413 47960.3684497885 73030.5610485415 86110.6615348475 1090.00837385883 4360.03349543531 1090.00837385883 13080.1004863059 2180.01674771766 0 6540.05024315297 0 0 0 0 0
"MBRH1F714" 591212.285533957 5380.09157715431 400517.928521487 1171066.59996059 328783.37415943 10162.3952012915 92059.3447646404 24509.306073703 3586.72771810287 19129.2144965487 2988.93976508573 8369.03134224004 1195.57590603429 22715.9422146515 0 1195.57590603429 0 597.787953017145 0 597.787953017145 0 597.787953017145
"MBRH1F914" 924703.981622133 44881.0300703629 542441.415160766 906906.331766644 682501.18141483 41785.7866172345 116845.4403556 31726.2453945669 75833.4646016477 37142.9214375418 6964.29776953908 27083.3802148742 0 16250.0281289245 10059.5412226676 3869.0543164106 3095.24345312848 0 773.81086328212 0 0 2321.43258984636
"MBRH1F715" 923610.976396348 7713.90013694055 249416.104427744 517345.569184146 459234.188152527 19541.8803469161 28798.5605112447 61711.2010955244 6171.12010955244 12856.5002282342 514.26000912937 9256.68016432866 0 4628.34008216433 3085.56005477622 0 0 0 0 0 0 5656.86010042307
