"Otu000004" "Otu000005" "Otu000009" "Otu000010" "Otu000019" "Otu000023" "Otu000042" "Otu000075" "Otu000082" "Otu000152" "Otu000227" "Otu000267" "Otu000438" "Otu000509" "Otu000644" "Otu000682" "Otu000931" "Otu001021" "Otu001345" "Otu001487" "Otu001697" "Otu001846"
"Fa13.BD.MLB.DN.1" 0.240703629481185 0.00244934313070586 0.240703629481185 0.410598975729236 0.0467601870407482 0.00111333778668448 0.0249387664217324 0.00311734580271654 0.0138053885548876 0.0104653751948341 0.000445335114673792 0.000222667557336896 0.000222667557336896 0.00155867290135827 0.00133600534402138 0.000445335114673792 0.000890670229347584 0 0 0.000222667557336896 0 0
"Fa13.BD.MLB.SN.1" 0.304609218436874 0.00222667557336896 0.197951458472501 0.408817635270541 0.038521487419283 0.00200400801603206 0.0189267423736362 0.00133600534402138 0.0140280561122244 0.00668002672010688 0.000445335114673792 0 0 0.000445335114673792 0.000890670229347584 0.000668002672010688 0.000890670229347584 0 0.000222667557336896 0.00133600534402138 0 0
"MBRE1F714" 0.23602761077711 0.217546203518147 0.161656646626587 0.248051658873302 0.0714762859051436 0.00133600534402138 0.030060120240481 0.0053440213760855 0.0138053885548876 0.0100200400801603 0.000668002672010688 0 0 0.00111333778668448 0.000890670229347584 0.00200400801603206 0 0 0 0 0 0
"MBRE1F914" 0.229124916499666 0.010688042752171 0.335782676464039 0.237140948563794 0.114228456913828 0.000890670229347584 0.0140280561122244 0.0120240480961924 0.0262747717657537 0.0122467156535293 0.00311734580271654 0.000222667557336896 0 0.00111333778668448 0.00111333778668448 0.00111333778668448 0.000445335114673792 0 0 0.000222667557336896 0 0.000222667557336896
"MBRE1F715" 0.587174348697395 0.0231574259630372 0.111333778668448 0.143175239367624 0.0821643286573146 0.00846136717880205 0.00801603206412826 0.0191494099309731 0.00823869962146515 0.00400801603206413 0.000890670229347584 0.000445335114673792 0 0.000445335114673792 0.000445335114673792 0.00155867290135827 0.000222667557336896 0 0 0 0 0.00111333778668448
"MBRE2F515" 0.472945891783567 0.000668002672010688 0.157871298151859 0.23602761077711 0.0915163660654643 0.0113560454241817 0.0104653751948341 0.00334001336005344 0 0.0055666889334224 0.00111333778668448 0.00155867290135827 0 0 0.00512135381874861 0 0 0.000668002672010688 0.000222667557336896 0 0 0.00155867290135827
"MBRE2F915" 0.47205522155422 0.01291471832554 0.100868403473614 0.169895346248052 0.155867290135827 0.00467601870407482 0.0356268091739034 0.00979737252282342 0.014918726341572 0.0175907370296148 0.000222667557336896 0.000890670229347584 0.000222667557336896 0.00267201068804275 0.000445335114673792 0 0.00133600534402138 0 0 0 0 0
"MBRH1F714" 0.22021821420619 0.00200400801603206 0.14918726341572 0.436205744822979 0.122467156535293 0.00378534847472723 0.034290803829882 0.00912936985081274 0.00133600534402138 0.00712536183478067 0.00111333778668448 0.00311734580271654 0.000445335114673792 0.00846136717880205 0 0.000445335114673792 0 0.000222667557336896 0 0.000222667557336896 0 0.000222667557336896
"MBRH1F914" 0.266087731017591 0.01291471832554 0.156089957693164 0.260966377198842 0.196392785571142 0.0120240480961924 0.0336228011578713 0.00912936985081274 0.0218214206190158 0.010688042752171 0.00200400801603206 0.00779336450679136 0 0.00467601870407482 0.00289467824537965 0.00111333778668448 0.000890670229347584 0 0.000222667557336896 0 0 0.000668002672010688
"MBRH1F715" 0.399910932977065 0.00334001336005344 0.107993765308395 0.224003562680917 0.198842128701848 0.00846136717880205 0.0124693832108662 0.0267201068804275 0.00267201068804275 0.0055666889334224 0.000222667557336896 0.00400801603206413 0 0.00200400801603206 0.00133600534402138 0 0 0 0 0 0 0.00244934313070586
