"ntaxa" "mpd.obs" "mpd.rand.mean" "mpd.rand.sd" "mpd.obs.rank" "mpd.obs.z" "mpd.obs.p" "runs"
"110D2F115" 147 0.471435552082671 0.470898278104966 0.00753272497996752 477 0.0713253144293318 0.477 999
"110D2F415" 114 0.411253535628611 0.417743483208936 0.0165730229708343 440 -0.391597090750787 0.44 999
"110D2F515" 128 0.547509263759903 0.54433369975151 0.00932527932993809 650 0.34053285655455 0.65 999
"110D2F715" 136 0.509070136271613 0.507495165743689 0.00550346921620701 620 0.286177766432533 0.62 999
"110D2F815" 150 0.542610884486957 0.540138683825944 0.00834836676615325 595 0.296129857523321 0.595 999
"110D2F915" 141 0.519784564570873 0.518044467705837 0.0121856394561772 590 0.142798978362579 0.59 999
"110M2F115" 156 0.475347290940584 0.475059032346216 0.00760398406915587 559 0.0379088898328569 0.559 999
"110M2F415" 122 0.501734885175807 0.501544290539102 0.0164966555264739 594 0.0115535319506853 0.594 999
"110M2F515" 135 0.550652576372863 0.546288681492491 0.0270006350271555 650 0.161621935039063 0.65 999
"110M2F715" 133 0.580660489881993 0.574651064435727 0.010072848575762 742 0.59659642464269 0.742 999
"110S2F115" 147 0.511607053926527 0.50896141115905 0.00813653712092841 629 0.325155865223252 0.629 999
"110S2F415" 123 0.477379572136321 0.478758007882137 0.0137162436491184 524 -0.100496592294346 0.524 999
"110S2F515" 132 0.494892314285773 0.49369347230328 0.00762827052805413 589 0.157157769652236 0.589 999
"110S2F715" 130 0.583575266781505 0.575890030811486 0.0146429868035462 777 0.524840735918535 0.777 999
"110S2F915" 133 0.586685572703861 0.579964834743624 0.0102095098098977 784 0.658282139434486 0.784 999
"Fa13.BD.MLB.DN.1" 250 0.498327162623775 0.502568337961214 0.0118806343039992 250 -0.356982230823435 0.25 999
"Fa13.BD.MLB.SN.1" 236 0.481191190549133 0.486082843186774 0.0105347656151023 171 -0.464334263937363 0.171 999
"Fa13.BD.MM110.DN.1" 160 0.487143083362139 0.491242312695484 0.0138963284219144 288 -0.294986503548699 0.288 999
"Fa13.BD.MM110.SD.1" 144 0.478614833909191 0.479857843182603 0.00932793295478862 406 -0.133256668914488 0.406 999
"Fa13.BD.MM110.SN.1" 145 0.479390132607438 0.480454848563762 0.00697843283138668 413 -0.152572358586746 0.413 999
"Fa13.BD.MM15.DN.1" 169 0.489047653097888 0.492319312478583 0.0113761914143024 313 -0.287588285177925 0.313 999
"Fa13.BD.MM15.SD.1" 167 0.482177316170355 0.482788694020882 0.00512326365232387 440 -0.119333669320319 0.44 999
"Fa13.BD.MM15.SN.1" 191 0.488122204345074 0.488265089715182 0.00470868805818001 485 -0.0303450490546541 0.485 999
"M15S2F115" 148 0.445412448035155 0.446230133562124 0.00674164745965605 434 -0.121288680824939 0.434 999
"M15S2F515" 189 0.539328162609395 0.538561973839284 0.00695682946629048 603 0.110134763806329 0.603 999
"M15S2F715" 166 0.502717347160605 0.500361634790196 0.00888598085408632 611.5 0.265104371604042 0.6115 999
"M15S2F815" 155 0.525625179718518 0.522115493707065 0.00652606453810428 753 0.537795173639692 0.753 999
"M15S2F915" 146 0.524120409486075 0.520987839208694 0.0095985355557682 738 0.326359188772193 0.738 999
"M45D2F115" 143 0.457176453809267 0.455904456422096 0.00802429776696694 525.5 0.15851821855467 0.5255 999
"M45D2F415" 111 0.49892588926198 0.491696539211167 0.0204942030108301 548 0.352750972896686 0.548 999
"M45D2F515" 150 0.525607898452374 0.522298544924376 0.0139850894736284 522 0.236634419410615 0.522 999
"M45D2F715" 131 0.63351665076419 0.611066972665509 0.049301083885806 700 0.455358712816129 0.7 999
"M45D2F815" 151 0.540880877429787 0.536517958310158 0.00981294620744536 670.5 0.444608482243386 0.6705 999
"M45D2F915" 144 0.609574977072778 0.594155957267502 0.039594849709078 611 0.389419834108899 0.611 999
"M45S2F415" 117 0.517463012697882 0.510324441154261 0.0216000181020427 507.5 0.330489146346862 0.5075 999
"M45S2F515" 154 0.510904595299396 0.51098048020417 0.00974345369690658 534 -0.00778829634075656 0.534 999
"M45S2F715" 135 0.539259650521023 0.532694891832327 0.00948181016514905 798 0.69235289194303 0.798 999
"M45S2F815" 166 0.56924186598899 0.563921786474874 0.00934533312530108 757 0.569276604994728 0.757 999
"M45S2F915" 141 0.571985697436107 0.565552289953317 0.00874810334785897 817 0.735405976241093 0.817 999
"MBRE1F714" 223 0.539383046318337 0.540807027791155 0.0111548820351057 453 -0.127655448828303 0.453 999
"MBRE1F914" 229 0.535155766766353 0.537365488761875 0.010786854664852 407 -0.20485322776451 0.407 999
"MBRE1F715" 195 0.409543095302058 0.414552956879059 0.0132456785897796 281 -0.378226116770404 0.281 999
"MBRE2F515" 184 0.487265377544205 0.490416179717819 0.0121125806320015 379 -0.260126414786419 0.379 999
"MBRE2F915" 221 0.468462358329026 0.473274934939419 0.0134399860283529 296 -0.358078989088245 0.296 999
"MBRH1F714" 243 0.463532836216865 0.469154278389925 0.0134137699544255 304 -0.419079959784577 0.304 999
"MBRH1F914" 265 0.507529357546682 0.511880075104735 0.015342017945866 315 -0.283581832155603 0.315 999
"MBRH1F715" 216 0.465051604150192 0.469070130659307 0.00878123965521884 236 -0.457626333740595 0.236 999
"MBRH2F515" 158 0.434209454120901 0.438190315294739 0.00839411838095558 270 -0.474244106786596 0.27 999
"MBRH2F915" 222 0.466120686655797 0.472091039231808 0.0136732580544806 248 -0.436644474361677 0.248 999
"MDPE1F514" 206 0.563042704486162 0.564555247413702 0.011402055528687 455 -0.132655285157464 0.455 999
"MDPE1F714" 247 0.553287585924649 0.554797174782227 0.0123042931045727 440 -0.122687979288908 0.44 999
"MDPE1F914" 239 0.530230196460826 0.532850498949526 0.0130844596451958 441 -0.200260657279979 0.441 999
"MDPE1F715" 208 0.461185627279381 0.466290011583341 0.0144461364023106 278 -0.353339063248994 0.278 999
"MDPE2F515" 153 0.467354009359173 0.470210715687434 0.00993108867285029 332 -0.287652887046579 0.332 999
"MDPE2F915" 217 0.507049798153373 0.51116176916886 0.0104660307741247 355 -0.392887342320224 0.355 999
"MDPH1F714" 256 0.515546116246823 0.516550117027551 0.0096321979204983 405 -0.104233819634375 0.405 999
"MDPH1F914" 247 0.510291403116112 0.514485858738717 0.0110343207497183 220 -0.380128121861246 0.22 999
"MDPH1F715" 242 0.499229631799592 0.502889345412798 0.00905314089111571 269 -0.404247946345015 0.269 999
"MDPH2F514" 182 0.545503251882381 0.546671520305147 0.0138459439233286 402 -0.0843762208799343 0.402 999
"MDPH2F515" 197 0.510467952309389 0.51294230015033 0.011108865083415 288 -0.222736330161716 0.288 999
"MDPH2F915" 223 0.488221105314254 0.493224999924406 0.0113308326530757 242 -0.441617554804669 0.242 999
"MINE1F514" 186 0.550098304892764 0.553210949502708 0.00929154803934525 280 -0.334997418811517 0.28 999
"MINE1F714" 219 0.518483818208516 0.520256569296164 0.0111627221871173 473 -0.158809926282555 0.473 999
"MINE1F914" 230 0.506432444306294 0.510043276190835 0.0115905480652107 347 -0.311532454222633 0.347 999
"MINE1F715" 235 0.498492776604845 0.501771014747873 0.0112674607322723 315 -0.290947376780193 0.315 999
"MINE2F515" 199 0.523131742513132 0.525160224510798 0.0103080414933246 384 -0.196786363246554 0.384 999
"MINE2F915" 235 0.496386214011253 0.499817193080765 0.00918099432851475 265 -0.373704519003613 0.265 999
"MINH1F514" 187 0.559867254909854 0.562295760771719 0.0112714794743272 358 -0.215455820808327 0.358 999
"MINH1F714" 231 0.496857194331036 0.498376715012919 0.00698713873554236 399 -0.217473953129517 0.399 999
"MINH1F914" 238 0.501095499425818 0.505198593125798 0.00997837570761661 247 -0.411198557782063 0.247 999
"MINH1F715" 226 0.494630722370565 0.499608482126855 0.0112498004880802 195 -0.442475380924685 0.195 999
"MINH2F515" 202 0.50589619855693 0.50912738021454 0.0128199699868547 361 -0.252042841045902 0.361 999
"MINH2F915" 232 0.515715883036762 0.519660036870817 0.0123491162266187 246 -0.319387538482595 0.246 999
"MLBD2F115" 219 0.490240553091514 0.494493384349925 0.0110499686929573 266 -0.384872697523685 0.266 999
"MLBD2F415" 168 0.526618785178439 0.529038031046193 0.0134284114867929 447 -0.180158752964441 0.447 999
"MLBD2F515" 178 0.500269027039418 0.502545298022361 0.0131464970392582 442 -0.173146578601505 0.442 999
"MLBD2F715" 248 0.501129248590693 0.503666298004402 0.0124835492499645 411 -0.203231417837067 0.411 999
"MLBD2F815" 229 0.560767877142036 0.561756344281787 0.0123267361995725 490 -0.0801888775541986 0.49 999
"MLBD2F915" 264 0.539329710203202 0.541711285041238 0.0109317709996381 449 -0.217858098025876 0.449 999
"MLBS2F115" 209 0.480121303246423 0.484864713667339 0.0122408749607525 246 -0.387505830761694 0.246 999
"MLBS2F515" 153 0.457943365955478 0.460816615344051 0.0107586636152416 400 -0.267063781462793 0.4 999
"MLBS2F715" 159 0.437197163979679 0.438405597212549 0.00970849617248206 492 -0.124471721613773 0.492 999
"MLBS2F815" 232 0.498752612987752 0.502802537868613 0.0127775014961208 349 -0.316957496118511 0.349 999
"MLBS2F915" 242 0.550086843301104 0.552594736684256 0.0117465487352498 438 -0.21350044508189 0.438 999
"MOTE1F514" 199 0.572874085751566 0.573598461156951 0.0107748330521109 465 -0.0672284574510137 0.465 999
"MOTE1F714" 234 0.560516386382263 0.559700960176067 0.0118547116432215 573 0.068784988681061 0.573 999
"MOTE1F914" 247 0.529608561391539 0.533009697072933 0.0109261670011949 336 -0.311283516078606 0.336 999
"MOTE1F715" 188 0.46143056365065 0.464040530792355 0.0101745684784545 383 -0.256518706147824 0.383 999
"MOTE2F515" 181 0.533231267751586 0.534379275255853 0.00909799422670779 401 -0.126182483266192 0.401 999
"MOTE2F915" 229 0.509252735548561 0.51257666781046 0.011909670090218 403 -0.279095242497865 0.403 999
"MOTH1F714" 230 0.452711166721044 0.45720858490381 0.0112728598157978 307 -0.398959825302176 0.307 999
"MOTH1F914" 238 0.525234429931321 0.527449124881937 0.0116495816860602 424 -0.190109397083881 0.424 999
"MOTH1F715" 217 0.455292242369605 0.45868085274707 0.0106261344724645 295 -0.318893985978195 0.295 999
"MOTH1F915" 190 0.515137432675621 0.517644497358072 0.0119560076560188 500 -0.20969078931539 0.5 999
"MOTH2F514" 192 0.530905343597338 0.533267966006908 0.011310245803295 374 -0.208892224860538 0.374 999
"MOTH2F515" 198 0.525642766036753 0.526237356202923 0.0102733667502225 480 -0.0578768558182779 0.48 999
"Sp13.BD.MLB.SN.1" 155 0.437053414436146 0.446864781762872 0.0128898824015498 165 -0.761168102320808 0.165 999
"Sp13.BD.MM110.SD.1" 127 0.499551018508019 0.498194579230833 0.0104418893307503 490 0.129903625121819 0.49 999
"Sp13.BD.MM110.SN.1" 131 0.459107884901292 0.461070282302289 0.00743605090163103 355 -0.263903169431801 0.355 999
"Sp13.BD.MM15.DD.1" 186 0.482959050675939 0.486207681903446 0.00679571226849753 281 -0.478041314751664 0.281 999
"Sp13.BD.MM15.SD.1" 161 0.487291415981529 0.490359506530512 0.00771477882518241 306 -0.397690020479702 0.306 999
"Sp13.BD.MM15.SN.1" 163 0.481462837203565 0.485906720083979 0.0109306558612554 276 -0.406552263361076 0.276 999
"Su13.BD.MLB.DD.1" 228 0.442982119401278 0.450500539731038 0.013070108009568 118 -0.575237811673446 0.118 999
"Su13.BD.MLB.SD.1" 208 0.511248325725922 0.514212361409408 0.00908080125836667 275 -0.326406844413069 0.275 999
"Su13.BD.MM110.DCMD.1" 147 0.539602167313213 0.540714490735794 0.00829588360434015 450 -0.134081368017146 0.45 999
"Su13.BD.MM110.DN.1" 151 0.503556964774702 0.503591223725964 0.0109221982269322 558 -0.00313663518554368 0.558 999
"Su13.BD.MM110.SD.1" 117 0.443059407011563 0.444131740567937 0.00676655183465054 489 -0.158475628736542 0.489 999
"Su13.BD.MM110.SN.1" 122 0.44563011298091 0.446185723456678 0.00905659634945772 486 -0.0613487069898946 0.486 999
"Su13.BD.MM15.DN.1" 148 0.516151886416123 0.517537430066206 0.00767584473402294 455 -0.180506992792741 0.455 999
"Su13.BD.MM15.SD.1" 151 0.467800592676953 0.468296403063605 0.00669639824725792 458 -0.0740413530296182 0.458 999
"Su13.BD.MM15.SN.1" 172 0.453795424664491 0.456317736127759 0.0110067680096338 370 -0.229160045988135 0.37 999
"Z14001F" 180 0.539280198259576 0.539415719957121 0.00975723321410972 459 -0.0138893572153866 0.459 999
"Z14002F" 185 0.531240559653593 0.531657852750681 0.00982789211657359 468 -0.0424600811789535 0.468 999
"Z14004F" 205 0.627577476868646 0.622782755650838 0.0260669016322319 395 0.183939053649546 0.395 999
"Z14005F" 217 0.556885309161848 0.556325162465388 0.00780274350743476 564 0.0717884287655617 0.564 999
"Z14006F" 208 0.557610764524509 0.557419378430162 0.00976069832626982 579 0.0196078280415662 0.579 999
"Z14008F" 227 0.559264718555821 0.558443552306212 0.0094360024218201 599 0.087024802760758 0.599 999
"Z14009F" 193 0.517139197970433 0.519154316154774 0.0114258052527292 406 -0.176365528710584 0.406 999
"Z14010F" 199 0.534934610509905 0.535311859547775 0.0104890280646049 545 -0.0359660623983709 0.545 999
"Z14012F" 212 0.534489529237501 0.535813264547961 0.0112222260841799 476 -0.117956571230226 0.476 999
"Z14013F" 229 0.578515995931591 0.57772289019072 0.0100525227094677 615 0.0788961899209115 0.615 999
"Z14014F" 215 0.541827299427301 0.54279121180062 0.0107193037655343 465 -0.0899230392572573 0.465 999
"Z14016F" 220 0.562349650570283 0.561827221177913 0.00882182287651613 579 0.0592201180734376 0.579 999
"Z14017F" 224 0.55250668593162 0.552522219668723 0.00870371360766708 546 -0.00178472521078516 0.546 999
"Z14018F" 234 0.556459593603894 0.555891331023441 0.00735930489083348 618 0.0772168824205401 0.618 999
"Z14019F" 188 0.530755971486502 0.535192941284794 0.0133801559485163 282 -0.331608227539647 0.282 999
"Z14020F" 256 0.556727271971856 0.556655989948214 0.0070654281653087 582 0.0100888469849145 0.582 999
"Z14021F" 212 0.575876179001058 0.573516828781937 0.00992760927556763 634 0.237655426762992 0.634 999
"Z14022F" 218 0.582101476365295 0.579602231495049 0.0113435112435463 613 0.220323744261059 0.613 999
"Z14024F" 212 0.647797496020483 0.641945331505669 0.0247019181825334 533 0.236911339093995 0.533 999
"Z14025F" 207 0.533865377412844 0.535426112893393 0.0128530965094438 472 -0.121428752939215 0.472 999
"Z14026F" 194 0.533970072681942 0.534424251617353 0.00802461429753694 470 -0.0565982262288173 0.47 999
"Z14027F" 128 0.490284320099094 0.494225145547023 0.00988303427172729 264 -0.398746512414966 0.264 999
"Z14028F" 206 0.545852539611686 0.545962152107415 0.00676463815897975 538 -0.0162037485453823 0.538 999
"Z14029F" 250 0.569346173098272 0.568630785903344 0.00649278861836709 603 0.110181808923241 0.603 999
"Z14030F" 213 0.55916443660834 0.560028925119554 0.00891045737563899 486 -0.0970195439772518 0.486 999
"Z14031F" 175 0.519076528640256 0.524204880203303 0.0126721876589072 243 -0.404693467385851 0.243 999
"Z14032F" 187 0.553725961580191 0.553896571814961 0.00868450627324603 498 -0.0196453579974923 0.498 999
"Z14033F" 188 0.515283140586773 0.518637479353187 0.00925104422475212 291 -0.36259028547718 0.291 999
"Z14034F" 196 0.537322037305629 0.539305076998034 0.00717930931390698 398 -0.276215943024443 0.398 999
