"ntaxa" "mpd.obs" "mpd.rand.mean" "mpd.rand.sd" "mpd.obs.rank" "mpd.obs.z" "mpd.obs.p" "runs"
"110D2F115" 147 0.582660745503681 0.583814604379797 0.00934932390495381 412 -0.123416290615889 0.412 999
"110D2F415" 114 0.589000586865394 0.587883974365609 0.0113458651639989 497 0.0984158090761926 0.497 999
"110D2F515" 128 0.604801743356299 0.602297129587757 0.0109081657339555 570.5 0.229609068071425 0.5705 999
"110D2F715" 136 0.611323784313725 0.608363399586951 0.00993601596367148 617 0.297944844050033 0.617 999
"110D2F815" 150 0.562147212527964 0.566163037750054 0.00729503918796989 299.5 -0.550487134971464 0.2995 999
"110D2F915" 141 0.584324127659574 0.585740487310005 0.00766226102845204 452 -0.184848786170467 0.452 999
"110M2F115" 156 0.630842389578164 0.625865107846473 0.00859588971676508 716 0.579030431484344 0.716 999
"110M2F415" 122 0.597549752066116 0.596325209622304 0.0100595235201441 545 0.121729666555287 0.545 999
"110M2F515" 135 0.623187431730238 0.618459936537975 0.0105640214561962 670 0.447509048695619 0.67 999
"110M2F715" 133 0.60982625882889 0.606948918886989 0.00846082943843246 650 0.340077762214576 0.65 999
"110S2F115" 147 0.650631890783711 0.642633454494472 0.0100620381783328 822 0.794912138821163 0.822 999
"110S2F415" 123 0.595751619352259 0.59441276903186 0.010546580923735 539 0.12694638481235 0.539 999
"110S2F515" 132 0.595192860282211 0.594232585338056 0.00978882809352552 509 0.0980990712045034 0.509 999
"110S2F715" 130 0.629437061419201 0.623678550821543 0.00850163236173949 783 0.677341756575292 0.783 999
"110S2F915" 133 0.675587245386193 0.664319696757592 0.0102430322232815 876 1.10002081248862 0.876 999
"Fa13.BD.MLB.DN.1" 250 0.55923549686747 0.563074111199392 0.00577177012995402 237 -0.66506708435958 0.237 999
"Fa13.BD.MLB.SN.1" 236 0.553787074648395 0.558627069467231 0.00601651256409196 202 -0.804451875945945 0.202 999
"Fa13.BD.MM110.DN.1" 160 0.543318981918239 0.549723849325741 0.00789073382464463 206 -0.81169477387488 0.206 999
"Fa13.BD.MM110.SD.1" 144 0.583889766899767 0.584626893843144 0.00770262657402443 496 -0.0956981279428399 0.496 999
"Fa13.BD.MM110.SN.1" 145 0.588986875478927 0.588593402770587 0.00820446241624303 509 0.0479583778166207 0.509 999
"Fa13.BD.MM15.DN.1" 169 0.553900064806988 0.558738933784447 0.00731462036445472 269 -0.661533850884891 0.269 999
"Fa13.BD.MM15.SD.1" 167 0.613378969771301 0.610419816165635 0.00859813460354417 614 0.344162279623499 0.614 999
"Fa13.BD.MM15.SN.1" 191 0.630327291264811 0.62476814020303 0.00762430874860888 783 0.729135092121665 0.783 999
"M15S2F115" 148 0.608576271373414 0.605037656720887 0.0091137572077497 660 0.388271771110838 0.66 999
