"ntaxa" "mpd.obs" "mpd.rand.mean" "mpd.rand.sd" "mpd.obs.rank" "mpd.obs.z" "mpd.obs.p" "runs"
"110D2F115" 198 0.788743491257755 0.78738648432517 0.00690560874385679 573.5 0.196507937666204 0.5735 999
"110D2F415" 147 0.746137448513652 0.746640683322405 0.00732182762459047 451 -0.0687307643057915 0.451 999
"110D2F515" 181 0.804746095764273 0.802676159426461 0.00688243390138551 611.5 0.300756442774476 0.6115 999
"110D2F715" 191 0.802368188481675 0.799888168494755 0.00694909406001802 646 0.356883928394202 0.646 999
"110D2F815" 229 0.743276983069026 0.744482458683306 0.00563687221931643 439 -0.213855409059802 0.439 999
"110D2F915" 219 0.755943913535252 0.756385270153065 0.00563930848520583 489 -0.0782643153803824 0.489 999
"110M2F115" 209 0.829770525395657 0.826974611647901 0.00601100397027811 668 0.465132573789755 0.668 999
"110M2F415" 181 0.7852091577655 0.783708989625599 0.00734798646219746 548 0.204160438729645 0.548 999
"110M2F515" 188 0.824812869495961 0.821542616425163 0.00754704834881756 653 0.433315505565815 0.653 999
"110M2F715" 184 0.820558389166073 0.81763487417924 0.00648526065818408 669 0.450793752313335 0.669 999
"110S2F115" 213 0.881501535122686 0.876099309263201 0.00672101785098037 795 0.803780912246369 0.795 999
"110S2F415" 182 0.784051633780584 0.782545190878451 0.00829335159864028 541.5 0.181644644413788 0.5415 999
"110S2F515" 171 0.775937867217062 0.775132733223075 0.00714950620586073 518.5 0.112613930361662 0.5185 999
"110S2F715" 178 0.892487504602298 0.886120515375402 0.00696665622249722 830 0.913923268717524 0.83 999
"110S2F915" 192 0.877246203643106 0.872188566876759 0.00663774994706383 785 0.761950481214607 0.785 999
"Fa13.BD.MLB.DN.1" 414 0.71133357686774 0.714164095787896 0.00399406708102449 234 -0.708680866579077 0.234 999
"Fa13.BD.MLB.SN.1" 357 0.70933746388443 0.712299211678553 0.00437272057429452 239 -0.677323817930114 0.239 999
"Fa13.BD.MM110.DN.1" 256 0.70314968872549 0.706497284193201 0.00552150116455577 278 -0.606283575415977 0.278 999
"Fa13.BD.MM110.SD.1" 193 0.790079360967185 0.788746375813421 0.00556462951055934 623 0.239546074223631 0.623 999
"Fa13.BD.MM110.SN.1" 172 0.761227384060927 0.76160330510437 0.00597304237627428 486.5 -0.0629362759815227 0.4865 999
"Fa13.BD.MM15.DN.1" 224 0.750340656229981 0.751117125213779 0.00539463475800234 436.5 -0.143933559662443 0.4365 999
"Fa13.BD.MM15.SD.1" 226 0.78817833352999 0.786857573773183 0.00588204995970237 607.5 0.224540724042718 0.6075 999
"Fa13.BD.MM15.SN.1" 255 0.789456013586537 0.788779292493667 0.00538432585396986 547.5 0.125683532390768 0.5475 999
"M15S2F115" 189 0.820423403129573 0.817536079247096 0.00703848636953674 660.5 0.410219432259499 0.6605 999
"M15S2F515" 266 0.828317775571003 0.826100471822369 0.00527881646941906 651.5 0.420038044792718 0.6515 999
"M15S2F715" 191 0.879218631027831 0.874539680162941 0.00686632283491201 757 0.68143473259086 0.757 999
"M15S2F815" 214 0.866442183317976 0.861725487623115 0.00621404008233779 778 0.759038505121252 0.778 999
"M15S2F915" 198 0.846266435420192 0.842815618122866 0.00589825511671859 723 0.58505731424615 0.723 999
"M45D2F115" 196 0.847062954474097 0.842949774806727 0.00728997962207094 699 0.564223753783506 0.699 999
"M45D2F415" 146 0.771608174775626 0.770626399142648 0.00873796247442365 509.5 0.112357501631758 0.5095 999
"M45D2F515" 193 0.805370250431779 0.802984240184701 0.00708136138682315 634.5 0.336942307663831 0.6345 999
"M45D2F715" 195 0.870314616970658 0.864989173190108 0.00795497215792786 751 0.669448449953786 0.751 999
"M45D2F815" 199 0.87290941475052 0.866964323134362 0.00732728802296581 791 0.811363167044132 0.791 999
"M45D2F915" 187 0.869580228854005 0.864924405470389 0.00816027236995584 719 0.570547547010507 0.719 999
"M45S2F415" 167 0.777426259288652 0.776642238726715 0.00807615571404281 502.5 0.0970784355449813 0.5025 999
"M45S2F515" 191 0.794796996417746 0.793250550450147 0.00586090841339199 582 0.263857726229831 0.582 999
"M45S2F715" 196 0.893778897435897 0.887657995692186 0.00684896303121765 831 0.893697588352008 0.831 999
"M45S2F815" 212 0.841760469462577 0.838327551679821 0.00621061286805147 721.5 0.552750244732834 0.7215 999
"M45S2F915" 221 0.863327350061703 0.858941007280419 0.00608100136959967 776 0.721319156942205 0.776 999
"MBRE1F714" 315 0.742654265493883 0.743888125746209 0.00427631975549683 399 -0.28853320679305 0.399 999
"MBRE1F914" 340 0.722086303140725 0.72438116374226 0.00422040157853192 315 -0.543754085679552 0.315 999
"MBRE1F715" 268 0.771357893677679 0.770956519602782 0.00469776573799939 553.5 0.0854393550640372 0.5535 999
"MBRE2F515" 264 0.78585918510197 0.784851980317107 0.00525487278659853 582 0.191670631386515 0.582 999
"MBRE2F915" 319 0.749529112990674 0.750624608925086 0.00431281541564649 403 -0.254009464545422 0.403 999
"MBRH1F714" 381 0.752986804254731 0.753573000870189 0.00455250677841281 420 -0.128763479988109 0.42 999
"MBRH1F914" 485 0.715386556019426 0.71824141011933 0.00378224255268114 216 -0.75480460603458 0.216 999
"MBRH1F715" 351 0.754678165567766 0.755437883331602 0.00462841126631479 433 -0.164142233721858 0.433 999
"MBRH2F515" 267 0.712046728056095 0.715346015963304 0.00550213951833987 287 -0.599637267686703 0.287 999
"MBRH2F915" 350 0.743948614326648 0.745564122540223 0.00467042298346947 383 -0.345901906378448 0.383 999
"MDPE1F514" 359 0.795160670702292 0.794348210364081 0.00528714868217148 561 0.153667011663755 0.561 999
"MDPE1F714" 348 0.724106351816887 0.726287129564557 0.0040707739152569 316 -0.53571576144209 0.316 999
"MDPE1F914" 330 0.765130835589942 0.765366172783634 0.00456953523035231 492 -0.051501341346196 0.492 999
"MDPE1F715" 298 0.782933025557589 0.782288834836237 0.00486129660126456 564 0.132514177634124 0.564 999
"MDPE2F515" 228 0.755639916144988 0.756660480879674 0.00573386157235593 444 -0.17798907800746 0.444 999
"MDPE2F915" 339 0.733905776823585 0.735767963520938 0.00418677582279791 336 -0.44477821984482 0.336 999
"MDPH1F714" 426 0.722661403148302 0.724789219452869 0.00437483225081579 289 -0.486376661452724 0.289 999
"MDPH1F914" 514 0.703286144219173 0.706956275695527 0.00383158224317873 174 -0.957863160287819 0.174 999
"MDPH1F715" 404 0.742780182296145 0.743986137425168 0.0040506280868755 384 -0.297720527078309 0.384 999
"MDPH2F514" 299 0.82702823236291 0.824235827756557 0.00611280154258948 672 0.456812573890589 0.672 999
"MDPH2F515" 314 0.761261968824403 0.76180130521254 0.00485881148266157 463 -0.111001711027848 0.463 999
"MDPH2F915" 465 0.731381076381164 0.733372282698902 0.0038656012321267 289 -0.515109086056033 0.289 999
"MINE1F514" 486 0.738769895804166 0.740923384607976 0.00444471575616155 311 -0.484505404158679 0.311 999
"MINE1F714" 311 0.738947302561975 0.740309835396646 0.00467354082471863 388 -0.291541870665613 0.388 999
"MINE1F914" 415 0.731349734939759 0.733034320013279 0.00387348297607639 320 -0.434901891637166 0.32 999
"MINE1F715" 377 0.746514149500536 0.747639968506517 0.00414823661565279 396 -0.271397008003904 0.396 999
"MINE2F515" 405 0.759105018946339 0.759671720632501 0.00425959018359458 467 -0.133041363543599 0.467 999
"MINE2F915" 388 0.749742333439889 0.750778733304684 0.00392468298531488 412 -0.264072249573425 0.412 999
"MINH1F514" 443 0.735143430946958 0.737456426699521 0.00436368042367944 284 -0.530056174602409 0.284 999
"MINH1F714" 405 0.755123072973964 0.755630886498282 0.00398070644792421 453 -0.127568694391524 0.453 999
"MINH1F914" 381 0.739896272689598 0.741520163645342 0.00412695357888118 350.5 -0.39348418263137 0.3505 999
"MINH1F715" 410 0.741989475102868 0.743165946378843 0.00402614957390786 387 -0.292207543306242 0.387 999
"MINH2F515" 361 0.729323017236073 0.7313812933392 0.0046046745436055 323 -0.446997086034071 0.323 999
"MINH2F915" 374 0.735070180642571 0.736822645135853 0.0041114338817111 376 -0.426241682026521 0.376 999
"MLBD2F115" 300 0.749206051059086 0.749945073165027 0.00463007169685099 439 -0.159613533942363 0.439 999
"MLBD2F415" 252 0.757445636817808 0.758078142421179 0.00602037839347036 455 -0.105060772269237 0.455 999
"MLBD2F515" 279 0.747884016399783 0.749043173966365 0.00516903152701039 436 -0.224250434636405 0.436 999
"MLBD2F715" 340 0.732204324483776 0.734143856498352 0.00424584108677523 329 -0.456807491127476 0.329 999
"MLBD2F815" 374 0.789478390560709 0.788935809739002 0.00438434684015707 557 0.123754082760402 0.557 999
"MLBD2F915" 402 0.732969508566891 0.734671023381293 0.00404175673914898 334 -0.420983974102199 0.334 999
"MLBS2F115" 299 0.751424642768961 0.752417909414431 0.00458610182549766 423 -0.216581899675124 0.423 999
"MLBS2F515" 228 0.749892262539609 0.750841410726361 0.00569755521305508 423 -0.166588677294004 0.423 999
"MLBS2F715" 207 0.763683491393462 0.763852151832899 0.0049533737443966 510 -0.0340496090422077 0.51 999
"MLBS2F815" 354 0.771414254733439 0.771681092824551 0.00430734238201887 493 -0.0619495892005189 0.493 999
"MLBS2F915" 382 0.753349511893474 0.754114719050996 0.00415904462561236 425 -0.18398628204421 0.425 999
"MOTE1F514" 351 0.834433461294261 0.831577287614354 0.00511744126018537 712 0.558125347159045 0.712 999
"MOTE1F714" 305 0.710938705349439 0.713538617571843 0.00465012688594845 289 -0.559105651559707 0.289 999
"MOTE1F914" 340 0.744327480652438 0.745671901906765 0.00418002045826269 382 -0.321630304863676 0.382 999
"MOTE1F715" 255 0.784986674077505 0.784315010886755 0.00484317279115436 556.5 0.138682475251858 0.5565 999
"MOTE2F515" 272 0.782006532179292 0.781301766412332 0.00548152478296009 558.5 0.128571117502125 0.5585 999
"MOTE2F915" 367 0.771597184377838 0.771541071662333 0.00422438155186142 525 0.0132830604472831 0.525 999
"MOTH1F714" 321 0.712734507398754 0.71536269941047 0.00438296748107023 271 -0.599637579577495 0.271 999
"MOTH1F914" 344 0.719129131297037 0.721477755269168 0.00431984343429725 292 -0.543682660691934 0.292 999
"MOTH1F715" 281 0.724812247585155 0.727073485362332 0.00447462318219207 313.5 -0.505347084012914 0.3135 999
"MOTH1F915" 280 0.796757446492576 0.795612711317564 0.00522754853269642 592 0.218981262029653 0.592 999
"MOTH2F514" 293 0.796664958156062 0.795162830674426 0.00582237090440997 595 0.257992406580942 0.595 999
"MOTH2F515" 270 0.772751997521685 0.772731017085928 0.00511090346499883 492 0.00410503463838603 0.492 999
"Sp13.BD.MLB.SN.1" 384 0.716010610313316 0.719568201636553 0.00520818206337512 248 -0.683077373245932 0.248 999
