OTU,Muskegon_LNA,Inland_LNA,Michigan_LNA,RL_score,lake
Otu000173,0.18,NA,NA,0.18,Muskegon
Otu000244,0.394,NA,NA,0.394,Muskegon
Otu000187,NA,NA,NA,NA,NA
Otu000313,0.208,NA,NA,0.208,Muskegon
Otu000060,0.25,0.168,NA,0.209,Muskegon-Inland
Otu000521,0.19,NA,NA,0.19,Muskegon
Otu000293,0.16,NA,NA,0.16,Muskegon
Otu000167,NA,NA,NA,NA,NA
Otu000271,NA,NA,0.366,0.366,Michigan
Otu000029,0.568,0.226,NA,0.397,Muskegon-Inland
Otu000614,NA,0.13,NA,0.13,Inland
Otu000412,0.252,NA,NA,0.252,Muskegon
Otu000038,0.306,NA,NA,0.306,Muskegon
Otu000175,NA,0.184,0.314,0.249,Inland-Michigan
Otu000279,0.196,NA,NA,0.196,Muskegon
Otu001267,0.204,NA,NA,0.204,Muskegon
Otu000262,NA,NA,NA,NA,NA
Otu000058,0.208,NA,NA,0.208,Muskegon
Otu000226,NA,NA,NA,NA,NA
Otu000712,0.164,NA,NA,0.164,Muskegon
Otu000264,NA,NA,NA,NA,NA
Otu000317,0.212,NA,NA,0.212,Muskegon
Otu000246,0.23,NA,NA,0.23,Muskegon
Otu000905,0.256,NA,NA,0.256,Muskegon
Otu000267,0.294,NA,NA,0.294,Muskegon
Otu000136,0.306,NA,NA,0.306,Muskegon
Otu000210,0.254,0.11,NA,0.182,Muskegon-Inland
Otu001846,NA,NA,NA,NA,NA
Otu000409,0.218,NA,NA,0.218,Muskegon
Otu000044,0.142,0.226,NA,0.184,Muskegon-Inland
Otu001126,NA,NA,NA,NA,NA
Otu000263,NA,NA,NA,NA,NA
Otu000242,0.372,NA,NA,0.372,Muskegon
Otu000870,0.19,NA,NA,0.19,Muskegon
Otu000756,0.19,NA,NA,0.19,Muskegon
Otu000190,NA,NA,NA,NA,NA
Otu000487,0.13,NA,0.322,0.226,Muskegon-Michigan
Otu000059,NA,NA,NA,NA,NA
Otu001142,NA,NA,NA,NA,NA
Otu000088,0.182,NA,NA,0.182,Muskegon
Otu000469,NA,NA,NA,NA,NA
Otu000020,0.118,NA,NA,0.118,Muskegon
Otu000827,NA,NA,NA,NA,NA
Otu001520,NA,NA,NA,NA,NA
Otu000624,NA,NA,NA,NA,NA
Otu000399,NA,NA,NA,NA,NA
Otu001086,NA,0.274,NA,0.274,Inland
Otu000771,NA,NA,NA,NA,NA
Otu000076,NA,NA,NA,NA,NA
Otu000344,0.182,NA,NA,0.182,Muskegon
Otu000319,0.196,NA,NA,0.196,Muskegon
Otu000519,0.2,NA,NA,0.2,Muskegon
Otu000149,NA,0.184,NA,0.184,Inland
Otu000192,0.128,NA,NA,0.128,Muskegon
