OTU,Muskegon_HNA,Muskegon_LNA,Inland_HNA,Inland_LNA,Michigan_HNA,Michigan_LNA,FCM,Lake
Otu000173,0.462,0.18,0.234,NA,NA,NA,Both,Muskegon-Inland
Otu000244,0.306,0.394,NA,NA,NA,NA,Both,Muskegon
Otu000187,0.122,NA,NA,NA,NA,NA,HNA,Muskegon
Otu000313,0.27,0.208,NA,NA,NA,NA,Both,Muskegon
Otu000060,0.184,0.25,NA,0.168,NA,NA,Both,Muskegon-Inland
Otu000521,0.122,0.19,NA,NA,NA,NA,Both,Muskegon
Otu000293,0.214,0.16,NA,NA,NA,NA,Both,Muskegon
Otu000167,0.096,NA,NA,NA,NA,NA,HNA,Muskegon
Otu000271,0.098,NA,NA,NA,NA,0.366,Both,Muskegon-Michigan
Otu000029,0.346,0.568,0.16,0.226,NA,NA,Both,Muskegon-Inland
Otu000614,0.336,NA,NA,0.13,NA,NA,Both,Muskegon-Inland
Otu000412,0.312,0.252,NA,NA,NA,NA,Both,Muskegon
Otu000038,0.378,0.306,NA,NA,NA,NA,Both,Muskegon
Otu000175,0.108,NA,NA,0.184,NA,0.314,Both,All
Otu000279,0.264,0.196,NA,NA,NA,NA,Both,Muskegon
Otu001267,0.254,0.204,NA,NA,NA,NA,Both,Muskegon
Otu000262,0.16,NA,NA,NA,NA,NA,HNA,Muskegon
Otu000058,0.168,0.208,NA,NA,NA,NA,Both,Muskegon
Otu000226,0.098,NA,NA,NA,NA,NA,HNA,Muskegon
Otu000712,0.098,0.164,NA,NA,NA,NA,Both,Muskegon
Otu000264,0.332,NA,NA,NA,NA,NA,HNA,Muskegon
Otu000317,0.148,0.212,NA,NA,NA,NA,Both,Muskegon
Otu000246,0.242,0.23,0.32,NA,NA,NA,Both,Muskegon-Inland
Otu000905,0.206,0.256,NA,NA,NA,NA,Both,Muskegon
Otu000267,0.142,0.294,NA,NA,NA,NA,Both,Muskegon
Otu000136,0.178,0.306,NA,NA,NA,NA,Both,Muskegon
Otu000210,0.1,0.254,NA,0.11,NA,NA,Both,Muskegon-Inland
Otu001846,0.202,NA,NA,NA,NA,NA,HNA,Muskegon
Otu000409,0.114,0.218,NA,NA,NA,NA,Both,Muskegon
Otu000044,0.146,0.142,0.31,0.226,NA,NA,Both,Muskegon-Inland
Otu001126,0.126,NA,NA,NA,NA,NA,HNA,Muskegon
Otu000263,0.166,NA,NA,NA,NA,NA,HNA,Muskegon
Otu000242,0.304,0.372,NA,NA,0.312,NA,Both,Muskegon-Michigan
Otu000870,0.246,0.19,NA,NA,NA,NA,Both,Muskegon
Otu000756,0.184,0.19,NA,NA,NA,NA,Both,Muskegon
Otu000190,0.124,NA,NA,NA,NA,NA,HNA,Muskegon
Otu000487,0.31,0.13,NA,NA,NA,0.322,Both,Muskegon-Michigan
Otu000059,0.224,NA,0.146,NA,NA,NA,HNA,Muskegon-Inland
Otu001142,0.24,NA,NA,NA,NA,NA,HNA,Muskegon
Otu000088,0.31,0.182,NA,NA,NA,NA,Both,Muskegon
Otu000469,0.142,NA,NA,NA,NA,NA,HNA,Muskegon
Otu000020,0.106,0.118,NA,NA,NA,NA,Both,Muskegon
Otu000827,0.092,NA,NA,NA,NA,NA,HNA,Muskegon
Otu001520,0.14,NA,NA,NA,NA,NA,HNA,Muskegon
Otu000624,0.172,NA,NA,NA,NA,NA,HNA,Muskegon
Otu000399,0.124,NA,NA,NA,NA,NA,HNA,Muskegon
Otu001086,0.102,NA,NA,0.274,NA,NA,Both,Muskegon-Inland
Otu000771,0.144,NA,NA,NA,NA,NA,HNA,Muskegon
Otu000076,0.096,NA,NA,NA,NA,NA,HNA,Muskegon
Otu000344,0.098,0.182,NA,NA,NA,NA,Both,Muskegon
Otu000319,0.21,0.196,NA,NA,NA,NA,Both,Muskegon
Otu000519,0.092,0.2,NA,NA,NA,NA,Both,Muskegon
Otu000149,0.12,NA,NA,0.184,NA,NA,Both,Muskegon-Inland
Otu000192,0.132,0.128,0.282,NA,NA,NA,Both,Muskegon-Inland
Otu000010,0.144,NA,NA,NA,NA,NA,HNA,Muskegon
Otu000001,0.124,NA,0.274,NA,0.314,NA,HNA,All
Otu001464,0.138,0.146,NA,NA,NA,NA,Both,Muskegon
Otu000043,0.152,NA,NA,0.23,NA,NA,Both,Muskegon-Inland
Otu001327,0.15,0.114,NA,NA,NA,NA,Both,Muskegon
Otu001602,0.208,0.164,NA,NA,NA,NA,Both,Muskegon
Otu000837,0.134,0.134,NA,NA,NA,NA,Both,Muskegon
Otu000182,0.234,0.206,NA,NA,NA,NA,Both,Muskegon
Otu000095,0.152,0.136,NA,NA,NA,NA,Both,Muskegon
Otu000590,0.096,NA,NA,NA,NA,NA,HNA,Muskegon
Otu000112,0.132,NA,NA,NA,NA,NA,HNA,Muskegon
Otu000701,0.148,NA,NA,NA,NA,NA,HNA,Muskegon
Otu000018,0.098,NA,NA,0.124,NA,NA,Both,Muskegon-Inland
Otu000131,0.124,NA,NA,NA,NA,NA,HNA,Muskegon
Otu001136,0.122,0.16,NA,NA,NA,NA,Both,Muskegon
Otu000171,0.134,NA,NA,NA,NA,NA,HNA,Muskegon
Otu001298,0.162,0.154,NA,NA,NA,NA,Both,Muskegon
Otu001691,0.112,NA,NA,NA,NA,NA,HNA,Muskegon
Otu000631,0.13,0.104,NA,NA,NA,NA,Both,Muskegon
Otu000253,0.092,0.108,NA,NA,NA,NA,Both,Muskegon
Otu000449,0.13,0.178,NA,NA,NA,NA,Both,Muskegon
Otu001183,0.116,NA,0.134,NA,NA,NA,HNA,Muskegon-Inland
Otu000418,0.104,NA,NA,NA,NA,NA,HNA,Muskegon
Otu001476,0.096,NA,NA,NA,NA,NA,HNA,Muskegon
Otu000581,0.122,NA,NA,NA,NA,NA,HNA,Muskegon
Otu002142,0.18,NA,NA,NA,NA,NA,HNA,Muskegon
Otu000888,0.102,NA,NA,NA,NA,NA,HNA,Muskegon
Otu000026,0.126,NA,0.202,0.114,NA,NA,Both,Muskegon-Inland
Otu001078,0.116,NA,NA,NA,NA,NA,HNA,Muskegon
Otu000063,0.092,NA,NA,NA,NA,NA,HNA,Muskegon
Otu000402,0.13,NA,NA,NA,NA,NA,HNA,Muskegon
Otu000141,0.108,0.174,NA,NA,NA,NA,Both,Muskegon
Otu000673,0.132,0.12,NA,NA,NA,NA,Both,Muskegon
Otu001124,0.174,0.194,NA,NA,NA,NA,Both,Muskegon
Otu000708,0.162,NA,NA,NA,NA,NA,HNA,Muskegon
Otu001767,0.092,NA,NA,NA,NA,NA,HNA,Muskegon
Otu000459,0.13,NA,NA,NA,NA,NA,HNA,Muskegon
Otu000613,0.116,0.158,NA,NA,NA,NA,Both,Muskegon
Otu001368,0.102,NA,NA,NA,NA,NA,HNA,Muskegon
Otu000885,0.156,NA,NA,NA,NA,NA,HNA,Muskegon
Otu000894,0.128,0.162,NA,NA,NA,NA,Both,Muskegon
Otu000283,0.102,0.11,NA,NA,NA,NA,Both,Muskegon
Otu002831,0.132,0.194,NA,NA,NA,NA,Both,Muskegon
