"OTU","Phylum","FCM","LNA.musk.kendall.sig","HNA.musk.kendall.sig","LNA.mich.kendall.sig","HNA.mich.kendall.sig","LNA.inla.kendall.sig","HNA.inla.kendall.sig","musk.kendall","mich.kendall","inla.kendall"
"Otu000173","Bacteroidetes","HNA","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Otu000244","Betaproteobacteria","Both","yes","yes",NA,NA,NA,NA,"yes",NA,NA
"Otu000313","Bacteroidetes","HNA","yes","yes",NA,NA,"yes","no","yes",NA,"DISAGREEMENT"
"Otu000614","Bacteroidetes","HNA","no","yes",NA,NA,"no","no","DISAGREEMENT",NA,"no"
"Otu000060","Alphaproteobacteria","LNA","yes","yes","yes","yes","yes","no","yes","yes","DISAGREEMENT"
"Otu000267","Omnitrophica","LNA","yes","yes",NA,NA,"yes","no","yes",NA,"DISAGREEMENT"
"Otu000412","Bacteria_unclassified","Both","yes","yes","no","no","yes","no","yes","no","DISAGREEMENT"
"Otu000905","Bacteria_unclassified","LNA","yes","yes",NA,NA,"no","no","yes",NA,"no"
"Otu000210","Alphaproteobacteria","LNA","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Otu000029","Bacteroidetes","Both","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Otu000136","Planctomycetes","LNA","yes","yes","yes","yes","yes","no","yes","yes","DISAGREEMENT"
"Otu000487","Bacteria_unclassified","HNA","no","yes","no","no","no","no","DISAGREEMENT","no","no"
"Otu000264","Bacteroidetes","HNA","no","yes","no","no","no","no","DISAGREEMENT","no","no"
"Otu000088","Alphaproteobacteria","HNA","no","yes","no","no","yes","no","DISAGREEMENT","no","DISAGREEMENT"
"Otu000242","Bacteroidetes","Both","no","yes","no","no","no","no","DISAGREEMENT","no","no"
"Otu000038","Bacteroidetes","Both","yes","yes","yes","yes","yes","no","yes","yes","DISAGREEMENT"
"Otu000030","Cyanobacteria","LNA","yes","yes","no","no","no","no","yes","no","no"
"Otu000369","Alphaproteobacteria","Both",NA,NA,"yes","no","yes","yes",NA,"DISAGREEMENT","yes"
"Otu001668","Firmicutes","HNA",NA,NA,NA,NA,"yes","no",NA,NA,"DISAGREEMENT"
"Otu000664","Bacteroidetes","HNA",NA,NA,NA,NA,"no","yes",NA,NA,"DISAGREEMENT"
"Otu000792","unknown_unclassified","HNA",NA,NA,NA,NA,"yes","yes",NA,NA,"yes"
"Otu000044","Alphaproteobacteria","HNA","no","no","no","no","no","yes","no","no","DISAGREEMENT"
"Otu000246","Deltaproteobacteria","HNA","no","yes",NA,NA,"yes","yes","DISAGREEMENT",NA,"yes"
"Otu001533","unknown_unclassified","LNA",NA,NA,NA,NA,"yes","yes",NA,NA,"yes"
"Otu000511","Deltaproteobacteria","HNA","yes","no","no","no","yes","no","DISAGREEMENT","no","DISAGREEMENT"
"Otu001301","Deltaproteobacteria","LNA",NA,NA,NA,NA,"yes","no",NA,NA,"DISAGREEMENT"
"Otu000269","Gammaproteobacteria","LNA","no","yes",NA,NA,"yes","no","DISAGREEMENT",NA,"DISAGREEMENT"
"Otu000093","Bacteria_unclassified","LNA","no","no","no","no","yes","no","no","no","DISAGREEMENT"
"Otu000555","Deltaproteobacteria","LNA",NA,NA,NA,NA,"yes","no",NA,NA,"DISAGREEMENT"
"Otu000073","Betaproteobacteria","LNA","no","yes","no","no","no","yes","DISAGREEMENT","no","DISAGREEMENT"
"Otu001086","Proteobacteria_unclassified","LNA","no","no",NA,NA,"no","no","no",NA,"no"
"Otu001118","Cyanobacteria","LNA",NA,NA,NA,NA,"yes","no",NA,NA,"DISAGREEMENT"
"Otu000025","Bacteroidetes","HNA","no","yes","yes","yes","no","no","DISAGREEMENT","yes","no"
"Otu000081","Verrucomicrobia","HNA","no","no","yes","yes","no","no","no","yes","no"
"Otu000216","Bacteroidetes","LNA","yes","no","yes","yes","yes","no","DISAGREEMENT","yes","DISAGREEMENT"
"Otu000249","Actinobacteria","HNA","yes","no","yes","yes","yes","no","DISAGREEMENT","yes","DISAGREEMENT"
"Otu000001","Actinobacteria","HNA","yes","no","no","no","no","yes","DISAGREEMENT","no","DISAGREEMENT"
"Otu000168","Alphaproteobacteria","LNA","no","no","yes","yes","yes","no","no","yes","DISAGREEMENT"
"Otu000271","Alphaproteobacteria","LNA","yes","yes","yes","yes","yes","yes","yes","yes","yes"
