Samples,Total.cells,HNA.cells,LNA.cells,sd.Total.cells,sd.HNA.cells,sd.LNA.cells
110D2-1015-2,4032.00162685382,2153.28644108516,1878.84809816253,13.4547374556714,13.7943265628734,3.26819131797967
110D2-115-2,621.950028568567,153.177244390186,468.772784178381,1.59172147443606,4.45595594264655,4.95766440404141
110D2-415-2,801.348922859578,176.905925913352,624.442996946227,9.29729670898131,4.86729437940896,4.49553543485876
110D2-515,1273.34009614904,411.070096002159,862.349806090388,15.5740554987162,11.5163688882648,4.7840739717651
110D2-715-2,544.254079296431,148.567686487912,395.713021968301,6.03993667949569,2.10743797292891,4.45361086041412
110D2-815,549.931194898388,147.419273364071,402.525227723025,3.57534287752168,4.15033932633987,1.99319831987389
110D2-915-2,737.447307983849,212.608851095635,524.838456888213,34.9033522526377,6.74095745372072,28.6195729217674
110M2-1015-1,959.72872964313,267.566443607598,692.175575248677,3.96516363196422,4.490743737259,6.55771685820784
110M2-115-2,2046.84460562179,593.02052780261,1453.89053845787,81.1218433997329,34.9530112951789,46.1403083146402
110M2-415-2,1163.87468984235,357.686149306235,806.201862945074,3.9654182173222,1.27315908589775,2.68862188655938
110M2-515,1245.9426284288,389.610746055912,856.358519217882,62.7230039850257,28.1445041800243,34.6408891760715
110M2-715-2,1072.07561160812,362.123886503685,709.991693928752,56.6109418416011,21.1773434429489,35.5562806636413
110M2-815,2454.09220802576,926.626639760443,1527.55863069961,28.2113836137318,22.6776240836761,9.1108917077272
110S2-1015-2,1418.99954998541,386.465840458203,1032.53370952721,18.4752019130438,2.36043642048261,16.6710281233479
110S2-415-2,1071.35716405242,324.285060877681,747.098714776428,36.5234742460063,16.0957577309811,20.7685106585343
110S2-515,986.210808207475,292.25373418691,693.970401489812,6.06738993452139,4.27966779342196,8.35689505813833
110S2-715-2,1146.95236988089,333.214310606032,813.77796569687,16.1324506233887,8.96351810946162,7.71090003735706
110S2-815,1492.05369321939,446.635904642237,1045.4577141326,21.9268735940028,13.8204725404503,8.85729595341365
110S2_115_2,1974.9068949897,576.546684948208,1398.42667730636,286.733925398919,88.2748693004326,198.640219193373
110S2_915_2,1982.84051575088,971.433959912118,1011.40655583876,1184.15929210781,1139.78109088795,46.9188902750134
M45D2-1015-1,926.496366860634,178.698081385553,747.824926034267,17.7456942744582,4.55324169694645,13.2057184646992
M45D2-115-2,1655.86336650778,414.381353171517,1241.54849518339,26.9689412473035,3.16819310515279,25.0786411650274
M45D2-415-2,1133.73310628443,341.472546066564,792.287209829646,11.3421626976722,7.77620766256792,4.76977313732127
M45D2-515,1704.28504290952,713.485663746089,990.866019440574,25.4588620125937,14.2824582374049,14.9142548623741
M45D2-715-2,660.93467265662,122.954978684443,538.006347313239,21.0184715217593,4.4726124896946,16.6110162181735
M45D2-815,779.293851289773,225.672271071692,553.634907687327,9.11987644922197,4.91322914461283,5.29645616743541
M45D2-915-2,1144.16079205198,283.065394847164,861.095397204812,10.0006876648997,5.72866121555709,4.53480707090602
M45S1-115-1,2317.65091974346,702.94746235669,1614.83641312919,23.5641303825228,12.0917079342763,21.0165222090276
M45S2-1015-2,2293.56229145049,722.758305219039,1570.85715050496,28.596758214123,7.65661170792724,20.9124884303226
M45S2-415-2,1241.13894675972,338.020845886034,903.13142727729,4.92581541412703,1.31591289009259,5.01813340374293
M45S2-515-DMSO,2194.44691515387,1081.86003176006,1112.71982460033,6.64033432698576,6.08515722757307,5.81646879882491
M45S2-715-2,1095.07778117527,296.206009386379,798.885101922988,39.6403315870282,10.7595954649205,29.1455650499203
M45S2-815,1925.12809396971,592.01173546117,1333.24930631874,109.300104702469,41.2269222133855,69.1179319822541
